Epoch,Loss,TestAcc,TestAuc
1,0.4492,0.9706,0.4781
2,0.3437,0.9706,0.4933
3,0.3407,0.9706,0.5244
4,0.3094,0.9706,0.5606
5,0.2829,0.9706,0.5227
6,0.2959,0.9706,0.5152
7,0.2796,0.9706,0.4823
8,0.2625,0.9706,0.4874
9,0.2626,0.9706,0.4874
10,0.2661,0.9706,0.4411
11,0.2665,0.9706,0.5497
12,0.2642,0.9706,0.5396
13,0.2747,0.9706,0.6810
14,0.2634,0.9706,0.4806
15,0.2873,0.9706,0.5000
16,0.2739,0.9706,0.5816
17,0.2628,0.9706,0.5774
18,0.2596,0.9706,0.5539
19,0.2656,0.9706,0.5059
20,0.2674,0.9706,0.5387
21,0.2588,0.9706,0.5850
22,0.2599,0.9706,0.5732
23,0.2652,0.9706,0.5850
24,0.2656,0.9706,0.6898
25,0.2603,0.9706,0.6700
26,0.2589,0.9706,0.6061
27,0.2631,0.9706,0.5311
28,0.2556,0.9706,0.5446
29,0.2630,0.9706,0.5497
30,0.2582,0.9706,0.6077
31,0.2613,0.9706,0.5724
32,0.2693,0.9706,0.5758
33,0.2665,0.9706,0.5471
34,0.2602,0.9706,0.5614
35,0.2521,0.9706,0.5539
36,0.2584,0.9706,0.5438
37,0.2570,0.9706,0.5943
38,0.2597,0.9706,0.5657
39,0.2612,0.9706,0.5354
40,0.2599,0.9706,0.5429
41,0.2644,0.9706,0.6027
42,0.2640,0.9706,0.5101
43,0.2602,0.9706,0.5657
44,0.2602,0.9706,0.5396
45,0.2604,0.9706,0.5581
46,0.2628,0.9706,0.5648
47,0.2655,0.9706,0.5497
48,0.2659,0.9706,0.5210
49,0.2735,0.9706,0.5286
50,0.2638,0.9706,0.5253
51,0.2690,0.9706,0.4966
52,0.2626,0.9706,0.3729
53,0.2585,0.9706,0.4327
54,0.2589,0.9706,0.4865
55,0.2574,0.9706,0.5412
56,0.2608,0.9706,0.5269
57,0.2599,0.9706,0.4924
58,0.2569,0.9706,0.4040
59,0.2636,0.9706,0.5118
60,0.2588,0.9706,0.4175
61,0.2573,0.9706,0.5194
62,0.2605,0.9706,0.5379
63,0.2566,0.9706,0.5471
64,0.2532,0.9706,0.5236
65,0.2576,0.9706,0.5210
66,0.2558,0.9706,0.5269
67,0.2575,0.9706,0.5295
68,0.2518,0.9706,0.5324
69,0.2571,0.9706,0.5379
70,0.2564,0.9706,0.5354
71,0.2552,0.9706,0.5463
72,0.2584,0.9706,0.5286
73,0.2608,0.9706,0.5572
74,0.2606,0.9706,0.5497
75,0.2575,0.9706,0.5522
76,0.2579,0.9706,0.5774
77,0.2581,0.9706,0.5665
78,0.2591,0.9706,0.5640
79,0.2567,0.9706,0.5303
80,0.2591,0.9706,0.5379
81,0.2552,0.9706,0.5455
82,0.2587,0.9706,0.5556
83,0.2563,0.9706,0.5463
84,0.2600,0.9706,0.5976
85,0.2566,0.9706,0.5253
86,0.2545,0.9706,0.5682
87,0.2562,0.9706,0.5387
88,0.2552,0.9706,0.5269
89,0.2584,0.9706,0.5311
90,0.2589,0.9706,0.5421
91,0.2558,0.9706,0.5522
92,0.2574,0.9706,0.5513
93,0.2590,0.9706,0.5463
94,0.2578,0.9706,0.5774
95,0.2588,0.9706,0.6246
96,0.2570,0.9706,0.5480
97,0.2560,0.9706,0.6700
98,0.2594,0.9706,0.5219
99,0.2562,0.9706,0.5303
100,0.2611,0.9706,0.4992
