Epoch,Loss,TestAcc,TestAuc
1,0.2665,0.9758,0.5000
2,0.1909,0.9758,0.5000
3,0.1911,0.9758,0.5000
4,0.1646,0.9758,0.5000
5,0.1991,0.9758,0.5000
6,0.1517,0.9758,0.5000
7,0.1725,0.9758,0.5000
8,0.1627,0.9758,0.5000
9,0.1472,0.9758,0.5000
10,0.1481,0.9758,0.5000
11,0.1419,0.9758,0.5000
12,0.1415,0.9758,0.5000
13,0.1400,0.9758,0.5000
14,0.1530,0.9758,0.5000
15,0.1346,0.9758,0.5000
16,0.1489,0.9758,0.5000
17,0.1378,0.9758,0.5000
18,0.1486,0.9758,0.5000
19,0.1417,0.9758,0.5000
20,0.1343,0.9758,0.5000
21,0.1320,0.9758,0.5000
22,0.1334,0.9758,0.5000
23,0.1416,0.9758,0.5000
24,0.1307,0.9758,0.5000
25,0.1330,0.9758,0.5000
26,0.1336,0.9758,0.5000
27,0.1339,0.9758,0.5000
28,0.1396,0.9758,0.5000
29,0.1358,0.9758,0.5000
30,0.1352,0.9758,0.5000
31,0.1309,0.9758,0.5000
32,0.1289,0.9758,0.5000
33,0.1363,0.9758,0.5000
34,0.1360,0.9758,0.5000
35,0.1332,0.9758,0.5000
36,0.1308,0.9758,0.5000
37,0.1329,0.9758,0.5000
38,0.1331,0.9758,0.5000
39,0.1363,0.9758,0.5000
40,0.1368,0.9758,0.5000
41,0.1337,0.9758,0.5000
42,0.1353,0.9758,0.5000
43,0.1371,0.9758,0.5000
44,0.1364,0.9758,0.5000
45,0.1384,0.9758,0.5000
46,0.1356,0.9758,0.5000
47,0.1339,0.9758,0.5000
48,0.1354,0.9758,0.5000
49,0.1340,0.9758,0.5000
50,0.1382,0.9758,0.5000
51,0.1357,0.9758,0.5000
52,0.1350,0.9758,0.5000
53,0.1337,0.9758,0.5000
54,0.1337,0.9758,0.5000
55,0.1315,0.9758,0.5000
56,0.1358,0.9758,0.5000
57,0.1328,0.9758,0.5000
58,0.1360,0.9758,0.5000
59,0.1321,0.9758,0.5000
60,0.1344,0.9758,0.5000
61,0.1338,0.9758,0.5000
62,0.1335,0.9758,0.5000
63,0.1328,0.9758,0.5000
64,0.1362,0.9758,0.5000
65,0.1326,0.9758,0.5000
66,0.1342,0.9758,0.5000
67,0.1334,0.9758,0.5000
68,0.1317,0.9758,0.5000
69,0.1365,0.9758,0.5000
70,0.1351,0.9758,0.5000
71,0.1308,0.9758,0.5000
72,0.1378,0.9758,0.5000
73,0.1365,0.9758,0.5000
74,0.1333,0.9758,0.5000
75,0.1310,0.9758,0.5000
76,0.1329,0.9758,0.5000
77,0.1343,0.9758,0.5000
78,0.1316,0.9758,0.5000
79,0.1310,0.9758,0.5000
80,0.1338,0.9758,0.5000
81,0.1321,0.9758,0.5000
82,0.1331,0.9758,0.5000
83,0.1343,0.9758,0.5000
84,0.1312,0.9758,0.5000
85,0.1327,0.9758,0.5000
86,0.1319,0.9758,0.5000
87,0.1323,0.9758,0.5000
88,0.1309,0.9758,0.5000
89,0.1341,0.9758,0.5000
90,0.1327,0.9758,0.5000
91,0.1341,0.9758,0.5000
92,0.1311,0.9758,0.5000
93,0.1330,0.9758,0.5000
94,0.1297,0.9758,0.5000
95,0.1361,0.9758,0.5000
96,0.1316,0.9758,0.5000
97,0.1343,0.9758,0.5000
98,0.1379,0.9758,0.5000
99,0.1353,0.9758,0.5000
100,0.1329,0.9758,0.5000
