Epoch,Loss,TestAcc,TestAuc
1,0.3909,0.9614,0.4403
2,0.2732,0.9614,0.4447
3,0.2727,0.9614,0.4548
4,0.2642,0.9614,0.4460
5,0.2846,0.9614,0.4510
6,0.2624,0.9614,0.4661
7,0.2505,0.9614,0.4648
8,0.2526,0.9614,0.4636
9,0.2420,0.9614,0.4617
10,0.2420,0.9614,0.4529
11,0.2426,0.9614,0.4548
12,0.2437,0.9614,0.4548
13,0.2390,0.9614,0.4554
14,0.2391,0.9614,0.4441
15,0.2440,0.9614,0.4529
16,0.2381,0.9614,0.4573
17,0.2435,0.9614,0.4655
18,0.2403,0.9614,0.4673
19,0.2403,0.9614,0.4673
20,0.2408,0.9614,0.4655
21,0.2362,0.9614,0.4636
22,0.2377,0.9614,0.4667
23,0.2431,0.9614,0.4680
24,0.2462,0.9614,0.4604
25,0.2439,0.9614,0.4636
26,0.2470,0.9614,0.4667
27,0.2447,0.9614,0.4667
28,0.2390,0.9614,0.3492
29,0.2391,0.9614,0.4052
30,0.2373,0.9614,0.5050
31,0.2404,0.9614,0.2833
32,0.2388,0.9614,0.5214
33,0.2397,0.9614,0.4648
34,0.2374,0.9614,0.4611
35,0.2410,0.9614,0.4114
36,0.2403,0.9614,0.4560
37,0.2383,0.9614,0.4761
38,0.2379,0.9614,0.4673
39,0.2371,0.9614,0.4655
40,0.2397,0.9614,0.4598
41,0.2447,0.9614,0.4623
42,0.2338,0.9614,0.4598
43,0.2418,0.9614,0.4642
44,0.2413,0.9614,0.4655
45,0.2386,0.9614,0.4623
46,0.2364,0.9614,0.4579
47,0.2373,0.9614,0.4585
48,0.2375,0.9614,0.4604
49,0.2386,0.9614,0.4579
50,0.2361,0.9614,0.4567
51,0.2358,0.9614,0.4516
52,0.2401,0.9614,0.4460
53,0.2369,0.9614,0.4598
54,0.2383,0.9614,0.4466
55,0.2395,0.9614,0.5239
56,0.2364,0.9614,0.4604
57,0.2373,0.9614,0.4598
58,0.2382,0.9614,0.4573
59,0.2375,0.9614,0.4573
60,0.2375,0.9614,0.4548
61,0.2356,0.9614,0.4548
62,0.2373,0.9614,0.5101
63,0.2388,0.9614,0.4529
64,0.2368,0.9614,0.4491
65,0.2360,0.9614,0.4541
66,0.2351,0.9614,0.4529
67,0.2347,0.9614,0.4516
68,0.2357,0.9614,0.4529
69,0.2340,0.9614,0.4529
70,0.2369,0.9614,0.4472
71,0.2342,0.9614,0.4491
72,0.2365,0.9614,0.4529
73,0.2383,0.9614,0.4529
74,0.2386,0.9614,0.4529
75,0.2381,0.9614,0.4541
76,0.2363,0.9614,0.4545
77,0.2367,0.9614,0.4366
78,0.2361,0.9614,0.3367
79,0.2363,0.9614,0.4598
80,0.2367,0.9614,0.4523
81,0.2359,0.9614,0.4460
82,0.2363,0.9614,0.4384
83,0.2362,0.9614,0.4359
84,0.2371,0.9614,0.4435
85,0.2353,0.9614,0.5333
86,0.2361,0.9614,0.5383
87,0.2403,0.9614,0.5013
88,0.2365,0.9614,0.4472
89,0.2362,0.9614,0.4874
90,0.2359,0.9614,0.5113
91,0.2356,0.9614,0.3637
92,0.2362,0.9614,0.4457
93,0.2358,0.9614,0.4497
94,0.2362,0.9614,0.4485
95,0.2348,0.9614,0.4472
96,0.2360,0.9614,0.4397
97,0.2368,0.9614,0.4428
98,0.2352,0.9614,0.4479
99,0.2357,0.9614,0.4479
100,0.2358,0.9614,0.4359
