Epoch,Loss,TestAcc,TestAuc
1,0.4911,0.9082,0.5000
2,0.3658,0.9082,0.5000
3,0.3563,0.9082,0.5000
4,0.3541,0.9082,0.5000
5,0.3415,0.9082,0.5000
6,0.3394,0.9082,0.5000
7,0.3440,0.9082,0.5000
8,0.3421,0.9082,0.5000
9,0.3405,0.9082,0.5000
10,0.3424,0.9082,0.5000
11,0.3363,0.9082,0.5000
12,0.3330,0.9082,0.5000
13,0.3338,0.9082,0.5000
14,0.3439,0.9082,0.5000
15,0.3370,0.9082,0.5000
16,0.3411,0.9082,0.5000
17,0.3369,0.9082,0.5000
18,0.3387,0.9082,0.5000
19,0.3318,0.9082,0.5000
20,0.3372,0.9082,0.5000
21,0.3327,0.9082,0.5000
22,0.3354,0.9082,0.5000
23,0.3386,0.9082,0.5000
24,0.3402,0.9082,0.5000
25,0.3330,0.9082,0.5000
26,0.3385,0.9082,0.5000
27,0.3343,0.9082,0.5000
28,0.3327,0.9082,0.5000
29,0.3343,0.9082,0.5000
30,0.3347,0.9082,0.5000
31,0.3334,0.9082,0.5000
32,0.3342,0.9082,0.5000
33,0.3374,0.9082,0.5000
34,0.3337,0.9082,0.5000
35,0.3318,0.9082,0.5000
36,0.3385,0.9082,0.5000
37,0.3357,0.9082,0.5000
38,0.3341,0.9082,0.5000
39,0.3341,0.9082,0.5000
40,0.3323,0.9082,0.5000
41,0.3319,0.9082,0.5000
42,0.3321,0.9082,0.5000
43,0.3333,0.8986,0.4947
44,0.3338,0.9082,0.5000
45,0.3305,0.9082,0.5000
46,0.3313,0.9082,0.5000
47,0.3330,0.9082,0.5000
48,0.3339,0.8986,0.4947
49,0.3325,0.9082,0.5000
50,0.3325,0.9082,0.5000
51,0.3356,0.9082,0.5000
52,0.3333,0.9082,0.5000
53,0.3331,0.9082,0.5000
54,0.3355,0.9082,0.5000
55,0.3320,0.9082,0.5000
56,0.3326,0.9082,0.5000
57,0.3327,0.9082,0.5000
58,0.3328,0.9082,0.5000
59,0.3342,0.9082,0.5000
60,0.3340,0.9082,0.5000
61,0.3345,0.9082,0.5000
62,0.3327,0.9082,0.5000
63,0.3330,0.9082,0.5000
64,0.3315,0.9082,0.5000
65,0.3315,0.9082,0.5000
66,0.3308,0.9082,0.5000
67,0.3330,0.9082,0.5000
68,0.3348,0.9082,0.5000
69,0.3328,0.9082,0.5000
70,0.3324,0.9082,0.5000
71,0.3324,0.9082,0.5000
72,0.3319,0.9082,0.5000
73,0.3328,0.9082,0.5000
74,0.3324,0.9082,0.5000
75,0.3321,0.9082,0.5000
76,0.3329,0.9082,0.5000
77,0.3317,0.9082,0.5000
78,0.3312,0.9082,0.5000
79,0.3315,0.9082,0.5000
80,0.3313,0.9082,0.5000
81,0.3345,0.9082,0.5000
82,0.3316,0.9082,0.5000
83,0.3329,0.9082,0.5000
84,0.3316,0.9082,0.5000
85,0.3311,0.9082,0.5000
86,0.3330,0.9082,0.5000
87,0.3317,0.9082,0.5000
88,0.3350,0.9082,0.5000
89,0.3320,0.9082,0.5000
90,0.3316,0.9082,0.5000
91,0.3324,0.9082,0.5000
92,0.3318,0.9082,0.5000
93,0.3317,0.9082,0.5000
94,0.3316,0.9082,0.5000
95,0.3318,0.9082,0.5000
96,0.3319,0.9082,0.5000
97,0.3315,0.9082,0.5000
98,0.3327,0.9082,0.5000
99,0.3320,0.9082,0.5000
100,0.3318,0.9082,0.5000
