Epoch,Loss,TestAcc,TestAuc
1,0.6801,0.9508,0.3621
2,0.3800,0.9508,0.3506
3,0.3512,0.9508,0.3563
4,0.3164,0.9508,0.3621
5,0.3146,0.9508,0.3563
6,0.3060,0.9508,0.3506
7,0.3058,0.9508,0.3391
8,0.3032,0.9508,0.3333
9,0.2963,0.9508,0.3448
10,0.3109,0.9508,0.3448
11,0.3123,0.9508,0.3621
12,0.2880,0.9508,0.3621
13,0.3008,0.9508,0.3621
14,0.3153,0.9508,0.3621
15,0.3024,0.9508,0.3621
16,0.2838,0.9508,0.3621
17,0.3001,0.9508,0.3621
18,0.2903,0.9508,0.3621
19,0.2958,0.9508,0.3621
20,0.2943,0.9508,0.3621
21,0.2981,0.9508,0.3621
22,0.3085,0.9508,0.3621
23,0.2759,0.9508,0.3563
24,0.2946,0.9508,0.3563
25,0.3052,0.9508,0.3563
26,0.2885,0.9508,0.3621
27,0.2908,0.9508,0.3621
28,0.2974,0.9508,0.3621
29,0.2828,0.9508,0.3563
30,0.2871,0.9508,0.3563
31,0.2947,0.9508,0.3563
32,0.2873,0.9508,0.3563
33,0.2850,0.9508,0.3621
34,0.3005,0.9508,0.3621
35,0.2913,0.9508,0.3736
36,0.2894,0.9508,0.3621
37,0.2918,0.9508,0.3621
38,0.2934,0.9508,0.3736
39,0.2907,0.9508,0.3736
40,0.2964,0.9508,0.3678
41,0.2894,0.9508,0.3621
42,0.2878,0.9508,0.3678
43,0.2931,0.9508,0.3678
44,0.2870,0.9508,0.3678
45,0.2876,0.9508,0.3793
46,0.2931,0.9508,0.3678
47,0.2934,0.9508,0.3851
48,0.2921,0.9508,0.3736
49,0.2926,0.9508,0.3621
50,0.2899,0.9508,0.3621
51,0.2881,0.9508,0.3621
52,0.2949,0.9508,0.3678
53,0.2830,0.9508,0.3621
54,0.2836,0.9508,0.3621
55,0.2951,0.9508,0.3678
56,0.2844,0.9508,0.3621
57,0.2840,0.9508,0.3563
58,0.2892,0.9508,0.3563
59,0.2828,0.9508,0.3506
60,0.2846,0.9508,0.3563
61,0.2829,0.9508,0.3621
62,0.2922,0.9508,0.3563
63,0.2856,0.9508,0.3391
64,0.2909,0.9508,0.3563
65,0.2851,0.9508,0.3563
66,0.2905,0.9508,0.3563
67,0.2866,0.9508,0.3621
68,0.2871,0.9508,0.3563
69,0.2841,0.9508,0.3563
70,0.2855,0.9508,0.3506
71,0.2837,0.9508,0.3506
72,0.2891,0.9508,0.3563
73,0.2890,0.9508,0.3506
74,0.2856,0.9508,0.3563
75,0.2885,0.9508,0.3506
76,0.2864,0.9508,0.3563
77,0.2895,0.9508,0.3563
78,0.2905,0.9508,0.3563
79,0.2920,0.9508,0.3563
80,0.2963,0.9508,0.3563
81,0.2837,0.9508,0.3506
82,0.2887,0.9508,0.3563
83,0.2919,0.9508,0.3563
84,0.2838,0.9508,0.3563
85,0.2851,0.9508,0.3563
86,0.2891,0.9508,0.3506
87,0.2929,0.9508,0.3448
88,0.2883,0.9508,0.3563
89,0.2797,0.9508,0.3506
90,0.2899,0.9508,0.3563
91,0.2819,0.9508,0.3506
92,0.2841,0.9508,0.3448
93,0.2955,0.9508,0.3563
94,0.2934,0.9508,0.3391
95,0.2828,0.9508,0.3506
96,0.2892,0.9508,0.3448
97,0.2841,0.9508,0.3391
98,0.2905,0.9508,0.3391
99,0.2870,0.9508,0.3333
100,0.2858,0.9508,0.3333
