Epoch,Loss,TestAcc,TestAuc
1,0.3535,0.9344,0.5000
2,0.4515,0.9344,0.5000
3,0.3573,0.9344,0.5000
4,0.2910,0.9344,0.5000
5,0.2911,0.9344,0.5000
6,0.3345,0.9344,0.5000
7,0.3168,0.9344,0.5000
8,0.3025,0.9344,0.5000
9,0.2782,0.9344,0.5000
10,0.2877,0.9344,0.5000
11,0.2849,0.9344,0.5000
12,0.2944,0.9344,0.5000
13,0.3256,0.9344,0.5000
14,0.2751,0.9344,0.5000
15,0.2835,0.9344,0.5000
16,0.3175,0.9344,0.5000
17,0.2921,0.9344,0.5000
18,0.2838,0.9344,0.5000
19,0.2857,0.9344,0.5000
20,0.2750,0.9344,0.5000
21,0.2702,0.9344,0.5000
22,0.2913,0.9344,0.5000
23,0.2680,0.9344,0.5000
24,0.2966,0.9344,0.5000
25,0.2796,0.9344,0.5000
26,0.2813,0.9344,0.5000
27,0.2778,0.9344,0.5000
28,0.2625,0.9344,0.5000
29,0.2711,0.9344,0.5000
30,0.2729,0.9344,0.5000
31,0.2730,0.9344,0.5000
32,0.2647,0.9344,0.5000
33,0.2638,0.9344,0.5000
34,0.2760,0.9344,0.5000
35,0.2741,0.9344,0.5000
36,0.2743,0.9344,0.5000
37,0.2641,0.9344,0.5000
38,0.2650,0.9344,0.5000
39,0.2716,0.9344,0.5000
40,0.2773,0.9344,0.5000
41,0.2589,0.9344,0.5000
42,0.2679,0.9344,0.5000
43,0.2739,0.9344,0.5000
44,0.2755,0.9344,0.5000
45,0.2736,0.9344,0.5000
46,0.2641,0.9344,0.5000
47,0.2755,0.9344,0.5000
48,0.2659,0.9344,0.5000
49,0.2792,0.9344,0.5000
50,0.2809,0.9344,0.5000
51,0.2605,0.9344,0.5000
52,0.2661,0.9344,0.5000
53,0.2629,0.9344,0.5000
54,0.2658,0.9344,0.5000
55,0.2658,0.9344,0.5000
56,0.2728,0.9344,0.5000
57,0.2701,0.9344,0.5000
58,0.2631,0.9344,0.5000
59,0.2706,0.9344,0.5000
60,0.2734,0.9344,0.5000
61,0.2739,0.9344,0.5000
62,0.2783,0.9344,0.5000
63,0.2656,0.9344,0.5000
64,0.2740,0.9344,0.5000
65,0.2753,0.9344,0.5000
66,0.2784,0.9344,0.5000
67,0.2687,0.9344,0.5000
68,0.2675,0.9344,0.5000
69,0.2671,0.9344,0.5000
70,0.2697,0.9344,0.5000
71,0.2682,0.9344,0.5000
72,0.2685,0.9344,0.5000
73,0.2740,0.9344,0.5000
74,0.2661,0.9344,0.5000
75,0.2685,0.9344,0.5000
76,0.2699,0.9344,0.5000
77,0.2732,0.9344,0.5000
78,0.2654,0.9344,0.5000
79,0.2739,0.9344,0.5000
80,0.2716,0.9344,0.5000
81,0.2667,0.9344,0.5000
82,0.2679,0.9344,0.5000
83,0.2736,0.9344,0.5000
84,0.2671,0.9344,0.5000
85,0.2711,0.9344,0.5000
86,0.2688,0.9344,0.5000
87,0.2698,0.9344,0.5000
88,0.2695,0.9344,0.5000
89,0.2705,0.9344,0.5000
90,0.2754,0.9344,0.5000
91,0.2713,0.9344,0.5000
92,0.2724,0.9344,0.5000
93,0.2756,0.9344,0.5000
94,0.2658,0.9344,0.5000
95,0.2636,0.9344,0.5000
96,0.2607,0.9344,0.5000
97,0.2629,0.9344,0.5000
98,0.2626,0.9344,0.5000
99,0.2692,0.9344,0.5000
100,0.2730,0.9344,0.5000
