Epoch,Loss,TestAcc,TestAuc
1,0.2060,0.9693,0.5000
2,0.1438,0.9693,0.5000
3,0.1370,0.9693,0.5000
4,0.1329,0.9693,0.5000
5,0.1254,0.9693,0.5000
6,0.1278,0.9693,0.5000
7,0.1264,0.9693,0.5000
8,0.1232,0.9693,0.5000
9,0.1223,0.9693,0.5000
10,0.1205,0.9693,0.5000
11,0.1225,0.9693,0.5000
12,0.1221,0.9693,0.5000
13,0.1242,0.9693,0.5000
14,0.1222,0.9693,0.5000
15,0.1225,0.9693,0.5000
16,0.1202,0.9693,0.5000
17,0.1198,0.9693,0.5000
18,0.1200,0.9693,0.5000
19,0.1204,0.9693,0.5000
20,0.1197,0.9693,0.5000
21,0.1219,0.9693,0.5000
22,0.1208,0.9693,0.5000
23,0.1203,0.9693,0.5000
24,0.1208,0.9693,0.5000
25,0.1195,0.9693,0.5000
26,0.1211,0.9693,0.5000
27,0.1198,0.9693,0.5000
28,0.1207,0.9693,0.5000
29,0.1182,0.9693,0.5000
30,0.1188,0.9693,0.5000
31,0.1193,0.9693,0.5000
32,0.1199,0.9693,0.5000
33,0.1190,0.9693,0.5000
34,0.1188,0.9693,0.5000
35,0.1188,0.9693,0.5000
36,0.1196,0.9693,0.5000
37,0.1198,0.9693,0.5000
38,0.1188,0.9693,0.5000
39,0.1188,0.9693,0.5000
40,0.1181,0.9693,0.5000
41,0.1191,0.9693,0.5000
42,0.1183,0.9693,0.5000
43,0.1190,0.9693,0.5000
44,0.1181,0.9693,0.5000
45,0.1194,0.9693,0.5000
46,0.1198,0.9693,0.5000
47,0.1195,0.9693,0.5000
48,0.1186,0.9693,0.5000
49,0.1190,0.9693,0.5000
50,0.1187,0.9693,0.5000
51,0.1190,0.9693,0.5000
52,0.1190,0.9693,0.5000
53,0.1188,0.9693,0.5000
54,0.1189,0.9693,0.5000
55,0.1184,0.9693,0.5000
56,0.1180,0.9693,0.5000
57,0.1183,0.9693,0.5000
58,0.1185,0.9693,0.5000
59,0.1182,0.9693,0.5000
60,0.1205,0.9693,0.5000
61,0.1186,0.9693,0.5000
62,0.1187,0.9693,0.5000
63,0.1191,0.9693,0.5000
64,0.1191,0.9693,0.5000
65,0.1187,0.9693,0.5000
66,0.1186,0.9693,0.5000
67,0.1190,0.9693,0.5000
68,0.1188,0.9693,0.5000
69,0.1190,0.9693,0.5000
70,0.1198,0.9693,0.5000
71,0.1188,0.9693,0.5000
72,0.1194,0.9693,0.5000
73,0.1186,0.9693,0.5000
74,0.1190,0.9693,0.5000
75,0.1185,0.9693,0.5000
76,0.1183,0.9693,0.5000
77,0.1185,0.9693,0.5000
78,0.1195,0.9693,0.5000
79,0.1182,0.9693,0.5000
80,0.1193,0.9693,0.5000
81,0.1203,0.9693,0.5000
82,0.1192,0.9693,0.5000
83,0.1188,0.9693,0.5000
84,0.1187,0.9693,0.5000
85,0.1186,0.9693,0.5000
86,0.1192,0.9693,0.5000
87,0.1193,0.9693,0.5000
88,0.1194,0.9693,0.5000
89,0.1186,0.9693,0.5000
90,0.1185,0.9693,0.5000
91,0.1183,0.9693,0.5000
92,0.1198,0.9693,0.5000
93,0.1184,0.9693,0.5000
94,0.1191,0.9693,0.5000
95,0.1186,0.9693,0.5000
96,0.1179,0.9693,0.5000
97,0.1183,0.9693,0.5000
98,0.1188,0.9693,0.5000
99,0.1186,0.9693,0.5000
100,0.1183,0.9693,0.5000
