Epoch,Loss,TestAcc,TestAuc
1,0.2001,0.9693,0.3860
2,0.1574,0.9693,0.3881
3,0.1456,0.9693,0.3914
4,0.1437,0.9693,0.3902
5,0.1391,0.9693,0.3903
6,0.1417,0.9693,0.3908
7,0.1385,0.9693,0.3881
8,0.1360,0.9693,0.3903
9,0.1364,0.9693,0.3901
10,0.1360,0.9693,0.6108
11,0.1378,0.9693,0.3917
12,0.1376,0.9693,0.3895
13,0.1365,0.9693,0.3879
14,0.1354,0.9693,0.3898
15,0.1356,0.9693,0.6011
16,0.1363,0.9693,0.3880
17,0.1341,0.9693,0.3898
18,0.1367,0.9693,0.3890
19,0.1345,0.9693,0.3873
20,0.1338,0.9693,0.3840
21,0.1351,0.9693,0.3907
22,0.1334,0.9693,0.3906
23,0.1339,0.9693,0.3902
24,0.1404,0.9693,0.3907
25,0.1359,0.9693,0.3901
26,0.1346,0.9693,0.3896
27,0.1349,0.9693,0.3898
28,0.1341,0.9693,0.4396
29,0.1341,0.9693,0.3920
30,0.1360,0.9693,0.3888
31,0.1334,0.9693,0.3891
32,0.1342,0.9693,0.3881
33,0.1349,0.9693,0.6136
34,0.1344,0.9693,0.3889
35,0.1347,0.9693,0.3886
36,0.1342,0.9693,0.3853
37,0.1342,0.9693,0.3887
38,0.1344,0.9693,0.3863
39,0.1341,0.9693,0.3843
40,0.1337,0.9693,0.3887
41,0.1338,0.9693,0.3888
42,0.1345,0.9693,0.3892
43,0.1340,0.9693,0.3876
44,0.1342,0.9693,0.3895
45,0.1339,0.9693,0.3885
46,0.1342,0.9693,0.3897
47,0.1343,0.9693,0.3874
48,0.1341,0.9693,0.3884
49,0.1336,0.9693,0.3852
50,0.1339,0.9693,0.3797
51,0.1341,0.9693,0.3855
52,0.1346,0.9693,0.3836
53,0.1337,0.9693,0.4159
54,0.1340,0.9693,0.6112
55,0.1336,0.9693,0.6115
56,0.1344,0.9693,0.3890
57,0.1345,0.9693,0.4162
58,0.1339,0.9693,0.6119
59,0.1341,0.9693,0.6124
60,0.1342,0.9693,0.3851
61,0.1337,0.9693,0.6121
62,0.1343,0.9693,0.4145
63,0.1341,0.9693,0.3874
64,0.1342,0.9693,0.5410
65,0.1341,0.9693,0.4131
66,0.1339,0.9693,0.3828
67,0.1340,0.9693,0.3854
68,0.1339,0.9693,0.3884
69,0.1341,0.9693,0.3936
70,0.1340,0.9693,0.6119
71,0.1339,0.9693,0.6124
72,0.1345,0.9693,0.6113
73,0.1339,0.9693,0.6110
74,0.1342,0.9693,0.6115
75,0.1339,0.9693,0.6117
76,0.1339,0.9693,0.6117
77,0.1332,0.9693,0.6112
78,0.1341,0.9693,0.6116
79,0.1342,0.9693,0.6187
80,0.1341,0.9693,0.6111
81,0.1342,0.9693,0.6116
82,0.1337,0.9693,0.6116
83,0.1338,0.9693,0.6121
84,0.1338,0.9693,0.6115
85,0.1339,0.9693,0.3868
86,0.1339,0.9693,0.3862
87,0.1339,0.9693,0.3870
88,0.1338,0.9693,0.3882
89,0.1339,0.9693,0.3876
90,0.1339,0.9693,0.3881
91,0.1337,0.9693,0.3880
92,0.1339,0.9693,0.3881
93,0.1338,0.9693,0.3887
94,0.1337,0.9693,0.3880
95,0.1340,0.9693,0.3886
96,0.1340,0.9693,0.3884
97,0.1341,0.9693,0.6118
98,0.1342,0.9693,0.3888
99,0.1340,0.9693,0.6164
100,0.1340,0.9693,0.3882
