Epoch,Loss,TestAcc,TestAuc
1,0.1123,0.9898,0.5385
2,0.0899,0.9898,0.5437
3,0.0690,0.9898,0.5395
4,0.0648,0.9898,0.5431
5,0.0717,0.9898,0.5433
6,0.0650,0.9898,0.5429
7,0.0654,0.9898,0.5361
8,0.0627,0.9898,0.5356
9,0.0644,0.9898,0.5390
10,0.0644,0.9898,0.5389
11,0.0645,0.9898,0.5389
12,0.0667,0.9898,0.5387
13,0.0650,0.9898,0.5389
14,0.0620,0.9898,0.5412
15,0.0629,0.9898,0.5383
16,0.0631,0.9898,0.5433
17,0.0620,0.9898,0.5372
18,0.0634,0.9898,0.5357
19,0.0621,0.9898,0.5397
20,0.0627,0.9898,0.5418
21,0.0627,0.9898,0.5319
22,0.0627,0.9898,0.5347
23,0.0642,0.9898,0.5431
24,0.0627,0.9898,0.5461
25,0.0621,0.9898,0.5450
26,0.0611,0.9898,0.5383
27,0.0627,0.9898,0.5429
28,0.0620,0.9898,0.5319
29,0.0631,0.9898,0.4782
30,0.0614,0.9898,0.5497
31,0.0618,0.9898,0.5475
32,0.0632,0.9898,0.5607
33,0.0623,0.9898,0.4594
34,0.0612,0.9898,0.5330
35,0.0618,0.9898,0.5459
36,0.0620,0.9898,0.5437
37,0.0615,0.9898,0.5408
38,0.0614,0.9898,0.5463
39,0.0629,0.9898,0.5402
40,0.0616,0.9898,0.5440
41,0.0617,0.9898,0.5440
42,0.0624,0.9898,0.5509
43,0.0613,0.9898,0.5444
44,0.0614,0.9898,0.5459
45,0.0621,0.9898,0.5421
46,0.0612,0.9898,0.5473
47,0.0612,0.9898,0.5495
48,0.0611,0.9898,0.5490
49,0.0613,0.9898,0.5499
50,0.0610,0.9898,0.5531
51,0.0615,0.9898,0.5629
52,0.0612,0.9898,0.5484
53,0.0616,0.9898,0.5520
54,0.0612,0.9898,0.5587
55,0.0606,0.9898,0.5664
56,0.0630,0.9898,0.5566
57,0.0627,0.9898,0.5887
58,0.0608,0.9898,0.5522
59,0.0620,0.9898,0.5655
60,0.0618,0.9898,0.5503
61,0.0623,0.9898,0.5435
62,0.0629,0.9898,0.5478
63,0.0617,0.9898,0.5495
64,0.0617,0.9898,0.6191
65,0.0608,0.9898,0.5495
66,0.0618,0.9898,0.5492
67,0.0608,0.9898,0.5482
68,0.0610,0.9898,0.5585
69,0.0617,0.9898,0.5485
70,0.0615,0.9898,0.4567
71,0.0614,0.9898,0.5456
72,0.0608,0.9898,0.5456
73,0.0618,0.9898,0.5484
74,0.0613,0.9898,0.5492
75,0.0616,0.9898,0.5507
76,0.0614,0.9898,0.5507
77,0.0638,0.9898,0.5475
78,0.0617,0.9898,0.5585
79,0.0648,0.9898,0.5528
80,0.0613,0.9898,0.5541
81,0.0606,0.9898,0.5533
82,0.0617,0.9898,0.5440
83,0.0617,0.9898,0.5549
84,0.0610,0.9898,0.5809
85,0.0616,0.9898,0.5651
86,0.0614,0.9898,0.5600
87,0.0618,0.9898,0.5463
88,0.0618,0.9898,0.5552
89,0.0609,0.9898,0.5560
90,0.0612,0.9898,0.5450
91,0.0617,0.9898,0.5573
92,0.0614,0.9898,0.5524
93,0.0606,0.9898,0.5516
94,0.0614,0.9898,0.4776
95,0.0609,0.9898,0.5473
96,0.0613,0.9898,0.5530
97,0.0609,0.9898,0.5499
98,0.0622,0.9898,0.5556
99,0.0612,0.9898,0.5534
100,0.0610,0.9898,0.5410
