Epoch,Loss,TestAcc,TestAuc
1,0.1477,0.9839,0.7167
2,0.1180,0.9839,0.7167
3,0.1024,0.9839,0.7158
4,0.1003,0.9839,0.7164
5,0.0986,0.9839,0.7159
6,0.0956,0.9839,0.7152
7,0.0968,0.9839,0.7144
8,0.0927,0.9839,0.7150
9,0.0931,0.9839,0.7137
10,0.0931,0.9839,0.7173
11,0.0939,0.9839,0.3419
12,0.0930,0.9839,0.7197
13,0.0939,0.9839,0.7151
14,0.0933,0.9839,0.7135
15,0.0951,0.9839,0.7133
16,0.0911,0.9839,0.7134
17,0.0907,0.9839,0.7116
18,0.0919,0.9839,0.2900
19,0.0922,0.9839,0.7180
20,0.0911,0.9839,0.7150
21,0.0929,0.9839,0.7081
22,0.0915,0.9839,0.7153
23,0.0913,0.9839,0.7149
24,0.0913,0.9839,0.7152
25,0.0916,0.9839,0.7169
26,0.0915,0.9839,0.7148
27,0.0908,0.9839,0.7171
28,0.0915,0.9839,0.7121
29,0.0909,0.9839,0.7064
30,0.0902,0.9839,0.7124
31,0.0911,0.9839,0.7156
32,0.0914,0.9839,0.7164
33,0.0905,0.9839,0.7166
34,0.0910,0.9839,0.7163
35,0.0899,0.9839,0.7140
36,0.0919,0.9839,0.7158
37,0.0905,0.9839,0.7152
38,0.0912,0.9839,0.7162
39,0.0911,0.9839,0.7166
40,0.0890,0.9839,0.7172
41,0.0912,0.9839,0.7165
42,0.0925,0.9839,0.7153
43,0.0910,0.9839,0.7164
44,0.0912,0.9839,0.7175
45,0.0910,0.9839,0.7173
46,0.0904,0.9839,0.7159
47,0.0913,0.9839,0.7164
48,0.0922,0.9839,0.7179
49,0.0914,0.9839,0.7183
50,0.0907,0.9839,0.7158
51,0.0903,0.9839,0.7144
52,0.0918,0.9839,0.7177
53,0.0901,0.9839,0.7174
54,0.0906,0.9839,0.7154
55,0.0903,0.9839,0.7159
56,0.0904,0.9839,0.7160
57,0.0909,0.9839,0.7153
58,0.0911,0.9839,0.7173
59,0.0921,0.9839,0.7163
60,0.0912,0.9839,0.7156
61,0.0905,0.9839,0.7171
62,0.0912,0.9839,0.7156
63,0.0904,0.9839,0.7158
64,0.0914,0.9839,0.7150
65,0.0914,0.9839,0.7163
66,0.0919,0.9839,0.7157
67,0.0910,0.9839,0.7150
68,0.0916,0.9839,0.7163
69,0.0917,0.9839,0.7162
70,0.0910,0.9839,0.7148
71,0.0914,0.9839,0.7171
72,0.0902,0.9839,0.7166
73,0.0910,0.9839,0.7164
74,0.0908,0.9839,0.7175
75,0.0904,0.9839,0.7169
76,0.0912,0.9839,0.7154
77,0.0909,0.9839,0.7164
78,0.0905,0.9839,0.7143
79,0.0910,0.9839,0.7142
80,0.0903,0.9839,0.7142
81,0.0915,0.9839,0.7068
82,0.0911,0.9839,0.2817
83,0.0908,0.9839,0.7058
84,0.0903,0.9839,0.7071
85,0.0907,0.9839,0.7142
86,0.0912,0.9839,0.7140
87,0.0914,0.9839,0.7173
88,0.0909,0.9839,0.7146
89,0.0907,0.9839,0.7154
90,0.0912,0.9839,0.7153
91,0.0906,0.9839,0.7165
92,0.0907,0.9839,0.7165
93,0.0910,0.9839,0.7142
94,0.0917,0.9839,0.7167
95,0.0904,0.9839,0.7159
96,0.0912,0.9839,0.7159
97,0.0907,0.9839,0.7159
98,0.0916,0.9839,0.7133
99,0.0906,0.9839,0.7116
100,0.0898,0.9839,0.7127
