Epoch,Loss,TestAcc,TestAuc
1,0.1721,0.9780,0.4934
2,0.1152,0.9780,0.4933
3,0.1101,0.9780,0.4929
4,0.1027,0.9780,0.4913
5,0.1013,0.9780,0.4916
6,0.0992,0.9780,0.4914
7,0.0997,0.9780,0.4909
8,0.0984,0.9780,0.4904
9,0.0957,0.9780,0.4906
10,0.0981,0.9780,0.4908
11,0.0982,0.9780,0.4903
12,0.0986,0.9780,0.4899
13,0.0951,0.9780,0.4905
14,0.0943,0.9780,0.4898
15,0.0957,0.9780,0.4901
16,0.0951,0.9780,0.4895
17,0.0954,0.9780,0.4897
18,0.0953,0.9780,0.4902
19,0.0964,0.9780,0.4903
20,0.0951,0.9780,0.4845
21,0.0951,0.9780,0.4891
22,0.0970,0.9780,0.4911
23,0.0942,0.9780,0.4890
24,0.0931,0.9780,0.4892
25,0.0949,0.9780,0.4908
26,0.0950,0.9780,0.4914
27,0.0944,0.9780,0.4923
28,0.0948,0.9780,0.4915
29,0.0947,0.9780,0.5168
30,0.0942,0.9780,0.4914
31,0.0933,0.9780,0.6101
32,0.0943,0.9780,0.4896
33,0.0938,0.9780,0.6153
34,0.0949,0.9780,0.4923
35,0.0949,0.9780,0.5803
36,0.0940,0.9780,0.4913
37,0.0939,0.9780,0.5295
38,0.0957,0.9780,0.4907
39,0.0937,0.9780,0.4921
40,0.0946,0.9780,0.4921
41,0.0950,0.9780,0.4918
42,0.0937,0.9780,0.4930
43,0.0938,0.9780,0.4920
44,0.0937,0.9780,0.4919
45,0.0940,0.9780,0.4921
46,0.0931,0.9780,0.4919
47,0.0944,0.9780,0.4920
48,0.0928,0.9780,0.4931
49,0.0937,0.9780,0.4925
50,0.0948,0.9780,0.4919
51,0.0952,0.9780,0.4919
52,0.0933,0.9780,0.4919
53,0.0939,0.9780,0.4923
54,0.0933,0.9780,0.4917
55,0.0938,0.9780,0.4927
56,0.0946,0.9780,0.4918
57,0.0930,0.9780,0.4919
58,0.0941,0.9780,0.4917
59,0.0931,0.9780,0.4939
60,0.0942,0.9780,0.4927
61,0.0935,0.9780,0.4925
62,0.0934,0.9780,0.4919
63,0.0935,0.9780,0.4919
64,0.0935,0.9780,0.4923
65,0.0933,0.9780,0.4920
66,0.0937,0.9780,0.4913
67,0.0933,0.9780,0.4922
68,0.0929,0.9780,0.4912
69,0.0939,0.9780,0.4920
70,0.0943,0.9780,0.4910
71,0.0937,0.9780,0.4912
72,0.0930,0.9780,0.4916
73,0.0937,0.9780,0.4915
74,0.0932,0.9780,0.4901
75,0.0937,0.9780,0.4921
76,0.0941,0.9780,0.4921
77,0.0948,0.9780,0.4914
78,0.0939,0.9780,0.4920
79,0.0945,0.9780,0.4783
80,0.0942,0.9780,0.4920
81,0.0948,0.9780,0.4918
82,0.0947,0.9780,0.4924
83,0.0945,0.9780,0.4912
84,0.0926,0.9780,0.4918
85,0.0937,0.9780,0.4913
86,0.0947,0.9780,0.4914
87,0.0937,0.9780,0.4911
88,0.0931,0.9780,0.4925
89,0.0938,0.9780,0.4910
90,0.0940,0.9780,0.4917
91,0.0934,0.9780,0.4911
92,0.0939,0.9780,0.4891
93,0.0936,0.9780,0.4925
94,0.0933,0.9780,0.4925
95,0.0940,0.9780,0.4925
96,0.0937,0.9780,0.4928
97,0.0941,0.9780,0.4919
98,0.0942,0.9780,0.4919
99,0.0940,0.9780,0.4928
100,0.0962,0.9780,0.4868
