Epoch,Loss,TestAcc,TestAuc
1,0.2237,0.9634,0.4960
2,0.1811,0.9634,0.4971
3,0.1870,0.9634,0.4984
4,0.1759,0.9634,0.4945
5,0.1746,0.9634,0.4941
6,0.1739,0.9634,0.4977
7,0.1730,0.9634,0.4971
8,0.1731,0.9634,0.4740
9,0.1719,0.9634,0.4957
10,0.1765,0.9634,0.5053
11,0.1726,0.9634,0.5083
12,0.1717,0.9634,0.5047
13,0.1704,0.9634,0.5045
14,0.1707,0.9634,0.5021
15,0.1714,0.9634,0.5011
16,0.1720,0.9634,0.5001
17,0.1721,0.9634,0.4993
18,0.1703,0.9634,0.4959
19,0.1708,0.9634,0.4991
20,0.1706,0.9634,0.4984
21,0.1712,0.9634,0.4944
22,0.1708,0.9634,0.4948
23,0.1701,0.9634,0.5146
24,0.1700,0.9634,0.5157
25,0.1700,0.9634,0.4974
26,0.1704,0.9634,0.5032
27,0.1693,0.9634,0.4969
28,0.1699,0.9634,0.4973
29,0.1693,0.9634,0.4933
30,0.1698,0.9634,0.5125
31,0.1697,0.9634,0.4950
32,0.1697,0.9634,0.4953
33,0.1701,0.9634,0.4951
34,0.1696,0.9634,0.4964
35,0.1701,0.9634,0.5050
36,0.1700,0.9634,0.4965
37,0.1694,0.9634,0.4966
38,0.1692,0.9634,0.4999
39,0.1702,0.9634,0.4950
40,0.1700,0.9634,0.4815
41,0.1696,0.9634,0.5014
42,0.1693,0.9634,0.4950
43,0.1693,0.9634,0.4952
44,0.1694,0.9634,0.4900
45,0.1697,0.9634,0.4951
46,0.1694,0.9634,0.5040
47,0.1697,0.9634,0.4949
48,0.1694,0.9634,0.4950
49,0.1693,0.9634,0.4953
50,0.1693,0.9634,0.4953
51,0.1699,0.9634,0.4963
52,0.1685,0.9634,0.4955
53,0.1707,0.9634,0.4960
54,0.1701,0.9634,0.4959
55,0.1698,0.9634,0.4953
56,0.1695,0.9634,0.4957
57,0.1702,0.9634,0.4954
58,0.1693,0.9634,0.4952
59,0.1700,0.9634,0.4956
60,0.1690,0.9634,0.4951
61,0.1690,0.9634,0.4953
62,0.1701,0.9634,0.4960
63,0.1693,0.9634,0.4960
64,0.1697,0.9634,0.4953
65,0.1692,0.9634,0.4953
66,0.1690,0.9634,0.5050
67,0.1695,0.9634,0.4963
68,0.1692,0.9634,0.4957
69,0.1691,0.9634,0.4976
70,0.1696,0.9634,0.4960
71,0.1691,0.9634,0.4957
72,0.1695,0.9634,0.4962
73,0.1693,0.9634,0.4959
74,0.1696,0.9634,0.4950
75,0.1695,0.9634,0.4956
76,0.1695,0.9634,0.4947
77,0.1693,0.9634,0.4949
78,0.1704,0.9634,0.4954
79,0.1700,0.9634,0.4954
80,0.1695,0.9634,0.4952
81,0.1690,0.9634,0.4942
82,0.1698,0.9634,0.4951
83,0.1693,0.9634,0.4960
84,0.1693,0.9634,0.4957
85,0.1692,0.9634,0.4963
86,0.1694,0.9634,0.4952
87,0.1692,0.9634,0.4944
88,0.1691,0.9634,0.4949
89,0.1696,0.9634,0.4949
90,0.1693,0.9634,0.4960
91,0.1692,0.9634,0.5026
92,0.1697,0.9634,0.5006
93,0.1689,0.9634,0.4938
94,0.1693,0.9634,0.4957
95,0.1693,0.9634,0.4947
96,0.1692,0.9634,0.4955
97,0.1694,0.9634,0.4947
98,0.1692,0.9634,0.4956
99,0.1692,0.9634,0.4955
100,0.1693,0.9634,0.4954
