Epoch,Loss,TestAcc,TestAuc
1,0.1951,0.9927,0.4268
2,0.0994,0.9927,0.4280
3,0.0772,0.9927,0.4304
4,0.0783,0.9927,0.4301
5,0.0681,0.9927,0.4301
6,0.0682,0.9927,0.4295
7,0.0671,0.9927,0.4313
8,0.0660,0.9927,0.4319
9,0.0679,0.9927,0.4313
10,0.0644,0.9927,0.4310
11,0.0658,0.9927,0.4310
12,0.0660,0.9927,0.4307
13,0.0657,0.9927,0.4310
14,0.0624,0.9927,0.4310
15,0.0679,0.9927,0.4310
16,0.0643,0.9927,0.4307
17,0.0666,0.9927,0.4330
18,0.0613,0.9927,0.4313
19,0.0672,0.9927,0.4307
20,0.0639,0.9927,0.4322
21,0.0642,0.9927,0.4316
22,0.0659,0.9927,0.4330
23,0.0633,0.9927,0.4330
24,0.0642,0.9927,0.4310
25,0.0625,0.9927,0.4322
26,0.0632,0.9927,0.4319
27,0.0637,0.9927,0.4316
28,0.0617,0.9927,0.4319
29,0.0624,0.9927,0.4313
30,0.0628,0.9927,0.4313
31,0.0634,0.9927,0.4319
32,0.0620,0.9927,0.4316
33,0.0630,0.9927,0.4313
34,0.0622,0.9927,0.4322
35,0.0628,0.9927,0.4313
36,0.0622,0.9927,0.4316
37,0.0609,0.9927,0.4336
38,0.0626,0.9927,0.4339
39,0.0621,0.9927,0.4342
40,0.0610,0.9927,0.4339
41,0.0608,0.9927,0.4327
42,0.0623,0.9927,0.4336
43,0.0610,0.9927,0.4319
44,0.0623,0.9927,0.4322
45,0.0607,0.9927,0.4310
46,0.0626,0.9927,0.4304
47,0.0612,0.9927,0.4360
48,0.0614,0.9927,0.4330
49,0.0613,0.9927,0.4324
50,0.0607,0.9927,0.4316
51,0.0616,0.9927,0.4330
52,0.0608,0.9927,0.4336
53,0.0617,0.9927,0.4336
54,0.0602,0.9927,0.4339
55,0.0627,0.9927,0.4330
56,0.0622,0.9927,0.4310
57,0.0623,0.9927,0.4274
58,0.0610,0.9927,0.4295
59,0.0611,0.9927,0.4286
60,0.0612,0.9927,0.4286
61,0.0613,0.9927,0.4280
62,0.0610,0.9927,0.4286
63,0.0610,0.9927,0.4292
64,0.0622,0.9927,0.4276
65,0.0608,0.9927,0.4292
66,0.0607,0.9927,0.4286
67,0.0623,0.9927,0.4280
68,0.0616,0.9927,0.4316
69,0.0620,0.9927,0.4274
70,0.0613,0.9927,0.4295
71,0.0643,0.9927,0.4260
72,0.0615,0.9927,0.4271
73,0.0616,0.9927,0.4268
74,0.0620,0.9927,0.4265
75,0.0617,0.9927,0.4286
76,0.0609,0.9927,0.4286
77,0.0607,0.9927,0.4289
78,0.0637,0.9927,0.4280
79,0.0607,0.9927,0.4263
80,0.0620,0.9927,0.4257
81,0.0624,0.9927,0.4274
82,0.0613,0.9927,0.4268
83,0.0608,0.9927,0.4265
84,0.0613,0.9927,0.4274
85,0.0604,0.9927,0.4265
86,0.0609,0.9927,0.4271
87,0.0614,0.9927,0.4268
88,0.0609,0.9927,0.4268
89,0.0607,0.9927,0.4248
90,0.0614,0.9927,0.4277
91,0.0612,0.9927,0.4265
92,0.0619,0.9927,0.4265
93,0.0612,0.9927,0.4274
94,0.0628,0.9927,0.4298
95,0.0600,0.9927,0.4292
96,0.0616,0.9927,0.4277
97,0.0614,0.9927,0.4286
98,0.0613,0.9927,0.4286
99,0.0628,0.9927,0.4280
100,0.0614,0.9927,0.4248
