Epoch,Loss,TestAcc,TestAuc
1,0.4032,0.9078,0.5091
2,0.3509,0.9078,0.5085
3,0.3430,0.9078,0.5120
4,0.3404,0.9078,0.4836
5,0.3387,0.9078,0.5113
6,0.3368,0.9078,0.5066
7,0.3354,0.9078,0.4962
8,0.3337,0.9078,0.5154
9,0.3367,0.9078,0.5268
10,0.3335,0.9078,0.5138
11,0.3342,0.9078,0.5036
12,0.3328,0.9078,0.4291
13,0.3337,0.9078,0.4973
14,0.3315,0.9078,0.4759
15,0.3300,0.9078,0.5024
16,0.3305,0.9078,0.5197
17,0.3307,0.9078,0.4275
18,0.3313,0.9078,0.5083
19,0.3313,0.9078,0.5069
20,0.3305,0.9078,0.5064
21,0.3302,0.9078,0.5020
22,0.3308,0.9078,0.5035
23,0.3314,0.9078,0.4964
24,0.3314,0.9078,0.4961
25,0.3315,0.9078,0.4933
26,0.3304,0.9078,0.4962
27,0.3307,0.9078,0.4439
28,0.3306,0.9078,0.5016
29,0.3306,0.9078,0.4663
30,0.3305,0.9078,0.5099
31,0.3305,0.9078,0.4776
32,0.3304,0.9078,0.4578
33,0.3307,0.9078,0.4628
34,0.3302,0.9078,0.4858
35,0.3301,0.9078,0.5014
36,0.3306,0.9078,0.4871
37,0.3306,0.9078,0.4764
38,0.3299,0.9078,0.4814
39,0.3299,0.9078,0.5098
40,0.3294,0.9078,0.5219
41,0.3297,0.9078,0.5144
42,0.3308,0.9078,0.5100
43,0.3304,0.9078,0.5019
44,0.3298,0.9078,0.5039
45,0.3301,0.9078,0.5297
46,0.3305,0.9078,0.5269
47,0.3306,0.9078,0.4699
48,0.3298,0.9078,0.4875
49,0.3302,0.9078,0.4483
50,0.3301,0.9078,0.4739
51,0.3295,0.9078,0.4762
52,0.3291,0.9078,0.4780
53,0.3296,0.9078,0.4276
54,0.3298,0.9078,0.5115
55,0.3301,0.9078,0.5018
56,0.3303,0.9078,0.4891
57,0.3298,0.9078,0.5161
58,0.3297,0.9078,0.5217
59,0.3296,0.9078,0.5229
60,0.3296,0.9078,0.5062
61,0.3300,0.9078,0.5113
62,0.3295,0.9078,0.5089
63,0.3295,0.9078,0.5108
64,0.3300,0.9078,0.5151
65,0.3296,0.9078,0.4807
66,0.3293,0.9078,0.5140
67,0.3297,0.9078,0.4896
68,0.3301,0.9078,0.5109
69,0.3298,0.9078,0.5160
70,0.3298,0.9078,0.5139
71,0.3294,0.9078,0.5131
72,0.3296,0.9078,0.5120
73,0.3291,0.9078,0.5096
74,0.3295,0.9078,0.5127
75,0.3296,0.9078,0.5033
76,0.3293,0.9078,0.5105
77,0.3296,0.9078,0.4460
78,0.3295,0.9078,0.4805
79,0.3293,0.9078,0.4753
80,0.3293,0.9078,0.4377
81,0.3292,0.9078,0.4936
82,0.3294,0.9078,0.4659
83,0.3293,0.9078,0.4488
84,0.3295,0.9078,0.4749
85,0.3293,0.9078,0.4781
86,0.3293,0.9078,0.4768
87,0.3295,0.9078,0.4761
88,0.3294,0.9078,0.4766
89,0.3294,0.9078,0.4454
90,0.3296,0.9078,0.5100
91,0.3298,0.9078,0.5194
92,0.3301,0.9078,0.5089
93,0.3300,0.9078,0.4843
94,0.3296,0.9078,0.5163
95,0.3295,0.9078,0.5140
96,0.3301,0.9078,0.5100
97,0.3303,0.9078,0.4778
98,0.3304,0.9078,0.5031
99,0.3297,0.9078,0.4862
100,0.3293,0.9078,0.4826
