Epoch,Loss,TestAcc,TestAuc
1,0.1374,0.9810,0.4095
2,0.1089,0.9810,0.4065
3,0.1054,0.9810,0.4106
4,0.1041,0.9810,0.4088
5,0.1028,0.9810,0.4115
6,0.1013,0.9810,0.4154
7,0.1053,0.9810,0.4138
8,0.1018,0.9810,0.4103
9,0.1022,0.9810,0.4111
10,0.1009,0.9810,0.4097
11,0.1007,0.9810,0.4034
12,0.1015,0.9810,0.4113
13,0.1001,0.9810,0.4103
14,0.0996,0.9810,0.4092
15,0.0996,0.9810,0.4030
16,0.0992,0.9810,0.4033
17,0.1021,0.9810,0.4118
18,0.0986,0.9810,0.4107
19,0.0997,0.9810,0.4109
20,0.0983,0.9810,0.4126
21,0.0986,0.9810,0.4219
22,0.0980,0.9810,0.4201
23,0.0987,0.9810,0.4139
24,0.0975,0.9810,0.4133
25,0.0981,0.9810,0.4162
26,0.0989,0.9810,0.4151
27,0.0993,0.9810,0.4154
28,0.0978,0.9810,0.4155
29,0.0995,0.9810,0.4179
30,0.0980,0.9810,0.4151
31,0.1000,0.9810,0.4134
32,0.0985,0.9810,0.4110
33,0.0998,0.9810,0.4112
34,0.0977,0.9810,0.4037
35,0.0984,0.9810,0.5817
36,0.0989,0.9810,0.4095
37,0.0977,0.9810,0.5837
38,0.0980,0.9810,0.4114
39,0.0983,0.9810,0.4110
40,0.0981,0.9810,0.4096
41,0.0975,0.9810,0.4110
42,0.0974,0.9810,0.4126
43,0.1004,0.9810,0.5907
44,0.0980,0.9810,0.4122
45,0.0980,0.9810,0.4164
46,0.0984,0.9810,0.4115
47,0.0986,0.9810,0.4115
48,0.0978,0.9810,0.4126
49,0.0980,0.9810,0.4106
50,0.0990,0.9810,0.4135
51,0.0982,0.9810,0.4092
52,0.0986,0.9810,0.4103
53,0.0972,0.9810,0.4055
54,0.0979,0.9810,0.4073
55,0.0981,0.9810,0.4109
56,0.0979,0.9810,0.4137
57,0.0982,0.9810,0.4127
58,0.0980,0.9810,0.4115
59,0.0979,0.9810,0.4117
60,0.0980,0.9810,0.4131
61,0.0985,0.9810,0.4131
62,0.0987,0.9810,0.4130
63,0.0985,0.9810,0.5757
64,0.0984,0.9810,0.4092
65,0.0989,0.9810,0.4078
66,0.0975,0.9810,0.4110
67,0.0970,0.9810,0.4116
68,0.0983,0.9810,0.4109
69,0.0978,0.9810,0.4160
70,0.0978,0.9810,0.4090
71,0.0988,0.9810,0.4111
72,0.0975,0.9810,0.4121
73,0.0979,0.9810,0.4095
74,0.0981,0.9810,0.4117
75,0.0981,0.9810,0.4093
76,0.0992,0.9810,0.4099
77,0.0986,0.9810,0.4113
78,0.1001,0.9810,0.4095
79,0.0986,0.9810,0.4116
80,0.0982,0.9810,0.4110
81,0.1006,0.9810,0.4117
82,0.0994,0.9810,0.4108
83,0.0979,0.9810,0.4088
84,0.0974,0.9810,0.5839
85,0.0991,0.9810,0.4083
86,0.0993,0.9810,0.4115
87,0.0988,0.9810,0.4121
88,0.0982,0.9810,0.4129
89,0.0976,0.9810,0.4150
90,0.0980,0.9810,0.4138
91,0.0983,0.9810,0.4156
92,0.0979,0.9810,0.4129
93,0.0983,0.9810,0.4137
94,0.0979,0.9810,0.4110
95,0.0976,0.9810,0.4072
96,0.0986,0.9810,0.4113
97,0.0985,0.9810,0.4119
98,0.0977,0.9810,0.5863
99,0.0980,0.9810,0.4054
100,0.0973,0.9810,0.5859
