Epoch,Loss,TestAcc,TestAuc
1,0.1798,0.9751,0.6297
2,0.1150,0.9751,0.6339
3,0.1045,0.9751,0.6342
4,0.1015,0.9751,0.6355
5,0.0947,0.9751,0.6357
6,0.0939,0.9751,0.6344
7,0.0945,0.9751,0.6361
8,0.0957,0.9751,0.6353
9,0.0934,0.9751,0.6341
10,0.0960,0.9751,0.6349
11,0.0884,0.9751,0.6342
12,0.0928,0.9751,0.6346
13,0.0892,0.9751,0.6350
14,0.0915,0.9751,0.6343
15,0.0908,0.9751,0.6350
16,0.0871,0.9751,0.6349
17,0.0898,0.9751,0.6337
18,0.0903,0.9751,0.6348
19,0.0894,0.9751,0.6334
20,0.0900,0.9751,0.6350
21,0.0903,0.9751,0.6344
22,0.0892,0.9751,0.6341
23,0.0896,0.9751,0.6338
24,0.0905,0.9751,0.6331
25,0.0894,0.9751,0.3732
26,0.0874,0.9751,0.6345
27,0.0890,0.9751,0.6344
28,0.0886,0.9751,0.6346
29,0.0889,0.9751,0.6348
30,0.0875,0.9751,0.6340
31,0.0891,0.9751,0.6350
32,0.0879,0.9751,0.6286
33,0.0881,0.9751,0.6335
34,0.0877,0.9751,0.6325
35,0.0893,0.9751,0.6343
36,0.0880,0.9751,0.6338
37,0.0880,0.9751,0.6324
38,0.0880,0.9751,0.6315
39,0.0880,0.9751,0.6328
40,0.0875,0.9751,0.6328
41,0.0885,0.9751,0.6333
42,0.0882,0.9751,0.6339
43,0.0870,0.9751,0.6332
44,0.0882,0.9751,0.6330
45,0.0891,0.9751,0.6333
46,0.0886,0.9751,0.6333
47,0.0882,0.9751,0.6331
48,0.0876,0.9751,0.6330
49,0.0887,0.9751,0.6326
50,0.0874,0.9751,0.6324
51,0.0872,0.9751,0.6309
52,0.0884,0.9751,0.6331
53,0.0877,0.9751,0.6328
54,0.0877,0.9751,0.6326
55,0.0874,0.9751,0.6326
56,0.0885,0.9751,0.6318
57,0.0876,0.9751,0.6326
58,0.0878,0.9751,0.6329
59,0.0880,0.9751,0.6327
60,0.0880,0.9751,0.6328
61,0.0879,0.9751,0.6328
62,0.0879,0.9751,0.6329
63,0.0873,0.9751,0.6330
64,0.0891,0.9751,0.6328
65,0.0885,0.9751,0.6328
66,0.0877,0.9751,0.6333
67,0.0872,0.9751,0.6329
68,0.0885,0.9751,0.6324
69,0.0882,0.9751,0.6329
70,0.0882,0.9751,0.6322
71,0.0882,0.9751,0.6331
72,0.0883,0.9751,0.6321
73,0.0881,0.9751,0.6328
74,0.0875,0.9751,0.6323
75,0.0886,0.9751,0.6325
76,0.0879,0.9751,0.6330
77,0.0897,0.9751,0.6327
78,0.0879,0.9751,0.6328
79,0.0875,0.9751,0.6329
80,0.0884,0.9751,0.6332
81,0.0876,0.9751,0.6325
82,0.0876,0.9751,0.6338
83,0.0881,0.9751,0.6333
84,0.0878,0.9751,0.6320
85,0.0887,0.9751,0.6332
86,0.0874,0.9751,0.6328
87,0.0876,0.9751,0.6327
88,0.0876,0.9751,0.6332
89,0.0872,0.9751,0.6326
90,0.0871,0.9751,0.6336
91,0.0871,0.9751,0.6337
92,0.0882,0.9751,0.6328
93,0.0877,0.9751,0.6325
94,0.0877,0.9751,0.6326
95,0.0885,0.9751,0.6334
96,0.0884,0.9751,0.6338
97,0.0881,0.9751,0.6328
98,0.0879,0.9751,0.6329
99,0.0878,0.9751,0.6329
100,0.0879,0.9751,0.6329
