Epoch,Loss,TestAcc,TestAuc
1,0.1307,0.9898,0.6735
2,0.0710,0.9898,0.6740
3,0.0557,0.9898,0.6738
4,0.0556,0.9898,0.6714
5,0.0531,0.9898,0.6709
6,0.0549,0.9898,0.6700
7,0.0457,0.9898,0.6681
8,0.0488,0.9898,0.3686
9,0.0474,0.9898,0.6698
10,0.0457,0.9898,0.6689
11,0.0465,0.9898,0.6719
12,0.0431,0.9898,0.6674
13,0.0502,0.9898,0.6646
14,0.0423,0.9898,0.6612
15,0.0441,0.9898,0.6620
16,0.0475,0.9898,0.6629
17,0.0439,0.9898,0.6635
18,0.0459,0.9898,0.6657
19,0.0430,0.9898,0.6658
20,0.0438,0.9898,0.6661
21,0.0431,0.9898,0.6675
22,0.0445,0.9898,0.6693
23,0.0449,0.9898,0.6699
24,0.0447,0.9898,0.6641
25,0.0435,0.9898,0.6641
26,0.0426,0.9898,0.6645
27,0.0461,0.9898,0.6640
28,0.0423,0.9898,0.6673
29,0.0451,0.9898,0.6689
30,0.0435,0.9898,0.6696
31,0.0437,0.9898,0.6673
32,0.0426,0.9898,0.6697
33,0.0411,0.9898,0.6710
34,0.0432,0.9898,0.6702
35,0.0454,0.9898,0.4797
36,0.0437,0.9898,0.6710
37,0.0434,0.9898,0.6703
38,0.0431,0.9898,0.6679
39,0.0432,0.9898,0.6711
40,0.0430,0.9898,0.6709
41,0.0435,0.9898,0.6705
42,0.0425,0.9898,0.6701
43,0.0418,0.9898,0.6687
44,0.0436,0.9898,0.6693
45,0.0414,0.9898,0.6710
46,0.0414,0.9898,0.6717
47,0.0416,0.9898,0.6699
48,0.0434,0.9898,0.6709
49,0.0425,0.9898,0.6708
50,0.0425,0.9898,0.6703
51,0.0398,0.9898,0.6738
52,0.0449,0.9898,0.6718
53,0.0424,0.9898,0.6719
54,0.0430,0.9898,0.6709
55,0.0428,0.9898,0.6709
56,0.0421,0.9898,0.6686
57,0.0428,0.9898,0.6703
58,0.0407,0.9898,0.6709
59,0.0429,0.9898,0.6693
60,0.0419,0.9898,0.6706
61,0.0421,0.9898,0.6697
62,0.0423,0.9898,0.6706
63,0.0429,0.9898,0.6698
64,0.0423,0.9898,0.6699
65,0.0425,0.9898,0.6696
66,0.0426,0.9898,0.6699
67,0.0415,0.9898,0.6706
68,0.0434,0.9898,0.6709
69,0.0421,0.9898,0.6684
70,0.0427,0.9898,0.6679
71,0.0424,0.9898,0.6719
72,0.0436,0.9898,0.6706
73,0.0440,0.9898,0.6701
74,0.0422,0.9898,0.6704
75,0.0435,0.9898,0.6706
76,0.0419,0.9898,0.6712
77,0.0427,0.9898,0.6706
78,0.0436,0.9898,0.6709
79,0.0426,0.9898,0.6698
80,0.0432,0.9898,0.6687
81,0.0428,0.9898,0.6686
82,0.0417,0.9898,0.6683
83,0.0424,0.9898,0.6686
84,0.0424,0.9898,0.6684
85,0.0424,0.9898,0.6705
86,0.0427,0.9898,0.6706
87,0.0416,0.9898,0.6713
88,0.0430,0.9898,0.6722
89,0.0421,0.9898,0.6711
90,0.0419,0.9898,0.6706
91,0.0430,0.9898,0.6703
92,0.0432,0.9898,0.6710
93,0.0420,0.9898,0.6698
94,0.0431,0.9898,0.6706
95,0.0422,0.9898,0.6711
96,0.0427,0.9898,0.6702
97,0.0418,0.9898,0.6704
98,0.0426,0.9898,0.6696
99,0.0431,0.9898,0.6690
100,0.0424,0.9898,0.6708
