Epoch,Loss,TestAcc,TestAuc
1,0.1729,0.9780,0.4460
2,0.1397,0.9780,0.4534
3,0.1054,0.9780,0.4488
4,0.1011,0.9780,0.4471
5,0.1190,0.9780,0.4525
6,0.1007,0.9780,0.4535
7,0.0941,0.9780,0.4604
8,0.1020,0.9780,0.4461
9,0.0994,0.9780,0.4448
10,0.0965,0.9780,0.4469
11,0.1001,0.9780,0.4450
12,0.0965,0.9780,0.4458
13,0.0982,0.9780,0.4525
14,0.0951,0.9780,0.4464
15,0.0935,0.9780,0.4471
16,0.0954,0.9780,0.4476
17,0.0965,0.9780,0.4586
18,0.0949,0.9780,0.4630
19,0.0965,0.9780,0.4674
20,0.0942,0.9780,0.4947
21,0.0949,0.9780,0.4626
22,0.0954,0.9780,0.4654
23,0.0958,0.9780,0.4632
24,0.0920,0.9780,0.4865
25,0.0956,0.9780,0.4839
26,0.0950,0.9780,0.4680
27,0.0945,0.9780,0.4538
28,0.0923,0.9780,0.4504
29,0.0940,0.9780,0.4507
30,0.0955,0.9780,0.4478
31,0.0941,0.9780,0.4467
32,0.0936,0.9780,0.4447
33,0.0946,0.9780,0.4434
34,0.0953,0.9780,0.5591
35,0.0939,0.9780,0.4567
36,0.0938,0.9780,0.4596
37,0.0938,0.9780,0.4544
38,0.0948,0.9780,0.4672
39,0.0948,0.9780,0.4953
40,0.0935,0.9780,0.4721
41,0.0934,0.9780,0.4743
42,0.0940,0.9780,0.4742
43,0.0961,0.9780,0.4771
44,0.0948,0.9780,0.4538
45,0.0969,0.9780,0.4535
46,0.0942,0.9780,0.4513
47,0.0944,0.9780,0.4583
48,0.0939,0.9780,0.4571
49,0.0934,0.9780,0.4586
50,0.0931,0.9780,0.4589
51,0.0936,0.9780,0.4559
52,0.0924,0.9780,0.4540
53,0.0941,0.9780,0.4561
54,0.0947,0.9780,0.4569
55,0.0937,0.9780,0.4568
56,0.0937,0.9780,0.4565
57,0.0933,0.9780,0.4518
58,0.0961,0.9780,0.4518
59,0.0934,0.9780,0.4515
60,0.0931,0.9780,0.4554
61,0.0946,0.9780,0.4571
62,0.0943,0.9780,0.4601
63,0.0942,0.9780,0.4655
64,0.0932,0.9780,0.4570
65,0.0932,0.9780,0.4586
66,0.0951,0.9780,0.4595
67,0.0939,0.9780,0.4588
68,0.0934,0.9780,0.4812
69,0.0933,0.9780,0.4595
70,0.0939,0.9780,0.4575
71,0.0944,0.9780,0.4570
72,0.0929,0.9780,0.4573
73,0.0934,0.9780,0.4604
74,0.0946,0.9780,0.4584
75,0.0934,0.9780,0.4586
76,0.0931,0.9780,0.4595
77,0.0932,0.9780,0.4671
78,0.0947,0.9780,0.4590
79,0.0930,0.9780,0.4638
80,0.0934,0.9780,0.4734
81,0.0945,0.9780,0.4590
82,0.0932,0.9780,0.4564
83,0.0936,0.9780,0.4533
84,0.0934,0.9780,0.4543
85,0.0930,0.9780,0.4507
86,0.0936,0.9780,0.4556
87,0.0936,0.9780,0.4477
88,0.0940,0.9780,0.4475
89,0.0937,0.9780,0.4488
90,0.0930,0.9780,0.4501
91,0.0931,0.9780,0.4514
92,0.0931,0.9780,0.4528
93,0.0934,0.9780,0.4489
94,0.0942,0.9780,0.4498
95,0.0933,0.9780,0.4549
96,0.0932,0.9780,0.4539
97,0.0930,0.9780,0.4572
98,0.0927,0.9780,0.4510
99,0.0945,0.9780,0.4505
100,0.0938,0.9780,0.4581
