Epoch,Loss,TestAcc,TestAuc
1,0.1226,0.9941,0.5006
2,0.0891,0.9941,0.4912
3,0.0778,0.9941,0.4954
4,0.0745,0.9941,0.4976
5,0.0758,0.9941,0.4886
6,0.0674,0.9941,0.4810
7,0.0704,0.9941,0.4842
8,0.0679,0.9941,0.4761
9,0.0690,0.9941,0.4810
10,0.0689,0.9941,0.4818
11,0.0707,0.9941,0.4818
12,0.0688,0.9941,0.4823
13,0.0681,0.9941,0.4792
14,0.0698,0.9941,0.4759
15,0.0686,0.9941,0.4792
16,0.0697,0.9941,0.4744
17,0.0659,0.9941,0.4733
18,0.0688,0.9941,0.4792
19,0.0672,0.9941,0.4829
20,0.0663,0.9941,0.4884
21,0.0671,0.9941,0.4902
22,0.0668,0.9941,0.4899
23,0.0661,0.9941,0.4840
24,0.0660,0.9941,0.4796
25,0.0668,0.9941,0.4832
26,0.0674,0.9941,0.4796
27,0.0671,0.9941,0.4814
28,0.0668,0.9941,0.4891
29,0.0654,0.9941,0.4958
30,0.0661,0.9941,0.5009
31,0.0674,0.9941,0.4958
32,0.0671,0.9941,0.5028
33,0.0671,0.9941,0.5219
34,0.0672,0.9941,0.6552
35,0.0668,0.9941,0.4913
36,0.0668,0.9941,0.5009
37,0.0662,0.9941,0.4972
38,0.0666,0.9941,0.5186
39,0.0655,0.9941,0.5013
40,0.0657,0.9941,0.5053
41,0.0662,0.9941,0.5109
42,0.0661,0.9941,0.5164
43,0.0661,0.9941,0.5053
44,0.0658,0.9941,0.4987
45,0.0668,0.9941,0.5153
46,0.0663,0.9941,0.5156
47,0.0665,0.9941,0.5007
48,0.0668,0.9941,0.5147
49,0.0655,0.9941,0.5320
50,0.0656,0.9941,0.4991
51,0.0666,0.9941,0.5145
52,0.0674,0.9941,0.4991
53,0.0660,0.9941,0.5042
54,0.0674,0.9941,0.5041
55,0.0663,0.9941,0.5127
56,0.0662,0.9941,0.5096
57,0.0667,0.9941,0.4987
58,0.0666,0.9941,0.4991
59,0.0669,0.9941,0.4976
60,0.0669,0.9941,0.5057
61,0.0667,0.9941,0.5053
62,0.0662,0.9941,0.5039
63,0.0656,0.9941,0.4983
64,0.0677,0.9941,0.4950
65,0.0660,0.9941,0.5039
66,0.0660,0.9941,0.5171
67,0.0661,0.9941,0.5179
68,0.0660,0.9941,0.5304
69,0.0658,0.9941,0.5145
70,0.0658,0.9941,0.5079
71,0.0670,0.9941,0.5274
72,0.0661,0.9941,0.5186
73,0.0649,0.9941,0.5219
74,0.0662,0.9941,0.5532
75,0.0675,0.9941,0.5164
76,0.0673,0.9941,0.4987
77,0.0670,0.9941,0.5145
78,0.0653,0.9941,0.5179
79,0.0671,0.9941,0.5064
80,0.0674,0.9941,0.5002
81,0.0668,0.9941,0.5039
82,0.0667,0.9941,0.5145
83,0.0660,0.9941,0.5145
84,0.0661,0.9941,0.5090
85,0.0661,0.9941,0.5145
86,0.0657,0.9941,0.4987
87,0.0663,0.9941,0.4899
88,0.0661,0.9941,0.4844
89,0.0662,0.9941,0.4884
90,0.0674,0.9941,0.4901
91,0.0666,0.9941,0.4987
92,0.0665,0.9941,0.4954
93,0.0664,0.9941,0.4947
94,0.0653,0.9941,0.4956
95,0.0675,0.9941,0.5053
96,0.0659,0.9941,0.6000
97,0.0666,0.9941,0.4915
98,0.0660,0.9941,0.5031
99,0.0690,0.9941,0.4891
100,0.0662,0.9941,0.5042
