Epoch,Loss,TestAcc,TestAuc
1,0.1524,0.9854,0.4824
2,0.1188,0.9854,0.4860
3,0.0930,0.9854,0.4857
4,0.0954,0.9854,0.4975
5,0.0858,0.9854,0.4965
6,0.0873,0.9854,0.4941
7,0.0855,0.9854,0.4972
8,0.0825,0.9854,0.4964
9,0.0847,0.9854,0.4883
10,0.0834,0.9854,0.4838
11,0.0842,0.9854,0.4868
12,0.0815,0.9854,0.4845
13,0.0817,0.9854,0.4818
14,0.0796,0.9854,0.4812
15,0.0821,0.9854,0.4754
16,0.0820,0.9854,0.4642
17,0.0809,0.9854,0.4803
18,0.0804,0.9854,0.4810
19,0.0858,0.9854,0.4774
20,0.0864,0.9854,0.4733
21,0.0890,0.9854,0.4634
22,0.0852,0.9854,0.4709
23,0.0806,0.9854,0.4700
24,0.0822,0.9854,0.4724
25,0.0825,0.9854,0.4738
26,0.0812,0.9854,0.4748
27,0.0835,0.9854,0.4776
28,0.0819,0.9854,0.4764
29,0.0811,0.9854,0.4672
30,0.0816,0.9854,0.4438
31,0.0845,0.9854,0.4889
32,0.0809,0.9854,0.4871
33,0.0805,0.9854,0.4870
34,0.0806,0.9854,0.4526
35,0.0816,0.9854,0.4848
36,0.0803,0.9854,0.4915
37,0.0801,0.9854,0.4926
38,0.0811,0.9854,0.4949
39,0.0811,0.9854,0.4601
40,0.0801,0.9854,0.4603
41,0.0796,0.9854,0.4871
42,0.0808,0.9854,0.4467
43,0.0803,0.9854,0.4871
44,0.0803,0.9854,0.4873
45,0.0819,0.9854,0.4047
46,0.0805,0.9854,0.4859
47,0.0823,0.9854,0.4822
48,0.0806,0.9854,0.4836
49,0.0815,0.9854,0.3631
50,0.0803,0.9854,0.4858
51,0.0811,0.9854,0.4870
52,0.0795,0.9854,0.5033
53,0.0802,0.9854,0.5059
54,0.0804,0.9854,0.4858
55,0.0817,0.9854,0.5002
56,0.0800,0.9854,0.4910
57,0.0797,0.9854,0.4920
58,0.0800,0.9854,0.4947
59,0.0797,0.9854,0.4886
60,0.0795,0.9854,0.4852
61,0.0798,0.9854,0.4883
62,0.0808,0.9854,0.4904
63,0.0817,0.9854,0.4912
64,0.0808,0.9854,0.4973
65,0.0809,0.9854,0.4912
66,0.0799,0.9854,0.4833
67,0.0812,0.9854,0.4904
68,0.0811,0.9854,0.4918
69,0.0802,0.9854,0.4979
70,0.0805,0.9854,0.4981
71,0.0799,0.9854,0.4965
72,0.0802,0.9854,0.5306
73,0.0818,0.9854,0.4937
74,0.0815,0.9854,0.5149
75,0.0797,0.9854,0.4871
76,0.0821,0.9854,0.4855
77,0.0799,0.9854,0.4900
78,0.0806,0.9854,0.4961
79,0.0814,0.9854,0.4917
80,0.0803,0.9854,0.4978
81,0.0805,0.9854,0.4913
82,0.0795,0.9854,0.4895
83,0.0808,0.9854,0.5004
84,0.0799,0.9854,0.4842
85,0.0804,0.9854,0.4874
86,0.0806,0.9854,0.4866
87,0.0799,0.9854,0.4889
88,0.0803,0.9854,0.5035
89,0.0805,0.9854,0.4978
90,0.0798,0.9854,0.4889
91,0.0799,0.9854,0.4862
92,0.0802,0.9854,0.4892
93,0.0801,0.9854,0.4932
94,0.0794,0.9854,0.4848
95,0.0812,0.9854,0.4883
96,0.0792,0.9854,0.4811
97,0.0805,0.9854,0.4922
98,0.0801,0.9854,0.4997
99,0.0798,0.9854,0.5037
100,0.0803,0.9854,0.5311
