Epoch,Loss,TestAcc,TestAuc
1,0.1172,0.9956,0.4083
2,0.0733,0.9956,0.4078
3,0.0751,0.9956,0.4093
4,0.0689,0.9956,0.4098
5,0.0630,0.9956,0.4103
6,0.0629,0.9956,0.4127
7,0.0623,0.9956,0.4088
8,0.0636,0.9956,0.4137
9,0.0608,0.9956,0.4201
10,0.0603,0.9956,0.4206
11,0.0597,0.9956,0.4240
12,0.0606,0.9956,0.4201
13,0.0622,0.9956,0.4196
14,0.0590,0.9956,0.4240
15,0.0599,0.9956,0.4152
16,0.0580,0.9956,0.4103
17,0.0610,0.9956,0.4201
18,0.0583,0.9956,0.4132
19,0.0593,0.9956,0.4088
20,0.0596,0.9956,0.3794
21,0.0601,0.9956,0.3990
22,0.0602,0.9956,0.4078
23,0.0582,0.9956,0.4123
24,0.0595,0.9956,0.4034
25,0.0573,0.9956,0.4093
26,0.0577,0.9956,0.4118
27,0.0586,0.9956,0.4118
28,0.0593,0.9956,0.4113
29,0.0589,0.9956,0.4167
30,0.0580,0.9956,0.4814
31,0.0576,0.9956,0.4289
32,0.0586,0.9956,0.4191
33,0.0577,0.9956,0.4113
34,0.0582,0.9956,0.4108
35,0.0588,0.9956,0.3848
36,0.0584,0.9956,0.4113
37,0.0577,0.9956,0.3931
38,0.0596,0.9956,0.4118
39,0.0582,0.9956,0.4118
40,0.0578,0.9956,0.4265
41,0.0585,0.9956,0.4225
42,0.0579,0.9956,0.4108
43,0.0576,0.9956,0.4137
44,0.0586,0.9956,0.4108
45,0.0581,0.9956,0.4245
46,0.0570,0.9956,0.4240
47,0.0580,0.9956,0.4191
48,0.0580,0.9956,0.4225
49,0.0580,0.9956,0.4275
50,0.0574,0.9956,0.4064
51,0.0590,0.9956,0.4255
52,0.0585,0.9956,0.4172
53,0.0584,0.9956,0.4304
54,0.0590,0.9956,0.4279
55,0.0583,0.9956,0.4284
56,0.0586,0.9956,0.4250
57,0.0614,0.9956,0.3990
58,0.0584,0.9956,0.3971
59,0.0591,0.9956,0.3931
60,0.0588,0.9956,0.4000
61,0.0592,0.9956,0.3990
62,0.0597,0.9956,0.4054
63,0.0592,0.9956,0.4020
64,0.0594,0.9956,0.4167
65,0.0580,0.9956,0.4181
66,0.0589,0.9956,0.4103
67,0.0579,0.9956,0.4167
68,0.0587,0.9956,0.4225
69,0.0589,0.9956,0.4221
70,0.0583,0.9956,0.4088
71,0.0583,0.9956,0.4172
72,0.0578,0.9956,0.4123
73,0.0588,0.9956,0.4054
74,0.0583,0.9956,0.4123
75,0.0582,0.9956,0.4206
76,0.0581,0.9956,0.4186
77,0.0620,0.9956,0.4025
78,0.0593,0.9956,0.4064
79,0.0590,0.9956,0.4088
80,0.0572,0.9956,0.4064
81,0.0582,0.9956,0.4132
82,0.0570,0.9956,0.4196
83,0.0569,0.9956,0.4083
84,0.0600,0.9956,0.4186
85,0.0592,0.9956,0.4118
86,0.0578,0.9956,0.4201
87,0.0581,0.9956,0.4358
88,0.0591,0.9956,0.4088
89,0.0577,0.9956,0.4157
90,0.0581,0.9956,0.4201
91,0.0587,0.9956,0.4221
92,0.0582,0.9956,0.4221
93,0.0578,0.9956,0.4225
94,0.0577,0.9956,0.4299
95,0.0578,0.9956,0.4299
96,0.0578,0.9956,0.4147
97,0.0580,0.9956,0.4186
98,0.0580,0.9956,0.4363
99,0.0579,0.9956,0.4279
100,0.0575,0.9956,0.4108
