Epoch,Loss,TestAcc,TestAuc
1,0.1023,0.9868,0.5085
2,0.0709,0.9868,0.5180
3,0.0711,0.9868,0.5228
4,0.0634,0.9868,0.5209
5,0.0682,0.9868,0.5245
6,0.0660,0.9868,0.5263
7,0.0652,0.9868,0.5244
8,0.0609,0.9868,0.5251
9,0.0634,0.9868,0.5226
10,0.0618,0.9868,0.5212
11,0.0634,0.9868,0.5185
12,0.0615,0.9868,0.5215
13,0.0621,0.9868,0.5069
14,0.0612,0.9868,0.5149
15,0.0608,0.9868,0.5187
16,0.0620,0.9868,0.4491
17,0.0610,0.9868,0.5185
18,0.0601,0.9868,0.5131
19,0.0651,0.9868,0.5091
20,0.0600,0.9868,0.5121
21,0.0607,0.9868,0.5054
22,0.0606,0.9868,0.5134
23,0.0596,0.9868,0.5373
24,0.0604,0.9868,0.5185
25,0.0604,0.9868,0.5078
26,0.0608,0.9868,0.5679
27,0.0609,0.9868,0.5145
28,0.0603,0.9868,0.5045
29,0.0607,0.9868,0.5087
30,0.0609,0.9868,0.5103
31,0.0599,0.9868,0.4979
32,0.0597,0.9868,0.4893
33,0.0601,0.9868,0.5085
34,0.0602,0.9868,0.4980
35,0.0591,0.9868,0.5081
36,0.0599,0.9868,0.5047
37,0.0596,0.9868,0.4787
38,0.0598,0.9868,0.5063
39,0.0598,0.9868,0.4803
40,0.0605,0.9868,0.4958
41,0.0601,0.9868,0.5006
42,0.0614,0.9868,0.5072
43,0.0594,0.9868,0.5088
44,0.0603,0.9868,0.5093
45,0.0607,0.9868,0.5038
46,0.0602,0.9868,0.5115
47,0.0595,0.9868,0.5062
48,0.0598,0.9868,0.5068
49,0.0596,0.9868,0.5048
50,0.0596,0.9868,0.5027
51,0.0595,0.9868,0.5075
52,0.0598,0.9868,0.5070
53,0.0596,0.9868,0.5067
54,0.0592,0.9868,0.5012
55,0.0605,0.9868,0.5005
56,0.0607,0.9868,0.5045
57,0.0593,0.9868,0.4970
58,0.0605,0.9868,0.5078
59,0.0601,0.9868,0.5059
60,0.0598,0.9868,0.5047
61,0.0604,0.9868,0.5059
62,0.0601,0.9868,0.5057
63,0.0605,0.9868,0.5065
64,0.0589,0.9868,0.4932
65,0.0593,0.9868,0.5063
66,0.0608,0.9868,0.5061
67,0.0607,0.9868,0.5070
68,0.0604,0.9868,0.5081
69,0.0603,0.9868,0.5088
70,0.0589,0.9868,0.5077
71,0.0602,0.9868,0.5098
72,0.0594,0.9868,0.5093
73,0.0606,0.9868,0.5096
74,0.0596,0.9868,0.5063
75,0.0601,0.9868,0.5063
76,0.0595,0.9868,0.5077
77,0.0593,0.9868,0.5007
78,0.0599,0.9868,0.5072
79,0.0612,0.9868,0.5050
80,0.0601,0.9868,0.5083
81,0.0603,0.9868,0.5083
82,0.0602,0.9868,0.5007
83,0.0596,0.9868,0.5045
84,0.0607,0.9868,0.5037
85,0.0589,0.9868,0.5016
86,0.0602,0.9868,0.5040
87,0.0593,0.9868,0.5093
88,0.0598,0.9868,0.5091
89,0.0597,0.9868,0.5070
90,0.0591,0.9868,0.5042
91,0.0598,0.9868,0.5116
92,0.0596,0.9868,0.5085
93,0.0596,0.9868,0.5101
94,0.0596,0.9868,0.5103
95,0.0595,0.9868,0.5177
96,0.0601,0.9868,0.4971
97,0.0589,0.9868,0.5014
98,0.0598,0.9868,0.5021
99,0.0600,0.9868,0.5052
100,0.0598,0.9868,0.5065
