Epoch,Loss,TestAcc,TestAuc
1,0.0868,0.9912,0.5098
2,0.0632,0.9912,0.5116
3,0.0625,0.9912,0.5054
4,0.0478,0.9912,0.5044
5,0.0422,0.9912,0.5039
6,0.0444,0.9912,0.5034
7,0.0410,0.9912,0.5017
8,0.0412,0.9912,0.5002
9,0.0382,0.9912,0.4998
10,0.0428,0.9912,0.4774
11,0.0407,0.9912,0.5007
12,0.0420,0.9912,0.5005
13,0.0395,0.9912,0.5002
14,0.0416,0.9912,0.4993
15,0.0381,0.9912,0.5012
16,0.0406,0.9912,0.5005
17,0.0428,0.9912,0.4879
18,0.0406,0.9912,0.4948
19,0.0406,0.9912,0.3390
20,0.0380,0.9912,0.4948
21,0.0383,0.9912,0.4990
22,0.0459,0.9912,0.5000
23,0.0398,0.9912,0.4980
24,0.0396,0.9912,0.4978
25,0.0414,0.9912,0.4983
26,0.0409,0.9912,0.4978
27,0.0409,0.9912,0.4983
28,0.0393,0.9912,0.4956
29,0.0405,0.9912,0.4852
30,0.0396,0.9912,0.4966
31,0.0400,0.9912,0.4924
32,0.0461,0.9912,0.4958
33,0.0440,0.9912,0.4916
34,0.0389,0.9912,0.4828
35,0.0392,0.9912,0.4961
36,0.0473,0.9912,0.4951
37,0.0403,0.9912,0.4961
38,0.0402,0.9912,0.4892
39,0.0387,0.9912,0.4938
40,0.0377,0.9912,0.4956
41,0.0385,0.9912,0.4978
42,0.0396,0.9912,0.4980
43,0.0383,0.9912,0.4988
44,0.0405,0.9912,0.4978
45,0.0394,0.9912,0.4998
46,0.0390,0.9912,0.4998
47,0.0386,0.9912,0.5005
48,0.0428,0.9912,0.4985
49,0.0401,0.9912,0.4966
50,0.0413,0.9912,0.4956
51,0.0389,0.9912,0.4961
52,0.0439,0.9912,0.4970
53,0.0397,0.9912,0.4970
54,0.0391,0.9912,0.4934
55,0.0385,0.9912,0.4961
56,0.0409,0.9912,0.4813
57,0.0412,0.9912,0.4998
58,0.0390,0.9912,0.5012
59,0.0407,0.9912,0.5012
60,0.0391,0.9912,0.4978
61,0.0389,0.9912,0.5002
62,0.0381,0.9912,0.4970
63,0.0397,0.9912,0.4966
64,0.0379,0.9912,0.4990
65,0.0394,0.9912,0.4882
66,0.0390,0.9912,0.4970
67,0.0388,0.9912,0.4874
68,0.0390,0.9912,0.4953
69,0.0387,0.9912,0.4838
70,0.0392,0.9912,0.4978
71,0.0374,0.9912,0.4990
72,0.0383,0.9912,0.4985
73,0.0383,0.9912,0.5005
74,0.0386,0.9912,0.5022
75,0.0391,0.9912,0.5002
76,0.0434,0.9912,0.5030
77,0.0416,0.9912,0.5044
78,0.0390,0.9912,0.5037
79,0.0370,0.9912,0.5044
80,0.0397,0.9912,0.5069
81,0.0386,0.9912,0.5052
82,0.0426,0.9912,0.5015
83,0.0378,0.9912,0.5002
84,0.0386,0.9912,0.5007
85,0.0376,0.9912,0.5017
86,0.0436,0.9912,0.5012
87,0.0398,0.9912,0.5032
88,0.0391,0.9912,0.5034
89,0.0399,0.9912,0.4995
90,0.0417,0.9912,0.4983
91,0.0390,0.9912,0.5005
92,0.0379,0.9912,0.4786
93,0.0388,0.9912,0.4983
94,0.0378,0.9912,0.4985
95,0.0392,0.9912,0.4970
96,0.0401,0.9912,0.4985
97,0.0381,0.9912,0.5005
98,0.0385,0.9912,0.4980
99,0.0391,0.9912,0.4951
100,0.0397,0.9912,0.4980
