Epoch,Loss,TestAcc,TestAuc
1,0.2292,0.9605,0.5559
2,0.1867,0.9605,0.5528
3,0.1775,0.9605,0.5517
4,0.1774,0.9605,0.5783
5,0.1752,0.9605,0.5278
6,0.1743,0.9605,0.5528
7,0.1743,0.9605,0.5370
8,0.1713,0.9605,0.5402
9,0.1725,0.9605,0.5547
10,0.1730,0.9605,0.5554
11,0.1724,0.9605,0.3829
12,0.1711,0.9605,0.4021
13,0.1715,0.9605,0.5450
14,0.1727,0.9605,0.3223
15,0.1737,0.9605,0.5458
16,0.1721,0.9605,0.5504
17,0.1709,0.9605,0.5367
18,0.1712,0.9605,0.3972
19,0.1714,0.9605,0.5516
20,0.1718,0.9605,0.5456
21,0.1721,0.9605,0.5482
22,0.1710,0.9605,0.5527
23,0.1700,0.9605,0.5598
24,0.1719,0.9605,0.5516
25,0.1711,0.9605,0.5440
26,0.1712,0.9605,0.5486
27,0.1718,0.9605,0.5419
28,0.1725,0.9605,0.5534
29,0.1714,0.9605,0.5467
30,0.1703,0.9605,0.5462
31,0.1715,0.9605,0.5270
32,0.1709,0.9605,0.4595
33,0.1706,0.9605,0.5664
34,0.1712,0.9605,0.4625
35,0.1709,0.9605,0.6480
36,0.1713,0.9605,0.5449
37,0.1709,0.9605,0.6046
38,0.1710,0.9605,0.5421
39,0.1711,0.9605,0.4589
40,0.1714,0.9605,0.5423
41,0.1720,0.9605,0.5358
42,0.1704,0.9605,0.5419
43,0.1706,0.9605,0.6314
44,0.1712,0.9605,0.5494
45,0.1705,0.9605,0.3532
46,0.1737,0.9605,0.5454
47,0.1707,0.9605,0.5573
48,0.1707,0.9605,0.5438
49,0.1711,0.9605,0.4450
50,0.1708,0.9605,0.4437
51,0.1712,0.9605,0.4626
52,0.1711,0.9605,0.4461
53,0.1715,0.9605,0.4432
54,0.1717,0.9605,0.5393
55,0.1707,0.9605,0.4395
56,0.1708,0.9605,0.5455
57,0.1711,0.9605,0.5396
58,0.1704,0.9605,0.5408
59,0.1706,0.9605,0.5419
60,0.1701,0.9605,0.5436
61,0.1709,0.9605,0.5444
62,0.1708,0.9605,0.5476
63,0.1706,0.9605,0.5477
64,0.1706,0.9605,0.4283
65,0.1708,0.9605,0.4433
66,0.1719,0.9605,0.5395
67,0.1707,0.9605,0.5409
68,0.1708,0.9605,0.5401
69,0.1711,0.9605,0.5438
70,0.1707,0.9605,0.5530
71,0.1717,0.9605,0.5388
72,0.1705,0.9605,0.5397
73,0.1700,0.9605,0.5453
74,0.1707,0.9605,0.5434
75,0.1704,0.9605,0.5419
76,0.1705,0.9605,0.5416
77,0.1704,0.9605,0.5434
78,0.1703,0.9605,0.4075
79,0.1705,0.9605,0.5412
80,0.1709,0.9605,0.5421
81,0.1708,0.9605,0.5410
82,0.1705,0.9605,0.5426
83,0.1704,0.9605,0.5413
84,0.1705,0.9605,0.5405
85,0.1707,0.9605,0.5376
86,0.1711,0.9605,0.4357
87,0.1707,0.9605,0.5388
88,0.1704,0.9605,0.5434
89,0.1704,0.9605,0.5440
90,0.1704,0.9605,0.5443
91,0.1706,0.9605,0.5398
92,0.1702,0.9605,0.5393
93,0.1704,0.9605,0.5379
94,0.1702,0.9605,0.5386
95,0.1703,0.9605,0.5404
96,0.1703,0.9605,0.5400
97,0.1702,0.9605,0.4618
98,0.1704,0.9605,0.5381
99,0.1704,0.9605,0.5401
100,0.1705,0.9605,0.5571
