Epoch,Loss,TestAcc,TestAuc
1,0.1005,0.9956,0.3858
2,0.0697,0.9956,0.3828
3,0.0655,0.9956,0.3936
4,0.0628,0.9956,0.3912
5,0.0566,0.9956,0.3838
6,0.0546,0.9956,0.3578
7,0.0499,0.9956,0.3789
8,0.0499,0.9956,0.5010
9,0.0520,0.9956,0.3868
10,0.0486,0.9956,0.3887
11,0.0516,0.9956,0.3809
12,0.0539,0.9956,0.3917
13,0.0485,0.9956,0.3868
14,0.0484,0.9956,0.3745
15,0.0487,0.9956,0.6098
16,0.0486,0.9956,0.3941
17,0.0487,0.9956,0.4005
18,0.0501,0.9956,0.3980
19,0.0471,0.9956,0.3951
20,0.0488,0.9956,0.3941
21,0.0486,0.9956,0.3956
22,0.0477,0.9956,0.4059
23,0.0507,0.9956,0.3593
24,0.0522,0.9956,0.3809
25,0.0473,0.9956,0.4034
26,0.0490,0.9956,0.3922
27,0.0481,0.9956,0.3877
28,0.0478,0.9956,0.3662
29,0.0475,0.9956,0.3843
30,0.0477,0.9956,0.4015
31,0.0481,0.9956,0.3917
32,0.0470,0.9956,0.3873
33,0.0479,0.9956,0.3926
34,0.0488,0.9956,0.3936
35,0.0474,0.9956,0.3926
36,0.0476,0.9956,0.3961
37,0.0475,0.9956,0.3961
38,0.0473,0.9956,0.4029
39,0.0489,0.9956,0.4044
40,0.0485,0.9956,0.4157
41,0.0489,0.9956,0.4074
42,0.0492,0.9956,0.3971
43,0.0471,0.9956,0.3868
44,0.0473,0.9956,0.3902
45,0.0482,0.9956,0.3926
46,0.0484,0.9956,0.3882
47,0.0475,0.9956,0.3775
48,0.0486,0.9956,0.3922
49,0.0485,0.9956,0.4005
50,0.0475,0.9956,0.4039
51,0.0474,0.9956,0.4118
52,0.0479,0.9956,0.4118
53,0.0479,0.9956,0.3941
54,0.0477,0.9956,0.3946
55,0.0474,0.9956,0.3912
56,0.0490,0.9956,0.3863
57,0.0483,0.9956,0.3946
58,0.0475,0.9956,0.3897
59,0.0482,0.9956,0.4020
60,0.0475,0.9956,0.3946
61,0.0473,0.9956,0.3971
62,0.0473,0.9956,0.3902
63,0.0478,0.9956,0.3819
64,0.0471,0.9956,0.3824
65,0.0477,0.9956,0.3873
66,0.0476,0.9956,0.4025
67,0.0485,0.9956,0.3922
68,0.0482,0.9956,0.3902
69,0.0475,0.9956,0.3897
70,0.0487,0.9956,0.3912
71,0.0477,0.9956,0.3917
72,0.0482,0.9956,0.4029
73,0.0465,0.9956,0.4069
74,0.0505,0.9956,0.3917
75,0.0490,0.9956,0.3961
76,0.0480,0.9956,0.3946
77,0.0477,0.9956,0.3907
78,0.0487,0.9956,0.3917
79,0.0479,0.9956,0.3951
80,0.0475,0.9956,0.4020
81,0.0475,0.9956,0.3882
82,0.0494,0.9956,0.3907
83,0.0471,0.9956,0.3863
84,0.0494,0.9956,0.3775
85,0.0483,0.9956,0.3882
86,0.0481,0.9956,0.3941
87,0.0484,0.9956,0.4000
88,0.0476,0.9956,0.3951
89,0.0480,0.9956,0.4078
90,0.0477,0.9956,0.4137
91,0.0470,0.9956,0.3922
92,0.0475,0.9956,0.3922
93,0.0482,0.9956,0.3971
94,0.0476,0.9956,0.3971
95,0.0485,0.9956,0.3902
96,0.0481,0.9956,0.3902
97,0.0483,0.9956,0.3912
98,0.0481,0.9956,0.3961
99,0.0473,0.9956,0.3902
100,0.0482,0.9956,0.3980
