Epoch,Loss,TestAcc,TestAuc
1,0.1480,0.9868,0.6001
2,0.0736,0.9868,0.5978
3,0.0598,0.9868,0.5922
4,0.0543,0.9868,0.5911
5,0.0548,0.9868,0.5931
6,0.0527,0.9868,0.5916
7,0.0514,0.9868,0.5904
8,0.0533,0.9868,0.5922
9,0.0500,0.9868,0.5914
10,0.0503,0.9868,0.5919
11,0.0501,0.9868,0.5940
12,0.0475,0.9868,0.5923
13,0.0510,0.9868,0.5915
14,0.0460,0.9868,0.5950
15,0.0477,0.9868,0.5939
16,0.0478,0.9868,0.5921
17,0.0482,0.9868,0.5926
18,0.0487,0.9868,0.5965
19,0.0445,0.9868,0.5983
20,0.0472,0.9868,0.5946
21,0.0460,0.9868,0.5953
22,0.0451,0.9868,0.5933
23,0.0469,0.9868,0.5926
24,0.0458,0.9868,0.5898
25,0.0485,0.9868,0.5922
26,0.0472,0.9868,0.5895
27,0.0453,0.9868,0.5899
28,0.0470,0.9868,0.5903
29,0.0467,0.9868,0.5898
30,0.0464,0.9868,0.5894
31,0.0474,0.9868,0.5881
32,0.0471,0.9868,0.5885
33,0.0493,0.9868,0.5890
34,0.0470,0.9868,0.5894
35,0.0470,0.9868,0.5898
36,0.0459,0.9868,0.5900
37,0.0460,0.9868,0.5904
38,0.0462,0.9868,0.5892
39,0.0455,0.9868,0.5898
40,0.0458,0.9868,0.5883
41,0.0477,0.9868,0.5889
42,0.0456,0.9868,0.5892
43,0.0457,0.9868,0.5892
44,0.0464,0.9868,0.5891
45,0.0474,0.9868,0.5967
46,0.0472,0.9868,0.5903
47,0.0462,0.9868,0.5917
48,0.0463,0.9868,0.5877
49,0.0464,0.9868,0.5898
50,0.0453,0.9868,0.5895
51,0.0470,0.9868,0.5915
52,0.0462,0.9868,0.5894
53,0.0458,0.9868,0.5893
54,0.0461,0.9868,0.5896
55,0.0467,0.9868,0.5894
56,0.0466,0.9868,0.5931
57,0.0460,0.9868,0.5925
58,0.0457,0.9868,0.5945
59,0.0447,0.9868,0.5917
60,0.0461,0.9868,0.5927
61,0.0457,0.9868,0.5898
62,0.0462,0.9868,0.5894
63,0.0462,0.9868,0.5919
64,0.0461,0.9868,0.5902
65,0.0456,0.9868,0.5894
66,0.0458,0.9868,0.5934
67,0.0479,0.9868,0.5904
68,0.0456,0.9868,0.5893
69,0.0455,0.9868,0.5922
70,0.0449,0.9868,0.5949
71,0.0460,0.9868,0.5953
72,0.0472,0.9868,0.5920
73,0.0458,0.9868,0.5912
74,0.0462,0.9868,0.5899
75,0.0465,0.9868,0.5920
76,0.0465,0.9868,0.5954
77,0.0491,0.9868,0.5929
78,0.0471,0.9868,0.5934
79,0.0455,0.9868,0.5939
80,0.0463,0.9868,0.5934
81,0.0462,0.9868,0.5931
82,0.0457,0.9868,0.5938
83,0.0453,0.9868,0.5931
84,0.0461,0.9868,0.5904
85,0.0457,0.9868,0.5918
86,0.0454,0.9868,0.5917
87,0.0458,0.9868,0.5900
88,0.0456,0.9868,0.5903
89,0.0456,0.9868,0.5922
90,0.0456,0.9868,0.5894
91,0.0455,0.9868,0.5916
92,0.0459,0.9868,0.5920
93,0.0460,0.9868,0.5929
94,0.0461,0.9868,0.5903
95,0.0467,0.9868,0.5903
96,0.0461,0.9868,0.5897
97,0.0463,0.9868,0.5903
98,0.0465,0.9868,0.5904
99,0.0457,0.9868,0.5919
100,0.0455,0.9868,0.5927
