Epoch,Loss,TestAcc,TestAuc
1,0.1931,0.9619,0.5636
2,0.1582,0.9619,0.5640
3,0.1482,0.9619,0.5647
4,0.1421,0.9619,0.5596
5,0.1384,0.9619,0.5614
6,0.1422,0.9619,0.5609
7,0.1402,0.9619,0.5609
8,0.1402,0.9619,0.5639
9,0.1410,0.9619,0.5632
10,0.1391,0.9619,0.5557
11,0.1404,0.9619,0.4175
12,0.1426,0.9619,0.5672
13,0.1393,0.9619,0.5650
14,0.1400,0.9619,0.5633
15,0.1378,0.9619,0.5656
16,0.1389,0.9619,0.5632
17,0.1384,0.9619,0.5631
18,0.1385,0.9619,0.5593
19,0.1370,0.9619,0.5652
20,0.1382,0.9619,0.5650
21,0.1376,0.9619,0.5591
22,0.1375,0.9619,0.4031
23,0.1379,0.9619,0.4288
24,0.1372,0.9619,0.5570
25,0.1370,0.9619,0.5573
26,0.1373,0.9619,0.5608
27,0.1372,0.9619,0.5616
28,0.1371,0.9619,0.5654
29,0.1368,0.9619,0.5645
30,0.1368,0.9619,0.5663
31,0.1371,0.9619,0.5656
32,0.1364,0.9619,0.5643
33,0.1373,0.9619,0.5650
34,0.1379,0.9619,0.5660
35,0.1371,0.9619,0.5661
36,0.1369,0.9619,0.5666
37,0.1371,0.9619,0.5654
38,0.1371,0.9619,0.5655
39,0.1370,0.9619,0.5668
40,0.1375,0.9619,0.5671
41,0.1372,0.9619,0.5654
42,0.1377,0.9619,0.4333
43,0.1408,0.9619,0.5623
44,0.1369,0.9619,0.5641
45,0.1377,0.9619,0.5649
46,0.1370,0.9619,0.5619
47,0.1372,0.9619,0.5636
48,0.1376,0.9619,0.4301
49,0.1373,0.9619,0.5630
50,0.1371,0.9619,0.5652
51,0.1370,0.9619,0.5653
52,0.1376,0.9619,0.5609
53,0.1367,0.9619,0.4354
54,0.1379,0.9619,0.4409
55,0.1369,0.9619,0.5627
56,0.1383,0.9619,0.5651
57,0.1377,0.9619,0.5647
58,0.1386,0.9619,0.5666
59,0.1369,0.9619,0.5652
60,0.1369,0.9619,0.5650
61,0.1369,0.9619,0.5650
62,0.1378,0.9619,0.4574
63,0.1365,0.9619,0.5647
64,0.1372,0.9619,0.5664
65,0.1364,0.9619,0.5661
66,0.1369,0.9619,0.5652
67,0.1370,0.9619,0.5650
68,0.1371,0.9619,0.5656
69,0.1365,0.9619,0.5651
70,0.1367,0.9619,0.5650
71,0.1368,0.9619,0.4353
72,0.1369,0.9619,0.5647
73,0.1367,0.9619,0.5647
74,0.1371,0.9619,0.5647
75,0.1362,0.9619,0.5650
76,0.1375,0.9619,0.5651
77,0.1369,0.9619,0.5651
78,0.1367,0.9619,0.5659
79,0.1369,0.9619,0.5655
80,0.1371,0.9619,0.5657
81,0.1372,0.9619,0.5651
82,0.1365,0.9619,0.5655
83,0.1366,0.9619,0.5662
84,0.1375,0.9619,0.5645
85,0.1369,0.9619,0.5659
86,0.1367,0.9619,0.5657
87,0.1369,0.9619,0.5666
88,0.1367,0.9619,0.5663
89,0.1373,0.9619,0.5648
90,0.1372,0.9619,0.5650
91,0.1374,0.9619,0.5636
92,0.1370,0.9619,0.5640
93,0.1360,0.9619,0.5639
94,0.1364,0.9619,0.5645
95,0.1382,0.9619,0.5660
96,0.1370,0.9619,0.5663
97,0.1374,0.9619,0.5663
98,0.1366,0.9619,0.5667
99,0.1368,0.9619,0.5663
100,0.1374,0.9619,0.5661
