Epoch,Loss,TestAcc,TestAuc
1,0.1526,0.9941,0.3719
2,0.0997,0.9941,0.3700
3,0.0916,0.9941,0.3715
4,0.0826,0.9941,0.3733
5,0.0861,0.9941,0.3756
6,0.0810,0.9941,0.3752
7,0.0798,0.9941,0.3781
8,0.0821,0.9941,0.3837
9,0.0777,0.9941,0.3859
10,0.0798,0.9941,0.3814
11,0.0804,0.9941,0.3877
12,0.0774,0.9941,0.3903
13,0.0777,0.9941,0.3888
14,0.0784,0.9941,0.3767
15,0.0779,0.9941,0.3833
16,0.0762,0.9941,0.3822
17,0.0788,0.9941,0.3822
18,0.0766,0.9941,0.3748
19,0.0738,0.9941,0.3708
20,0.0768,0.9941,0.3601
21,0.0752,0.9941,0.3693
22,0.0754,0.9941,0.3513
23,0.0752,0.9941,0.3641
24,0.0756,0.9941,0.3627
25,0.0750,0.9941,0.3822
26,0.0749,0.9941,0.3803
27,0.0749,0.9941,0.3686
28,0.0750,0.9941,0.3663
29,0.0746,0.9941,0.3976
30,0.0758,0.9941,0.3557
31,0.0744,0.9941,0.3638
32,0.0751,0.9941,0.3759
33,0.0745,0.9941,0.3675
34,0.0744,0.9941,0.3682
35,0.0738,0.9941,0.3733
36,0.0758,0.9941,0.3807
37,0.0739,0.9941,0.3866
38,0.0748,0.9941,0.5361
39,0.0754,0.9941,0.3906
40,0.0736,0.9941,0.3781
41,0.0741,0.9941,0.3943
42,0.0749,0.9941,0.3763
43,0.0752,0.9941,0.4013
44,0.0741,0.9941,0.4017
45,0.0742,0.9941,0.3991
46,0.0741,0.9941,0.3910
47,0.0742,0.9941,0.3546
48,0.0739,0.9941,0.3888
49,0.0744,0.9941,0.3984
50,0.0741,0.9941,0.3840
51,0.0734,0.9941,0.5611
52,0.0759,0.9941,0.6024
53,0.0739,0.9941,0.3991
54,0.0750,0.9941,0.3737
55,0.0737,0.9941,0.3929
56,0.0745,0.9941,0.3763
57,0.0749,0.9941,0.2715
58,0.0747,0.9941,0.3833
59,0.0740,0.9941,0.3895
60,0.0744,0.9941,0.3774
61,0.0753,0.9941,0.3866
62,0.0749,0.9941,0.3520
63,0.0746,0.9941,0.3866
64,0.0743,0.9941,0.3943
65,0.0742,0.9941,0.3892
66,0.0752,0.9941,0.3984
67,0.0748,0.9941,0.3921
68,0.0745,0.9941,0.3789
69,0.0737,0.9941,0.3943
70,0.0743,0.9941,0.4109
71,0.0743,0.9941,0.3987
72,0.0744,0.9941,0.3770
73,0.0751,0.9941,0.3873
74,0.0742,0.9941,0.3785
75,0.0735,0.9941,0.3700
76,0.0742,0.9941,0.3929
77,0.0743,0.9941,0.4109
78,0.0740,0.9941,0.4010
79,0.0743,0.9941,0.3973
80,0.0739,0.9941,0.3936
81,0.0740,0.9941,0.3870
82,0.0746,0.9941,0.3995
83,0.0746,0.9941,0.3870
84,0.0748,0.9941,0.4013
85,0.0751,0.9941,0.3969
86,0.0744,0.9941,0.4050
87,0.0747,0.9941,0.3976
88,0.0758,0.9941,0.4102
89,0.0745,0.9941,0.3873
90,0.0747,0.9941,0.3851
91,0.0743,0.9941,0.4024
92,0.0743,0.9941,0.3870
93,0.0751,0.9941,0.4286
94,0.0747,0.9941,0.3987
95,0.0765,0.9941,0.3954
96,0.0749,0.9941,0.4021
97,0.0742,0.9941,0.3984
98,0.0740,0.9941,0.3748
99,0.0744,0.9941,0.3991
100,0.0740,0.9941,0.3770
