Epoch,Loss,TestAcc,TestAuc
1,0.2241,0.9649,0.4394
2,0.1859,0.9649,0.4421
3,0.1708,0.9649,0.4424
4,0.1636,0.9649,0.4407
5,0.1640,0.9649,0.4398
6,0.1625,0.9649,0.4384
7,0.1605,0.9649,0.4383
8,0.1613,0.9649,0.4335
9,0.1588,0.9649,0.4310
10,0.1588,0.9649,0.4361
11,0.1617,0.9649,0.4364
12,0.1593,0.9649,0.4606
13,0.1594,0.9649,0.3690
14,0.1580,0.9649,0.4388
15,0.1590,0.9649,0.4313
16,0.1570,0.9649,0.4298
17,0.1577,0.9649,0.5400
18,0.1582,0.9649,0.4286
19,0.1575,0.9649,0.4335
20,0.1563,0.9649,0.4324
21,0.1576,0.9649,0.4227
22,0.1570,0.9649,0.4334
23,0.1559,0.9649,0.5362
24,0.1567,0.9649,0.4331
25,0.1573,0.9649,0.3694
26,0.1571,0.9649,0.4347
27,0.1560,0.9649,0.5381
28,0.1588,0.9649,0.4427
29,0.1576,0.9649,0.4365
30,0.1569,0.9649,0.4318
31,0.1569,0.9649,0.5335
32,0.1567,0.9649,0.5276
33,0.1568,0.9649,0.5399
34,0.1569,0.9649,0.5436
35,0.1568,0.9649,0.4465
36,0.1568,0.9649,0.4424
37,0.1568,0.9649,0.4447
38,0.1574,0.9649,0.4420
39,0.1578,0.9649,0.4437
40,0.1566,0.9649,0.5413
41,0.1567,0.9649,0.4461
42,0.1572,0.9649,0.4349
43,0.1569,0.9649,0.4458
44,0.1565,0.9649,0.4431
45,0.1565,0.9649,0.4455
46,0.1573,0.9649,0.4464
47,0.1563,0.9649,0.4417
48,0.1566,0.9649,0.4441
49,0.1565,0.9649,0.4462
50,0.1564,0.9649,0.4813
51,0.1563,0.9649,0.4439
52,0.1560,0.9649,0.3819
53,0.1569,0.9649,0.4374
54,0.1575,0.9649,0.4190
55,0.1565,0.9649,0.4433
56,0.1564,0.9649,0.4415
57,0.1559,0.9649,0.4431
58,0.1566,0.9649,0.4467
59,0.1566,0.9649,0.3740
60,0.1563,0.9649,0.4303
61,0.1567,0.9649,0.4215
62,0.1561,0.9649,0.4457
63,0.1569,0.9649,0.5577
64,0.1569,0.9649,0.4753
65,0.1565,0.9649,0.4480
66,0.1568,0.9649,0.4382
67,0.1562,0.9649,0.4414
68,0.1563,0.9649,0.4306
69,0.1565,0.9649,0.4393
70,0.1567,0.9649,0.4361
71,0.1563,0.9649,0.4398
72,0.1567,0.9649,0.4355
73,0.1561,0.9649,0.4408
74,0.1563,0.9649,0.4415
75,0.1567,0.9649,0.4455
76,0.1566,0.9649,0.4457
77,0.1566,0.9649,0.4447
78,0.1563,0.9649,0.4467
79,0.1566,0.9649,0.4530
80,0.1567,0.9649,0.4317
81,0.1566,0.9649,0.4452
82,0.1563,0.9649,0.4444
83,0.1566,0.9649,0.4407
84,0.1567,0.9649,0.4353
85,0.1568,0.9649,0.4482
86,0.1570,0.9649,0.4466
87,0.1569,0.9649,0.4465
88,0.1565,0.9649,0.4478
89,0.1565,0.9649,0.4467
90,0.1568,0.9649,0.4411
91,0.1566,0.9649,0.4456
92,0.1571,0.9649,0.4526
93,0.1563,0.9649,0.4464
94,0.1571,0.9649,0.4412
95,0.1564,0.9649,0.5539
96,0.1568,0.9649,0.5484
97,0.1566,0.9649,0.4443
98,0.1565,0.9649,0.4452
99,0.1574,0.9649,0.4432
100,0.1575,0.9649,0.5910
