Epoch,Loss,TestAcc,TestAuc
1,0.1154,0.9912,0.5529
2,0.0774,0.9912,0.5561
3,0.0844,0.9912,0.5497
4,0.0694,0.9912,0.5487
5,0.0691,0.9912,0.5485
6,0.0711,0.9912,0.5487
7,0.0715,0.9912,0.5549
8,0.0716,0.9912,0.5495
9,0.0651,0.9912,0.5406
10,0.0721,0.9912,0.5374
11,0.0746,0.9912,0.5357
12,0.0684,0.9912,0.5357
13,0.0703,0.9912,0.5342
14,0.0702,0.9912,0.5022
15,0.0692,0.9912,0.5359
16,0.0691,0.9912,0.5335
17,0.0693,0.9912,0.5369
18,0.0675,0.9912,0.5265
19,0.0660,0.9912,0.5409
20,0.0664,0.9912,0.5441
21,0.0685,0.9912,0.5485
22,0.0668,0.9912,0.5463
23,0.0675,0.9912,0.5438
24,0.0676,0.9912,0.5347
25,0.0680,0.9912,0.5468
26,0.0676,0.9912,0.5441
27,0.0669,0.9912,0.5202
28,0.0675,0.9912,0.5502
29,0.0668,0.9912,0.5394
30,0.0658,0.9912,0.5510
31,0.0674,0.9912,0.5441
32,0.0691,0.9912,0.5406
33,0.0659,0.9912,0.5543
34,0.0678,0.9912,0.5517
35,0.0668,0.9912,0.5519
36,0.0669,0.9912,0.5515
37,0.0667,0.9912,0.5517
38,0.0674,0.9912,0.5519
39,0.0667,0.9912,0.5559
40,0.0673,0.9912,0.5527
41,0.0681,0.9912,0.3615
42,0.0687,0.9912,0.5554
43,0.0661,0.9912,0.5564
44,0.0682,0.9912,0.5571
45,0.0674,0.9912,0.5625
46,0.0674,0.9912,0.5583
47,0.0661,0.9912,0.5544
48,0.0674,0.9912,0.5531
49,0.0664,0.9912,0.5549
50,0.0666,0.9912,0.5539
51,0.0665,0.9912,0.5532
52,0.0661,0.9912,0.5551
53,0.0661,0.9912,0.5559
54,0.0689,0.9912,0.5524
55,0.0660,0.9912,0.5529
56,0.0656,0.9912,0.5527
57,0.0670,0.9912,0.5522
58,0.0660,0.9912,0.5522
59,0.0661,0.9912,0.5527
60,0.0674,0.9912,0.5502
61,0.0656,0.9912,0.5527
62,0.0656,0.9912,0.5510
63,0.0670,0.9912,0.5510
64,0.0669,0.9912,0.5510
65,0.0666,0.9912,0.5510
66,0.0667,0.9912,0.5527
67,0.0659,0.9912,0.5527
68,0.0654,0.9912,0.5537
69,0.0659,0.9912,0.5533
70,0.0654,0.9912,0.5527
71,0.0661,0.9912,0.5522
72,0.0662,0.9912,0.5526
73,0.0656,0.9912,0.5519
74,0.0656,0.9912,0.5532
75,0.0657,0.9912,0.5527
76,0.0663,0.9912,0.5539
77,0.0689,0.9912,0.5512
78,0.0665,0.9912,0.5554
79,0.0659,0.9912,0.5554
80,0.0663,0.9912,0.5524
81,0.0668,0.9912,0.5522
82,0.0664,0.9912,0.5579
83,0.0656,0.9912,0.5608
84,0.0696,0.9912,0.5537
85,0.0663,0.9912,0.5549
86,0.0662,0.9912,0.5505
87,0.0655,0.9912,0.5564
88,0.0664,0.9912,0.5630
89,0.0665,0.9912,0.5596
90,0.0658,0.9912,0.5591
91,0.0653,0.9912,0.5615
92,0.0661,0.9912,0.5608
93,0.0656,0.9912,0.5593
94,0.0641,0.9912,0.5662
95,0.0677,0.9912,0.5588
96,0.0654,0.9912,0.5588
97,0.0657,0.9912,0.5615
98,0.0703,0.9912,0.5588
99,0.0668,0.9912,0.5628
100,0.0661,0.9912,0.5603
