Epoch,Loss,TestAcc,TestAuc
1,0.2592,0.9707,0.3586
2,0.1755,0.9707,0.3569
3,0.1638,0.9707,0.3606
4,0.1505,0.9707,0.3602
5,0.1557,0.9707,0.3665
6,0.1539,0.9707,0.3683
7,0.1554,0.9707,0.3612
8,0.1533,0.9707,0.3667
9,0.1503,0.9707,0.3590
10,0.1534,0.9707,0.4517
11,0.1504,0.9707,0.3543
12,0.1527,0.9707,0.3689
13,0.1500,0.9707,0.3606
14,0.1489,0.9707,0.3488
15,0.1494,0.9707,0.3603
16,0.1498,0.9707,0.3486
17,0.1503,0.9707,0.5048
18,0.1486,0.9707,0.5356
19,0.1491,0.9707,0.3324
20,0.1503,0.9707,0.5541
21,0.1497,0.9707,0.4585
22,0.1487,0.9707,0.3421
23,0.1477,0.9707,0.5691
24,0.1498,0.9707,0.3625
25,0.1487,0.9707,0.3630
26,0.1514,0.9707,0.3713
27,0.1482,0.9707,0.3837
28,0.1499,0.9707,0.3496
29,0.1489,0.9707,0.3484
30,0.1487,0.9707,0.3562
31,0.1487,0.9707,0.3513
32,0.1495,0.9707,0.5043
33,0.1489,0.9707,0.4393
34,0.1490,0.9707,0.6456
35,0.1495,0.9707,0.6169
36,0.1481,0.9707,0.3557
37,0.1484,0.9707,0.3668
38,0.1479,0.9707,0.6728
39,0.1488,0.9707,0.3637
40,0.1474,0.9707,0.3735
41,0.1498,0.9707,0.3853
42,0.1486,0.9707,0.3799
43,0.1480,0.9707,0.3882
44,0.1486,0.9707,0.3910
45,0.1486,0.9707,0.3509
46,0.1481,0.9707,0.6281
47,0.1481,0.9707,0.3549
48,0.1478,0.9707,0.3616
49,0.1494,0.9707,0.3621
50,0.1483,0.9707,0.3667
51,0.1493,0.9707,0.3773
52,0.1484,0.9707,0.3734
53,0.1503,0.9707,0.3778
54,0.1506,0.9707,0.3611
55,0.1478,0.9707,0.3676
56,0.1485,0.9707,0.3710
57,0.1482,0.9707,0.3748
58,0.1486,0.9707,0.3766
59,0.1477,0.9707,0.3797
60,0.1485,0.9707,0.3971
61,0.1482,0.9707,0.4283
62,0.1489,0.9707,0.4073
63,0.1484,0.9707,0.6179
64,0.1479,0.9707,0.6118
65,0.1484,0.9707,0.4541
66,0.1485,0.9707,0.3746
67,0.1483,0.9707,0.3861
68,0.1484,0.9707,0.6535
69,0.1497,0.9707,0.3660
70,0.1479,0.9707,0.4537
71,0.1476,0.9707,0.3661
72,0.1480,0.9707,0.3667
73,0.1484,0.9707,0.3729
74,0.1484,0.9707,0.3718
75,0.1470,0.9707,0.3694
76,0.1481,0.9707,0.3922
77,0.1477,0.9707,0.3727
78,0.1484,0.9707,0.3803
79,0.1487,0.9707,0.3612
80,0.1485,0.9707,0.3510
81,0.1496,0.9707,0.5909
82,0.1479,0.9707,0.3292
83,0.1479,0.9707,0.3588
84,0.1476,0.9707,0.5059
85,0.1478,0.9707,0.6267
86,0.1484,0.9707,0.3597
87,0.1477,0.9707,0.3730
88,0.1482,0.9707,0.3692
89,0.1484,0.9707,0.3748
90,0.1480,0.9707,0.3494
91,0.1484,0.9707,0.3740
92,0.1475,0.9707,0.3735
93,0.1478,0.9707,0.4043
94,0.1475,0.9707,0.3771
95,0.1489,0.9707,0.3741
96,0.1485,0.9707,0.3517
97,0.1480,0.9707,0.3563
98,0.1477,0.9707,0.3438
99,0.1476,0.9707,0.5546
100,0.1490,0.9707,0.3740
