Epoch,Loss,TestAcc,TestAuc
1,0.0616,0.9941,0.5302
2,0.0524,0.9941,0.5324
3,0.0440,0.9941,0.5361
4,0.0446,0.9941,0.5357
5,0.0425,0.9941,0.5350
6,0.0389,0.9941,0.5372
7,0.0476,0.9941,0.5284
8,0.0383,0.9941,0.5243
9,0.0379,0.9941,0.5243
10,0.0371,0.9941,0.5147
11,0.0372,0.9941,0.5239
12,0.0364,0.9941,0.5309
13,0.0360,0.9941,0.5280
14,0.0389,0.9941,0.5280
15,0.0395,0.9941,0.5210
16,0.0411,0.9941,0.5265
17,0.0401,0.9941,0.5114
18,0.0411,0.9941,0.3800
19,0.0368,0.9941,0.5232
20,0.0396,0.9941,0.5147
21,0.0380,0.9941,0.5317
22,0.0385,0.9941,0.5357
23,0.0367,0.9941,0.5346
24,0.0367,0.9941,0.5394
25,0.0376,0.9941,0.5331
26,0.0375,0.9941,0.5059
27,0.0387,0.9941,0.5331
28,0.0349,0.9941,0.5383
29,0.0360,0.9941,0.5368
30,0.0398,0.9941,0.5390
31,0.0376,0.9941,0.5339
32,0.0378,0.9941,0.5376
33,0.0370,0.9941,0.5538
34,0.0381,0.9941,0.5324
35,0.0394,0.9941,0.5409
36,0.0373,0.9941,0.5379
37,0.0366,0.9941,0.5350
38,0.0367,0.9941,0.5390
39,0.0367,0.9941,0.5379
40,0.0373,0.9941,0.5357
41,0.0358,0.9941,0.5449
42,0.0366,0.9941,0.5438
43,0.0373,0.9941,0.5379
44,0.0376,0.9941,0.5405
45,0.0375,0.9941,0.5412
46,0.0363,0.9941,0.5412
47,0.0376,0.9941,0.5434
48,0.0365,0.9941,0.5434
49,0.0362,0.9941,0.5342
50,0.0374,0.9941,0.5376
51,0.0382,0.9941,0.5287
52,0.0376,0.9941,0.5291
53,0.0374,0.9941,0.5376
54,0.0363,0.9941,0.5342
55,0.0361,0.9941,0.5335
56,0.0387,0.9941,0.5320
57,0.0382,0.9941,0.5353
58,0.0375,0.9941,0.5320
59,0.0378,0.9941,0.5313
60,0.0368,0.9941,0.5239
61,0.0368,0.9941,0.5250
62,0.0377,0.9941,0.5284
63,0.0366,0.9941,0.5261
64,0.0363,0.9941,0.5309
65,0.0361,0.9941,0.5331
66,0.0353,0.9941,0.5339
67,0.0371,0.9941,0.5330
68,0.0365,0.9941,0.5342
69,0.0367,0.9941,0.5339
70,0.0382,0.9941,0.5309
71,0.0368,0.9941,0.5287
72,0.0376,0.9941,0.5331
73,0.0365,0.9941,0.5328
74,0.0365,0.9941,0.5320
75,0.0362,0.9941,0.5342
76,0.0375,0.9941,0.5353
77,0.0361,0.9941,0.5357
78,0.0369,0.9941,0.5368
79,0.0370,0.9941,0.4904
80,0.0373,0.9941,0.5449
81,0.0362,0.9941,0.5519
82,0.0375,0.9941,0.5538
83,0.0378,0.9941,0.5387
84,0.0369,0.9941,0.5453
85,0.0367,0.9941,0.5449
86,0.0380,0.9941,0.5390
87,0.0370,0.9941,0.5342
88,0.0370,0.9941,0.5346
89,0.0354,0.9941,0.5328
90,0.0372,0.9941,0.5398
91,0.0375,0.9941,0.5479
92,0.0364,0.9941,0.5353
93,0.0362,0.9941,0.5339
94,0.0377,0.9941,0.5368
95,0.0376,0.9941,0.5438
96,0.0363,0.9941,0.5295
97,0.0371,0.9941,0.5401
98,0.0367,0.9941,0.5365
99,0.0372,0.9941,0.5405
100,0.0381,0.9941,0.5387
