Epoch,Loss,TestAcc,TestAuc
1,0.1148,0.9912,0.5415
2,0.0744,0.9912,0.5399
3,0.0761,0.9912,0.5394
4,0.0617,0.9912,0.5384
5,0.0602,0.9912,0.5311
6,0.0589,0.9912,0.5303
7,0.0536,0.9912,0.5297
8,0.0575,0.9912,0.5266
9,0.0552,0.9912,0.5284
10,0.0547,0.9912,0.5414
11,0.0546,0.9912,0.5342
12,0.0524,0.9912,0.5319
13,0.0529,0.9912,0.5313
14,0.0534,0.9912,0.5342
15,0.0519,0.9912,0.5330
16,0.0539,0.9912,0.5305
17,0.0519,0.9912,0.5341
18,0.0533,0.9912,0.6113
19,0.0527,0.9912,0.5319
20,0.0505,0.9912,0.5273
21,0.0505,0.9912,0.5308
22,0.0508,0.9912,0.5320
23,0.0514,0.9912,0.5323
24,0.0520,0.9912,0.5334
25,0.0507,0.9912,0.5340
26,0.0519,0.9912,0.5345
27,0.0523,0.9912,0.5335
28,0.0519,0.9912,0.5330
29,0.0516,0.9912,0.5335
30,0.0513,0.9912,0.5421
31,0.0509,0.9912,0.5352
32,0.0515,0.9912,0.5350
33,0.0517,0.9912,0.5335
34,0.0514,0.9912,0.5382
35,0.0514,0.9912,0.4842
36,0.0519,0.9912,0.5350
37,0.0516,0.9912,0.5391
38,0.0506,0.9912,0.5332
39,0.0512,0.9912,0.5320
40,0.0531,0.9912,0.5325
41,0.0509,0.9912,0.5316
42,0.0513,0.9912,0.5300
43,0.0517,0.9912,0.5314
44,0.0510,0.9912,0.5326
45,0.0529,0.9912,0.5308
46,0.0502,0.9912,0.5323
47,0.0531,0.9912,0.5297
48,0.0524,0.9912,0.5273
49,0.0527,0.9912,0.5300
50,0.0512,0.9912,0.5278
51,0.0512,0.9912,0.5295
52,0.0513,0.9912,0.5273
53,0.0513,0.9912,0.5299
54,0.0523,0.9912,0.5305
55,0.0524,0.9912,0.5359
56,0.0507,0.9912,0.5327
57,0.0520,0.9912,0.5323
58,0.0514,0.9912,0.5335
59,0.0518,0.9912,0.5340
60,0.0507,0.9912,0.5337
61,0.0512,0.9912,0.5305
62,0.0510,0.9912,0.5303
63,0.0518,0.9912,0.5313
64,0.0514,0.9912,0.5303
65,0.0516,0.9912,0.5313
66,0.0511,0.9912,0.5318
67,0.0511,0.9912,0.5318
68,0.0513,0.9912,0.5281
69,0.0511,0.9912,0.5319
70,0.0526,0.9912,0.5325
71,0.0517,0.9912,0.5319
72,0.0518,0.9912,0.5318
73,0.0505,0.9912,0.5325
74,0.0518,0.9912,0.5318
75,0.0514,0.9912,0.5346
76,0.0521,0.9912,0.5335
77,0.0511,0.9912,0.5304
78,0.0509,0.9912,0.5303
79,0.0511,0.9912,0.5336
80,0.0538,0.9912,0.5271
81,0.0509,0.9912,0.5279
82,0.0513,0.9912,0.5265
83,0.0516,0.9912,0.5286
84,0.0511,0.9912,0.5298
85,0.0507,0.9912,0.5323
86,0.0523,0.9912,0.5281
87,0.0514,0.9912,0.5335
88,0.0518,0.9912,0.5334
89,0.0516,0.9912,0.5319
90,0.0513,0.9912,0.5320
91,0.0508,0.9912,0.5319
92,0.0516,0.9912,0.5320
93,0.0516,0.9912,0.5320
94,0.0521,0.9912,0.5309
95,0.0502,0.9912,0.5356
96,0.0512,0.9912,0.5335
97,0.0507,0.9912,0.5355
98,0.0514,0.9912,0.5313
99,0.0512,0.9912,0.5241
100,0.0525,0.9912,0.5273
