Epoch,Loss,TestAcc,TestAuc
1,0.3836,0.9019,0.4799
2,0.3399,0.9019,0.4792
3,0.3312,0.9019,0.4829
4,0.3318,0.9019,0.4827
5,0.3293,0.9019,0.4713
6,0.3289,0.9019,0.4977
7,0.3299,0.9019,0.4877
8,0.3289,0.9019,0.5405
9,0.3273,0.9019,0.4886
10,0.3282,0.9019,0.4876
11,0.3285,0.9019,0.4930
12,0.3271,0.9019,0.4853
13,0.3359,0.9019,0.5137
14,0.3301,0.9019,0.5128
15,0.3258,0.9019,0.5165
16,0.3270,0.9019,0.4846
17,0.3265,0.9019,0.4789
18,0.3264,0.9019,0.4972
19,0.3265,0.9019,0.5175
20,0.3270,0.9019,0.5184
21,0.3257,0.9019,0.4832
22,0.3256,0.9019,0.4806
23,0.3258,0.9019,0.4817
24,0.3264,0.9019,0.4832
25,0.3258,0.9019,0.4789
26,0.3257,0.9019,0.4816
27,0.3257,0.9019,0.5004
28,0.3253,0.9019,0.4789
29,0.3263,0.9019,0.5249
30,0.3253,0.9019,0.4818
31,0.3260,0.9019,0.5268
32,0.3252,0.9019,0.4839
33,0.3254,0.9019,0.5177
34,0.3257,0.9019,0.5185
35,0.3254,0.9019,0.5162
36,0.3257,0.9019,0.4808
37,0.3255,0.9019,0.4817
38,0.3252,0.9019,0.4819
39,0.3256,0.9019,0.4855
40,0.3254,0.9019,0.4692
41,0.3256,0.9019,0.4610
42,0.3255,0.9019,0.4809
43,0.3255,0.9019,0.5084
44,0.3253,0.9019,0.5192
45,0.3252,0.9019,0.5199
46,0.3255,0.9019,0.4857
47,0.3251,0.9019,0.5198
48,0.3252,0.9019,0.4769
49,0.3255,0.9019,0.4713
50,0.3253,0.9019,0.4789
51,0.3252,0.9019,0.4773
52,0.3253,0.9019,0.4771
53,0.3253,0.9019,0.4761
54,0.3253,0.9019,0.5178
55,0.3256,0.9019,0.4806
56,0.3256,0.9019,0.5228
57,0.3254,0.9019,0.5211
58,0.3253,0.9019,0.4682
59,0.3254,0.9019,0.4829
60,0.3253,0.9019,0.4401
61,0.3255,0.9019,0.4866
62,0.3253,0.9019,0.4726
63,0.3255,0.9019,0.4832
64,0.3252,0.9019,0.4613
65,0.3252,0.9019,0.4764
66,0.3252,0.9019,0.4755
67,0.3254,0.9019,0.4383
68,0.3255,0.9019,0.5008
69,0.3254,0.9019,0.4825
70,0.3256,0.9019,0.4804
71,0.3256,0.9019,0.4786
72,0.3254,0.9019,0.4801
73,0.3253,0.9019,0.4799
74,0.3256,0.9019,0.5223
75,0.3257,0.9019,0.4781
76,0.3255,0.9019,0.5206
77,0.3256,0.9019,0.4740
78,0.3253,0.9019,0.5025
79,0.3253,0.9019,0.4795
80,0.3253,0.9019,0.5225
81,0.3253,0.9019,0.5221
82,0.3253,0.9019,0.5220
83,0.3253,0.9019,0.5221
84,0.3254,0.9019,0.4784
85,0.3254,0.9019,0.5228
86,0.3252,0.9019,0.5225
87,0.3254,0.9019,0.4776
88,0.3255,0.9019,0.4794
89,0.3253,0.9019,0.5226
90,0.3253,0.9019,0.5274
91,0.3252,0.9019,0.5091
92,0.3252,0.9019,0.5219
93,0.3252,0.9019,0.5242
94,0.3253,0.9019,0.5223
95,0.3252,0.9019,0.5227
96,0.3254,0.9019,0.5231
97,0.3252,0.9019,0.5201
98,0.3252,0.9019,0.4727
99,0.3252,0.9019,0.4765
100,0.3252,0.9019,0.5204
