Epoch,Loss,TestAcc,TestAuc
1,0.5243,0.9097,0.4241
2,0.3587,0.9097,0.4251
3,0.3427,0.9097,0.4244
4,0.3379,0.9097,0.4238
5,0.3420,0.9097,0.4245
6,0.3382,0.9097,0.4262
7,0.3376,0.9097,0.4244
8,0.3306,0.9097,0.4250
9,0.3333,0.9097,0.4244
10,0.3340,0.9097,0.4341
11,0.3357,0.9097,0.4316
12,0.3253,0.9097,0.4334
13,0.3476,0.9097,0.4545
14,0.3249,0.9097,0.4439
15,0.3233,0.9097,0.4598
16,0.3250,0.9097,0.4507
17,0.3289,0.9097,0.5090
18,0.3260,0.9097,0.4425
19,0.3281,0.9097,0.4391
20,0.3225,0.9097,0.4477
21,0.3311,0.9097,0.4541
22,0.3263,0.9097,0.4341
23,0.3237,0.9097,0.4341
24,0.3218,0.9097,0.4278
25,0.3206,0.9097,0.4329
26,0.3217,0.9097,0.4281
27,0.3229,0.9097,0.4320
28,0.3232,0.9097,0.4317
29,0.3243,0.9097,0.4436
30,0.3283,0.9097,0.4957
31,0.3205,0.9097,0.4788
32,0.3234,0.9097,0.5420
33,0.3276,0.9097,0.4545
34,0.3238,0.9097,0.4518
35,0.3229,0.9097,0.4880
36,0.3219,0.9097,0.4621
37,0.3258,0.9097,0.4599
38,0.3269,0.9097,0.4273
39,0.3254,0.9097,0.4273
40,0.3246,0.9097,0.4341
41,0.3235,0.9097,0.4360
42,0.3222,0.9097,0.4361
43,0.3208,0.9097,0.4341
44,0.3226,0.9097,0.4351
45,0.3228,0.9097,0.4278
46,0.3210,0.9097,0.4542
47,0.3238,0.9097,0.4430
48,0.3259,0.9097,0.5439
49,0.3235,0.9097,0.4818
50,0.3251,0.9097,0.4668
51,0.3222,0.9097,0.4551
52,0.3228,0.9097,0.4285
53,0.3234,0.9097,0.4705
54,0.3220,0.9097,0.4432
55,0.3192,0.9097,0.4353
56,0.3233,0.9097,0.5602
57,0.3243,0.9097,0.5584
58,0.3234,0.9097,0.4881
59,0.3228,0.9097,0.4990
60,0.3223,0.9097,0.4683
61,0.3209,0.9097,0.4612
62,0.3206,0.9097,0.4655
63,0.3229,0.9097,0.5545
64,0.3191,0.9097,0.5618
65,0.3223,0.9097,0.5639
66,0.3214,0.9097,0.5650
67,0.3204,0.9097,0.5615
68,0.3219,0.9097,0.5040
69,0.3210,0.9097,0.5095
70,0.3216,0.9097,0.5668
71,0.3212,0.9097,0.4993
72,0.3213,0.9097,0.5484
73,0.3217,0.9097,0.4487
74,0.3206,0.9097,0.4393
75,0.3215,0.9097,0.5068
76,0.3227,0.9097,0.4075
77,0.3221,0.9097,0.4195
78,0.3211,0.9097,0.4227
79,0.3223,0.9097,0.4613
80,0.3222,0.9097,0.4651
81,0.3199,0.9097,0.5650
82,0.3221,0.9097,0.5675
83,0.3213,0.9097,0.5649
84,0.3223,0.9097,0.5634
85,0.3200,0.9097,0.5642
86,0.3223,0.9097,0.5722
87,0.3220,0.9097,0.4987
88,0.3219,0.9097,0.4563
89,0.3211,0.9097,0.5043
90,0.3218,0.9097,0.5015
91,0.3219,0.9097,0.4824
92,0.3217,0.9097,0.4310
93,0.3221,0.9097,0.4633
94,0.3216,0.9097,0.4358
95,0.3211,0.9097,0.4339
96,0.3221,0.9097,0.5022
97,0.3213,0.9097,0.4872
98,0.3208,0.9097,0.5528
99,0.3224,0.9097,0.4405
100,0.3215,0.9097,0.5536
