Epoch,Loss,TestAcc,TestAuc
1,0.2595,0.9618,0.4772
2,0.2304,0.9618,0.4765
3,0.2015,0.9618,0.4801
4,0.1992,0.9618,0.4775
5,0.1855,0.9618,0.4778
6,0.1837,0.9618,0.4713
7,0.1789,0.9618,0.4752
8,0.1923,0.9618,0.4775
9,0.1890,0.9618,0.4798
10,0.1840,0.9618,0.4851
11,0.1824,0.9618,0.5609
12,0.1802,0.9618,0.4801
13,0.1843,0.9618,0.4778
14,0.1772,0.9618,0.4755
15,0.1803,0.9618,0.4755
16,0.1845,0.9618,0.4755
17,0.1834,0.9618,0.4742
18,0.1834,0.9618,0.5162
19,0.1787,0.9618,0.4755
20,0.1802,0.9618,0.4733
21,0.1803,0.9618,0.5300
22,0.1795,0.9618,0.4782
23,0.1816,0.9618,0.4775
24,0.1781,0.9618,0.4788
25,0.1811,0.9618,0.4762
26,0.1789,0.9618,0.5300
27,0.1795,0.9618,0.4775
28,0.1790,0.9618,0.4782
29,0.1783,0.9618,0.4769
30,0.1762,0.9618,0.3623
31,0.1790,0.9618,0.4716
32,0.1797,0.9618,0.4767
33,0.1787,0.9618,0.5177
34,0.1778,0.9618,0.4417
35,0.1772,0.9618,0.5133
36,0.1767,0.9618,0.4677
37,0.1834,0.9618,0.4795
38,0.1771,0.9618,0.4795
39,0.1815,0.9618,0.4805
40,0.1791,0.9618,0.4792
41,0.1780,0.9618,0.4765
42,0.1784,0.9618,0.4792
43,0.1762,0.9618,0.4775
44,0.1778,0.9618,0.4775
45,0.1792,0.9618,0.4762
46,0.1770,0.9618,0.4641
47,0.1766,0.9618,0.4700
48,0.1761,0.9618,0.4762
49,0.1787,0.9618,0.4749
50,0.1767,0.9618,0.4752
51,0.1779,0.9618,0.4736
52,0.1763,0.9618,0.4746
53,0.1775,0.9618,0.4696
54,0.1766,0.9618,0.4447
55,0.1787,0.9618,0.4654
56,0.1777,0.9618,0.4641
57,0.1765,0.9618,0.4683
58,0.1790,0.9618,0.5392
59,0.1784,0.9618,0.5202
60,0.1784,0.9618,0.4644
61,0.1775,0.9618,0.4253
62,0.1764,0.9618,0.4444
63,0.1762,0.9618,0.4690
64,0.1763,0.9618,0.4529
65,0.1771,0.9618,0.4683
66,0.1779,0.9618,0.4716
67,0.1782,0.9618,0.4733
68,0.1770,0.9618,0.4350
69,0.1779,0.9618,0.4739
70,0.1776,0.9618,0.4483
71,0.1782,0.9618,0.5338
72,0.1838,0.9618,0.4759
73,0.1783,0.9618,0.4762
74,0.1781,0.9618,0.4752
75,0.1795,0.9618,0.4729
76,0.1768,0.9618,0.4733
77,0.1784,0.9618,0.4683
78,0.1766,0.9618,0.4700
79,0.1789,0.9618,0.4641
80,0.1758,0.9618,0.4736
81,0.1780,0.9618,0.4723
82,0.1780,0.9618,0.4660
83,0.1769,0.9618,0.4427
84,0.1759,0.9618,0.4696
85,0.1760,0.9618,0.4326
86,0.1765,0.9618,0.4716
87,0.1768,0.9618,0.4726
88,0.1754,0.9618,0.4739
89,0.1766,0.9618,0.4739
90,0.1770,0.9618,0.4729
91,0.1796,0.9618,0.4749
92,0.1775,0.9618,0.4739
93,0.1763,0.9618,0.4726
94,0.1785,0.9618,0.4729
95,0.1762,0.9618,0.4322
96,0.1772,0.9618,0.4634
97,0.1766,0.9618,0.4716
98,0.1756,0.9618,0.4733
99,0.1791,0.9618,0.4736
100,0.1777,0.9618,0.4719
