Epoch,Loss,TestAcc,TestAuc
1,0.3422,0.9340,0.4371
2,0.2601,0.9340,0.4359
3,0.2380,0.9340,0.4347
4,0.2143,0.9340,0.4371
5,0.2092,0.9340,0.4393
6,0.2113,0.9340,0.4413
7,0.2005,0.9340,0.4398
8,0.2126,0.9340,0.4409
9,0.2041,0.9340,0.4432
10,0.2058,0.9340,0.4628
11,0.2018,0.9340,0.4607
12,0.2059,0.9340,0.5378
13,0.1976,0.9340,0.4664
14,0.2041,0.9340,0.4840
15,0.1951,0.9340,0.4572
16,0.1975,0.9340,0.4497
17,0.1968,0.9340,0.4620
18,0.1989,0.9340,0.4534
19,0.1978,0.9340,0.4526
20,0.1982,0.9340,0.4585
21,0.1959,0.9340,0.4535
22,0.1968,0.9340,0.4573
23,0.1993,0.9340,0.4564
24,0.2012,0.9340,0.4560
25,0.2012,0.9340,0.4545
26,0.1957,0.9340,0.4568
27,0.1943,0.9340,0.4532
28,0.1937,0.9340,0.5501
29,0.1945,0.9340,0.4597
30,0.1971,0.9340,0.4550
31,0.1955,0.9340,0.4558
32,0.1979,0.9340,0.4597
33,0.1940,0.9340,0.4595
34,0.1946,0.9340,0.4626
35,0.1962,0.9340,0.4567
36,0.1951,0.9340,0.4554
37,0.1929,0.9340,0.4546
38,0.1958,0.9340,0.4536
39,0.2029,0.9340,0.4527
40,0.1975,0.9340,0.4453
41,0.1955,0.9340,0.4452
42,0.1983,0.9340,0.4531
43,0.1951,0.9340,0.4519
44,0.1966,0.9340,0.4447
45,0.1957,0.9340,0.4456
46,0.1963,0.9340,0.7854
47,0.1941,0.9340,0.5210
48,0.1928,0.9340,0.4499
49,0.1940,0.9340,0.4603
50,0.1939,0.9340,0.4520
51,0.1939,0.9340,0.4487
52,0.1937,0.9340,0.4491
53,0.1924,0.9340,0.4431
54,0.1957,0.9340,0.5228
55,0.1951,0.9340,0.4443
56,0.1939,0.9340,0.4319
57,0.1932,0.9340,0.5507
58,0.1972,0.9340,0.5462
59,0.1949,0.9340,0.4491
60,0.1924,0.9340,0.4470
61,0.1927,0.9340,0.4524
62,0.1949,0.9340,0.4543
63,0.1930,0.9340,0.4559
64,0.1945,0.9340,0.5575
65,0.1938,0.9340,0.4454
66,0.1960,0.9340,0.4424
67,0.1942,0.9340,0.4437
68,0.1944,0.9340,0.4438
69,0.1931,0.9340,0.4405
70,0.1945,0.9340,0.4413
71,0.1926,0.9340,0.4350
72,0.1941,0.9340,0.4461
73,0.1931,0.9340,0.4476
74,0.1928,0.9340,0.4502
75,0.1948,0.9340,0.4505
76,0.1945,0.9340,0.4509
77,0.1925,0.9340,0.4499
78,0.1938,0.9340,0.4517
79,0.1932,0.9340,0.4456
80,0.1926,0.9340,0.4464
81,0.1919,0.9340,0.4456
82,0.1941,0.9340,0.4446
83,0.1938,0.9340,0.4440
84,0.1926,0.9340,0.4444
85,0.1931,0.9340,0.4454
86,0.1934,0.9340,0.4478
87,0.1929,0.9340,0.4462
88,0.1927,0.9340,0.4481
89,0.1936,0.9340,0.4462
90,0.1932,0.9340,0.4440
91,0.1932,0.9340,0.4451
92,0.1931,0.9340,0.4536
93,0.1928,0.9340,0.4467
94,0.1924,0.9340,0.4440
95,0.1920,0.9340,0.4444
96,0.1939,0.9340,0.4452
97,0.1957,0.9340,0.5612
98,0.1927,0.9340,0.5659
99,0.1953,0.9340,0.6100
100,0.1934,0.9340,0.4366
