Epoch,Loss,TestAcc,TestAuc
1,0.1470,0.9826,0.5470
2,0.1086,0.9826,0.5495
3,0.1149,0.9826,0.5516
4,0.0951,0.9826,0.5544
5,0.0951,0.9826,0.5587
6,0.0925,0.9826,0.5601
7,0.0863,0.9826,0.5618
8,0.0833,0.9826,0.5576
9,0.0816,0.9826,0.5558
10,0.0868,0.9826,0.4502
11,0.0851,0.9826,0.5601
12,0.0866,0.9826,0.5615
13,0.0843,0.9826,0.5615
14,0.0793,0.9826,0.5615
15,0.0801,0.9826,0.5583
16,0.0817,0.9826,0.5618
17,0.0791,0.9826,0.5608
18,0.0828,0.9826,0.5353
19,0.0788,0.9826,0.5618
20,0.0790,0.9826,0.5618
21,0.0819,0.9826,0.5615
22,0.0836,0.9826,0.5604
23,0.0818,0.9826,0.5601
24,0.0802,0.9826,0.5523
25,0.0828,0.9826,0.5424
26,0.0792,0.9826,0.5417
27,0.0796,0.9826,0.5519
28,0.0803,0.9826,0.5565
29,0.0791,0.9826,0.5523
30,0.0818,0.9826,0.5516
31,0.0781,0.9826,0.5572
32,0.0792,0.9826,0.5580
33,0.0790,0.9826,0.5580
34,0.0795,0.9826,0.5601
35,0.0771,0.9826,0.5587
36,0.0781,0.9826,0.5590
37,0.0806,0.9826,0.5597
38,0.0809,0.9826,0.5601
39,0.0796,0.9826,0.5512
40,0.0798,0.9826,0.5339
41,0.0777,0.9826,0.5601
42,0.0800,0.9826,0.5565
43,0.0792,0.9826,0.4208
44,0.0766,0.9826,0.5587
45,0.0789,0.9826,0.4484
46,0.0779,0.9826,0.5025
47,0.0786,0.9826,0.5551
48,0.0773,0.9826,0.5618
49,0.0787,0.9826,0.5544
50,0.0792,0.9826,0.5551
51,0.0778,0.9826,0.5551
52,0.0798,0.9826,0.5516
53,0.0778,0.9826,0.5523
54,0.0814,0.9826,0.5502
55,0.0790,0.9826,0.5601
56,0.0769,0.9826,0.5459
57,0.0784,0.9826,0.5565
58,0.0792,0.9826,0.5947
59,0.0802,0.9826,0.5343
60,0.0796,0.9826,0.5862
61,0.0774,0.9826,0.5417
62,0.0762,0.9826,0.5516
63,0.0777,0.9826,0.5555
64,0.0780,0.9826,0.5572
65,0.0780,0.9826,0.5587
66,0.0787,0.9826,0.5587
67,0.0796,0.9826,0.5594
68,0.0775,0.9826,0.5551
69,0.0810,0.9826,0.5247
70,0.0775,0.9826,0.5587
71,0.0782,0.9826,0.5587
72,0.0781,0.9826,0.5558
73,0.0782,0.9826,0.5565
74,0.0786,0.9826,0.5509
75,0.0798,0.9826,0.5558
76,0.0796,0.9826,0.5594
77,0.0807,0.9826,0.5417
78,0.0785,0.9826,0.5636
79,0.0775,0.9826,0.5664
80,0.0780,0.9826,0.5671
81,0.0776,0.9826,0.5657
82,0.0785,0.9826,0.5530
83,0.0773,0.9826,0.5601
84,0.0775,0.9826,0.5569
85,0.0783,0.9826,0.5650
86,0.0784,0.9826,0.5590
87,0.0776,0.9826,0.5548
88,0.0776,0.9826,0.5664
89,0.0783,0.9826,0.5678
90,0.0783,0.9826,0.4420
91,0.0772,0.9826,0.5770
92,0.0774,0.9826,0.5777
93,0.0772,0.9826,0.5714
94,0.0781,0.9826,0.5650
95,0.0776,0.9826,0.4470
96,0.0773,0.9826,0.4403
97,0.0787,0.9826,0.4505
98,0.0777,0.9826,0.5601
99,0.0794,0.9826,0.5597
100,0.0781,0.9826,0.5601
