Epoch,Loss,TestAcc,TestAuc
1,0.2873,0.9410,0.5854
2,0.2431,0.9410,0.5862
3,0.2450,0.9410,0.5851
4,0.2219,0.9410,0.5839
5,0.2168,0.9410,0.5841
6,0.2258,0.9410,0.5810
7,0.2177,0.9410,0.5780
8,0.2081,0.9410,0.5791
9,0.2070,0.9410,0.5777
10,0.2041,0.9410,0.5765
11,0.2025,0.9410,0.5759
12,0.2044,0.9410,0.5793
13,0.2084,0.9410,0.5789
14,0.2052,0.9410,0.5775
15,0.2062,0.9410,0.5767
16,0.1998,0.9410,0.5781
17,0.2017,0.9410,0.5940
18,0.2046,0.9410,0.5998
19,0.2024,0.9410,0.6114
20,0.2042,0.9410,0.5864
21,0.2040,0.9410,0.5874
22,0.2013,0.9410,0.5882
23,0.2006,0.9410,0.6067
24,0.2013,0.9410,0.5855
25,0.2052,0.9410,0.5804
26,0.2056,0.9410,0.5777
27,0.2002,0.9410,0.5798
28,0.1970,0.9410,0.5804
29,0.2016,0.9410,0.5776
30,0.1993,0.9410,0.5796
31,0.2034,0.9410,0.5796
32,0.2009,0.9410,0.5818
33,0.2000,0.9410,0.5828
34,0.2047,0.9410,0.5836
35,0.2014,0.9410,0.5835
36,0.2014,0.9410,0.5834
37,0.1996,0.9410,0.5824
38,0.2027,0.9410,0.5822
39,0.2006,0.9410,0.5799
40,0.2018,0.9410,0.5871
41,0.2000,0.9410,0.5919
42,0.2015,0.9410,0.6073
43,0.2024,0.9410,0.5904
44,0.2026,0.9410,0.5830
45,0.2000,0.9410,0.5959
46,0.2016,0.9410,0.5890
47,0.1984,0.9410,0.5970
48,0.2025,0.9410,0.6119
49,0.2035,0.9410,0.5048
50,0.2007,0.9410,0.4170
51,0.2004,0.9410,0.6081
52,0.2013,0.9410,0.6020
53,0.2002,0.9410,0.5932
54,0.2016,0.9410,0.5908
55,0.2013,0.9410,0.5960
56,0.1993,0.9410,0.5869
57,0.2010,0.9410,0.5858
58,0.2004,0.9410,0.5850
59,0.2004,0.9410,0.5863
60,0.2024,0.9410,0.5843
61,0.1998,0.9410,0.5836
62,0.2024,0.9410,0.5835
63,0.2011,0.9410,0.5852
64,0.2005,0.9410,0.5839
65,0.2002,0.9410,0.5841
66,0.2010,0.9410,0.5855
67,0.2013,0.9410,0.5848
68,0.2016,0.9410,0.4911
69,0.2004,0.9410,0.5865
70,0.2001,0.9410,0.4146
71,0.2019,0.9410,0.5169
72,0.2030,0.9410,0.5878
73,0.1999,0.9410,0.4950
74,0.2004,0.9410,0.5876
75,0.2029,0.9410,0.4424
76,0.2017,0.9410,0.5863
77,0.1999,0.9410,0.5866
78,0.2027,0.9410,0.5858
79,0.2013,0.9410,0.5882
80,0.2007,0.9410,0.5876
81,0.2007,0.9410,0.5858
82,0.2013,0.9410,0.5863
83,0.2002,0.9410,0.5858
84,0.2008,0.9410,0.5858
85,0.2007,0.9410,0.5850
86,0.2000,0.9410,0.5854
87,0.1997,0.9410,0.5854
88,0.2004,0.9410,0.5852
89,0.2014,0.9410,0.5848
90,0.2006,0.9410,0.5861
91,0.2015,0.9410,0.5852
92,0.2014,0.9410,0.5708
93,0.2004,0.9410,0.5861
94,0.2014,0.9410,0.5864
95,0.1993,0.9410,0.5843
96,0.2001,0.9410,0.5860
97,0.2005,0.9410,0.5850
98,0.2013,0.9410,0.5844
99,0.2007,0.9410,0.5842
100,0.2000,0.9410,0.5845
