Epoch,Loss,TestAcc,TestAuc
1,0.2293,0.9549,0.6329
2,0.1591,0.9549,0.6355
3,0.1606,0.9549,0.6365
4,0.1421,0.9549,0.6368
5,0.1427,0.9549,0.6372
6,0.1467,0.9549,0.6369
7,0.1380,0.9549,0.6372
8,0.1331,0.9549,0.6366
9,0.1342,0.9549,0.6378
10,0.1398,0.9549,0.6383
11,0.1291,0.9549,0.6378
12,0.1347,0.9549,0.6378
13,0.1382,0.9549,0.6386
14,0.1336,0.9549,0.6385
15,0.1369,0.9549,0.6400
16,0.1333,0.9549,0.6418
17,0.1319,0.9549,0.6406
18,0.1363,0.9549,0.6427
19,0.1360,0.9549,0.6358
20,0.1312,0.9549,0.6406
21,0.1365,0.9549,0.6397
22,0.1375,0.9549,0.6403
23,0.1289,0.9549,0.6413
24,0.1361,0.9549,0.6350
25,0.1350,0.9549,0.6393
26,0.1329,0.9549,0.6453
27,0.1300,0.9549,0.6428
28,0.1331,0.9549,0.6371
29,0.1345,0.9549,0.6317
30,0.1350,0.9549,0.6306
31,0.1326,0.9549,0.6218
32,0.1334,0.9549,0.6392
33,0.1348,0.9549,0.5199
34,0.1339,0.9549,0.6380
35,0.1330,0.9549,0.6418
36,0.1308,0.9549,0.6424
37,0.1313,0.9549,0.6422
38,0.1317,0.9549,0.6436
39,0.1308,0.9549,0.6435
40,0.1323,0.9549,0.6436
41,0.1327,0.9549,0.6441
42,0.1332,0.9549,0.6439
43,0.1307,0.9549,0.6442
44,0.1332,0.9549,0.6450
45,0.1324,0.9549,0.6431
46,0.1324,0.9549,0.6439
47,0.1324,0.9549,0.6460
48,0.1317,0.9549,0.6439
49,0.1299,0.9549,0.6439
50,0.1320,0.9549,0.6448
51,0.1297,0.9549,0.6434
52,0.1311,0.9549,0.6429
53,0.1301,0.9549,0.6443
54,0.1315,0.9549,0.6436
55,0.1308,0.9549,0.6448
56,0.1314,0.9549,0.6404
57,0.1312,0.9549,0.6424
58,0.1323,0.9549,0.6399
59,0.1306,0.9549,0.6425
60,0.1331,0.9549,0.6425
61,0.1330,0.9549,0.6436
62,0.1312,0.9549,0.6435
63,0.1317,0.9549,0.6431
64,0.1337,0.9549,0.6427
65,0.1324,0.9549,0.6386
66,0.1321,0.9549,0.6420
67,0.1313,0.9549,0.6434
68,0.1330,0.9549,0.6397
69,0.1305,0.9549,0.6436
70,0.1304,0.9549,0.6443
71,0.1308,0.9549,0.6434
72,0.1302,0.9549,0.6442
73,0.1311,0.9549,0.6434
74,0.1320,0.9549,0.6422
75,0.1317,0.9549,0.6378
76,0.1306,0.9549,0.6408
77,0.1305,0.9549,0.3178
78,0.1313,0.9549,0.3018
79,0.1308,0.9549,0.6404
80,0.1304,0.9549,0.6380
81,0.1318,0.9549,0.3069
82,0.1305,0.9549,0.6322
83,0.1311,0.9549,0.6355
84,0.1297,0.9549,0.6400
85,0.1323,0.9549,0.6386
86,0.1307,0.9549,0.6383
87,0.1304,0.9549,0.6394
88,0.1305,0.9549,0.6403
89,0.1317,0.9549,0.6417
90,0.1322,0.9549,0.6400
91,0.1306,0.9549,0.4589
92,0.1308,0.9549,0.6400
93,0.1301,0.9549,0.6406
94,0.1309,0.9549,0.6305
95,0.1307,0.9549,0.6411
96,0.1313,0.9549,0.6392
97,0.1311,0.9549,0.6410
98,0.1307,0.9549,0.6383
99,0.1317,0.9549,0.6389
100,0.1311,0.9549,0.6414
