Epoch,Loss,TestAcc,TestAuc
1,0.5332,0.9355,0.4310
2,0.6242,0.9355,0.4483
3,0.5410,0.9355,0.4483
4,0.5229,0.9355,0.4483
5,0.4898,0.9355,0.4655
6,0.5293,0.9355,0.4655
7,0.5639,0.9355,0.4655
8,0.5254,0.9355,0.4655
9,0.4957,0.9355,0.4655
10,0.4789,0.9355,0.4655
11,0.5099,0.9355,0.4483
12,0.4737,0.9355,0.4483
13,0.4916,0.9355,0.4483
14,0.4882,0.9355,0.4483
15,0.5000,0.9355,0.4483
16,0.4806,0.9355,0.4483
17,0.4947,0.9355,0.4483
18,0.4814,0.9355,0.4483
19,0.5002,0.9355,0.4483
20,0.4890,0.9355,0.4483
21,0.4679,0.9355,0.4138
22,0.4832,0.9355,0.3966
23,0.5006,0.9355,0.3793
24,0.4887,0.9355,0.2931
25,0.4745,0.9355,0.2586
26,0.4638,0.9355,0.3448
27,0.4650,0.9355,0.3103
28,0.4837,0.9355,0.2931
29,0.4780,0.9355,0.2414
30,0.4643,0.9355,0.4310
31,0.4835,0.9355,0.2759
32,0.4839,0.9355,0.5517
33,0.4856,0.9355,0.2414
34,0.4650,0.9355,0.2414
35,0.5010,0.9355,0.5690
36,0.4732,0.9355,0.2414
37,0.4761,0.9355,0.5172
38,0.4865,0.9355,0.5345
39,0.4687,0.9355,0.5517
40,0.4738,0.9355,0.5690
41,0.4790,0.9355,0.5517
42,0.4721,0.9355,0.6207
43,0.4712,0.9355,0.4483
44,0.4695,0.9355,0.4655
45,0.4831,0.9355,0.2931
46,0.4717,0.9355,0.3276
47,0.4759,0.9355,0.3276
48,0.4699,0.9355,0.3448
49,0.4718,0.9355,0.4828
50,0.4737,0.9355,0.2414
51,0.4658,0.9355,0.5000
52,0.4776,0.9355,0.5690
53,0.4646,0.9355,0.5517
54,0.4703,0.9355,0.2414
55,0.4741,0.9355,0.2414
56,0.4760,0.9355,0.4655
57,0.4891,0.9355,0.5690
58,0.4762,0.9355,0.5345
59,0.4928,0.9355,0.5517
60,0.4853,0.9355,0.2414
61,0.4771,0.9355,0.3448
62,0.4663,0.9355,0.5690
63,0.4756,0.9355,0.5690
64,0.4672,0.9355,0.5345
65,0.4743,0.9355,0.5345
66,0.4778,0.9355,0.5690
67,0.4611,0.9355,0.5690
68,0.4775,0.9355,0.5345
69,0.4712,0.9355,0.5172
70,0.4711,0.9355,0.5172
71,0.4727,0.9355,0.5345
72,0.4713,0.9355,0.5690
73,0.4741,0.9355,0.5690
74,0.4607,0.9355,0.5690
75,0.4543,0.9355,0.5690
76,0.4695,0.9355,0.5517
77,0.4696,0.9355,0.5345
78,0.4580,0.9355,0.5345
79,0.4531,0.9355,0.5345
80,0.4605,0.9355,0.5172
81,0.4672,0.9355,0.5172
82,0.4541,0.9355,0.5172
83,0.4648,0.9355,0.5172
84,0.4660,0.9355,0.5172
85,0.4633,0.9355,0.5000
86,0.4692,0.9355,0.5000
87,0.4735,0.9355,0.5000
88,0.4856,0.9355,0.5000
89,0.4764,0.9355,0.5000
90,0.4699,0.9355,0.5172
91,0.4724,0.9355,0.5172
92,0.4724,0.9355,0.5000
93,0.4600,0.9355,0.5000
94,0.4688,0.9355,0.5172
95,0.4711,0.9355,0.5172
96,0.4655,0.9355,0.5172
97,0.4474,0.9355,0.5172
98,0.4697,0.9355,0.5172
99,0.4757,0.9355,0.5172
100,0.4733,0.9355,0.5345
