Epoch,Loss,TestAcc,TestAuc
1,0.2489,0.9628,0.6330
2,0.2189,0.9628,0.6323
3,0.2123,0.9628,0.6335
4,0.2097,0.9628,0.6318
5,0.2061,0.9628,0.6332
6,0.2065,0.9628,0.6316
7,0.2060,0.9628,0.6316
8,0.2056,0.9628,0.6291
9,0.2065,0.9628,0.6334
10,0.2048,0.9628,0.6321
11,0.2052,0.9628,0.6133
12,0.2049,0.9628,0.6281
13,0.2055,0.9628,0.3605
14,0.2045,0.9628,0.3419
15,0.2047,0.9628,0.6299
16,0.2049,0.9628,0.3405
17,0.2047,0.9628,0.6285
18,0.2041,0.9628,0.3418
19,0.2044,0.9628,0.6314
20,0.2042,0.9628,0.6310
21,0.2044,0.9628,0.6325
22,0.2043,0.9628,0.6317
23,0.2048,0.9628,0.6319
24,0.2042,0.9628,0.6307
25,0.2044,0.9628,0.6331
26,0.2041,0.9628,0.6317
27,0.2043,0.9628,0.6316
28,0.2042,0.9628,0.6333
29,0.2043,0.9628,0.6320
30,0.2045,0.9628,0.6330
31,0.2042,0.9628,0.6330
32,0.2045,0.9628,0.6335
33,0.2046,0.9628,0.6630
34,0.2047,0.9628,0.3670
35,0.2043,0.9628,0.3527
36,0.2052,0.9628,0.6315
37,0.2043,0.9628,0.6331
38,0.2041,0.9628,0.6326
39,0.2040,0.9628,0.3449
40,0.2041,0.9628,0.3678
41,0.2041,0.9628,0.3674
42,0.2041,0.9628,0.3672
43,0.2040,0.9628,0.3677
44,0.2040,0.9628,0.6245
45,0.2040,0.9628,0.3683
46,0.2040,0.9628,0.3852
47,0.2040,0.9628,0.3653
48,0.2040,0.9628,0.4749
49,0.2040,0.9628,0.4828
50,0.2040,0.9628,0.5042
51,0.2040,0.9628,0.5239
52,0.2041,0.9628,0.4931
53,0.2040,0.9628,0.5000
54,0.2040,0.9628,0.5000
55,0.2041,0.9628,0.5000
56,0.2039,0.9628,0.5000
57,0.2041,0.9628,0.5000
58,0.2041,0.9628,0.5000
59,0.2041,0.9628,0.5000
60,0.2042,0.9628,0.5000
61,0.2040,0.9628,0.5000
62,0.2040,0.9628,0.5000
63,0.2040,0.9628,0.5000
64,0.2040,0.9628,0.5000
65,0.2047,0.9628,0.6262
66,0.2064,0.9628,0.6315
67,0.2063,0.9628,0.3668
68,0.2042,0.9628,0.6318
69,0.2042,0.9628,0.6337
70,0.2040,0.9628,0.6315
71,0.2040,0.9628,0.6313
72,0.2044,0.9628,0.3676
73,0.2041,0.9628,0.5644
74,0.2042,0.9628,0.6313
75,0.2043,0.9628,0.6331
76,0.2040,0.9628,0.6315
77,0.2044,0.9628,0.3687
78,0.2045,0.9628,0.6288
79,0.2058,0.9628,0.3366
80,0.2042,0.9628,0.6318
81,0.2041,0.9628,0.6338
82,0.2040,0.9628,0.3666
83,0.2041,0.9628,0.6338
84,0.2039,0.9628,0.6329
85,0.2040,0.9628,0.3674
86,0.2040,0.9628,0.3667
87,0.2040,0.9628,0.3670
88,0.2041,0.9628,0.3671
89,0.2041,0.9628,0.6323
90,0.2041,0.9628,0.3675
91,0.2041,0.9628,0.6273
92,0.2039,0.9628,0.6335
93,0.2040,0.9628,0.6313
94,0.2041,0.9628,0.3663
95,0.2040,0.9628,0.6248
96,0.2040,0.9628,0.3742
97,0.2041,0.9628,0.4954
98,0.2040,0.9628,0.4326
99,0.2041,0.9628,0.6294
100,0.2040,0.9628,0.5826
