Epoch,Loss,TestAcc,TestAuc
1,0.1503,0.9742,0.5092
2,0.1269,0.9742,0.5092
3,0.1207,0.9742,0.5107
4,0.1200,0.9742,0.5259
5,0.1208,0.9742,0.5091
6,0.1200,0.9742,0.5143
7,0.1181,0.9742,0.5186
8,0.1194,0.9742,0.4979
9,0.1194,0.9742,0.5087
10,0.1184,0.9742,0.5182
11,0.1184,0.9742,0.5582
12,0.1179,0.9742,0.5318
13,0.1181,0.9742,0.5530
14,0.1181,0.9742,0.6051
15,0.1174,0.9742,0.6095
16,0.1193,0.9742,0.5556
17,0.1174,0.9742,0.5534
18,0.1179,0.9742,0.5959
19,0.1176,0.9742,0.6580
20,0.1178,0.9742,0.5877
21,0.1177,0.9742,0.5420
22,0.1175,0.9742,0.5854
23,0.1176,0.9742,0.6978
24,0.1173,0.9742,0.5644
25,0.1174,0.9742,0.5479
26,0.1174,0.9742,0.5959
27,0.1176,0.9742,0.5430
28,0.1178,0.9742,0.5541
29,0.1176,0.9742,0.5483
30,0.1173,0.9742,0.5488
31,0.1174,0.9742,0.4400
32,0.1175,0.9742,0.5390
33,0.1176,0.9742,0.5489
34,0.1172,0.9742,0.5539
35,0.1177,0.9742,0.5368
36,0.1180,0.9742,0.5288
37,0.1179,0.9742,0.5333
38,0.1173,0.9742,0.5116
39,0.1175,0.9742,0.5833
40,0.1174,0.9742,0.5701
41,0.1173,0.9742,0.5460
42,0.1176,0.9742,0.5309
43,0.1174,0.9742,0.5749
44,0.1172,0.9742,0.5445
45,0.1173,0.9742,0.5340
46,0.1173,0.9742,0.5313
47,0.1174,0.9742,0.5471
48,0.1174,0.9742,0.5716
49,0.1178,0.9742,0.5069
50,0.1176,0.9742,0.5199
51,0.1175,0.9742,0.5417
52,0.1173,0.9742,0.5129
53,0.1175,0.9742,0.5413
54,0.1174,0.9742,0.6858
55,0.1174,0.9742,0.5393
56,0.1172,0.9742,0.5414
57,0.1174,0.9742,0.5384
58,0.1174,0.9742,0.5415
59,0.1173,0.9742,0.5416
60,0.1173,0.9742,0.5528
61,0.1184,0.9742,0.5742
62,0.1207,0.9742,0.5049
63,0.1177,0.9742,0.5112
64,0.1172,0.9742,0.5147
65,0.1173,0.9742,0.4961
66,0.1193,0.9742,0.4472
67,0.1181,0.9742,0.4992
68,0.1173,0.9742,0.5097
69,0.1172,0.9742,0.4927
70,0.1173,0.9742,0.5319
71,0.1173,0.9742,0.5058
72,0.1172,0.9742,0.5403
73,0.1173,0.9742,0.5705
74,0.1172,0.9742,0.5341
75,0.1173,0.9742,0.5875
76,0.1172,0.9742,0.5178
77,0.1172,0.9742,0.5204
78,0.1172,0.9742,0.5118
79,0.1172,0.9742,0.5125
80,0.1172,0.9742,0.5143
81,0.1172,0.9742,0.5097
82,0.1172,0.9742,0.5061
83,0.1173,0.9742,0.5016
84,0.1172,0.9742,0.4933
85,0.1172,0.9742,0.4613
86,0.1172,0.9742,0.5028
87,0.1172,0.9742,0.5040
88,0.1172,0.9742,0.4925
89,0.1171,0.9742,0.4916
90,0.1173,0.9742,0.5161
91,0.1171,0.9742,0.4933
92,0.1172,0.9742,0.5000
93,0.1172,0.9742,0.5000
94,0.1172,0.9742,0.5000
95,0.1173,0.9742,0.5416
96,0.1172,0.9742,0.5055
97,0.1172,0.9742,0.5139
98,0.1172,0.9742,0.4955
99,0.1172,0.9742,0.4887
100,0.1172,0.9742,0.5158
