Epoch,Loss,TestAcc,TestAuc
1,0.1061,0.9861,0.4289
2,0.0788,0.9861,0.4221
3,0.0731,0.9861,0.4191
4,0.0779,0.9861,0.4251
5,0.0749,0.9861,0.4295
6,0.0733,0.9861,0.4288
7,0.0713,0.9861,0.4278
8,0.0704,0.9861,0.4248
9,0.0709,0.9861,0.4238
10,0.0705,0.9861,0.4212
11,0.0703,0.9861,0.4140
12,0.0704,0.9861,0.4144
13,0.0701,0.9861,0.4263
14,0.0707,0.9861,0.4228
15,0.0695,0.9861,0.4228
16,0.0692,0.9861,0.4234
17,0.0711,0.9861,0.3490
18,0.0705,0.9861,0.4275
19,0.0695,0.9861,0.4153
20,0.0694,0.9861,0.4239
21,0.0694,0.9861,0.5676
22,0.0691,0.9861,0.4218
23,0.0700,0.9861,0.4199
24,0.0702,0.9861,0.5732
25,0.0698,0.9861,0.4206
26,0.0690,0.9861,0.4170
27,0.0700,0.9861,0.4223
28,0.0697,0.9861,0.4200
29,0.0697,0.9861,0.4196
30,0.0703,0.9861,0.4298
31,0.0693,0.9861,0.4341
32,0.0694,0.9861,0.4279
33,0.0699,0.9861,0.4312
34,0.0704,0.9861,0.4240
35,0.0699,0.9861,0.4279
36,0.0699,0.9861,0.4265
37,0.0700,0.9861,0.4294
38,0.0693,0.9861,0.4293
39,0.0692,0.9861,0.4296
40,0.0693,0.9861,0.4224
41,0.0702,0.9861,0.4309
42,0.0702,0.9861,0.4250
43,0.0696,0.9861,0.4303
44,0.0697,0.9861,0.4216
45,0.0700,0.9861,0.4240
46,0.0693,0.9861,0.4196
47,0.0695,0.9861,0.4276
48,0.0695,0.9861,0.4370
49,0.0696,0.9861,0.4320
50,0.0699,0.9861,0.6038
51,0.0694,0.9861,0.4286
52,0.0694,0.9861,0.4262
53,0.0695,0.9861,0.4263
54,0.0696,0.9861,0.4258
55,0.0695,0.9861,0.4304
56,0.0698,0.9861,0.4323
57,0.0693,0.9861,0.4278
58,0.0698,0.9861,0.4205
59,0.0699,0.9861,0.4220
60,0.0697,0.9861,0.4272
61,0.0695,0.9861,0.4216
62,0.0695,0.9861,0.4308
63,0.0694,0.9861,0.4209
64,0.0703,0.9861,0.4300
65,0.0695,0.9861,0.4297
66,0.0696,0.9861,0.4268
67,0.0692,0.9861,0.4377
68,0.0698,0.9861,0.4295
69,0.0694,0.9861,0.5866
70,0.0695,0.9861,0.4181
71,0.0695,0.9861,0.4211
72,0.0693,0.9861,0.4316
73,0.0694,0.9861,0.4348
74,0.0692,0.9861,0.4236
75,0.0701,0.9861,0.4220
76,0.0700,0.9861,0.4162
77,0.0704,0.9861,0.4243
78,0.0695,0.9861,0.4215
79,0.0698,0.9861,0.4269
80,0.0698,0.9861,0.4232
81,0.0704,0.9861,0.4261
82,0.0699,0.9861,0.4265
83,0.0692,0.9861,0.4246
84,0.0693,0.9861,0.4299
85,0.0692,0.9861,0.4381
86,0.0697,0.9861,0.4244
87,0.0696,0.9861,0.4319
88,0.0692,0.9861,0.4342
89,0.0696,0.9861,0.4271
90,0.0694,0.9861,0.4301
91,0.0693,0.9861,0.4263
92,0.0698,0.9861,0.4152
93,0.0724,0.9861,0.4300
94,0.0697,0.9861,0.4281
95,0.0694,0.9861,0.4287
96,0.0695,0.9861,0.4255
97,0.0692,0.9861,0.4279
98,0.0698,0.9861,0.4195
99,0.0692,0.9861,0.4253
100,0.0697,0.9861,0.4238
