Epoch,Loss,TestAcc,TestAuc
1,0.2166,0.9471,0.5375
2,0.1787,0.9471,0.5377
3,0.1727,0.9471,0.5265
4,0.1697,0.9471,0.5333
5,0.1679,0.9471,0.5449
6,0.1658,0.9471,0.5389
7,0.1672,0.9471,0.5475
8,0.1685,0.9471,0.5398
9,0.1719,0.9471,0.5561
10,0.1659,0.9471,0.5036
11,0.1656,0.9471,0.5476
12,0.1656,0.9471,0.5448
13,0.1655,0.9471,0.5384
14,0.1673,0.9471,0.5623
15,0.1645,0.9471,0.5575
16,0.1652,0.9471,0.5587
17,0.1644,0.9471,0.5341
18,0.1650,0.9471,0.5492
19,0.1649,0.9471,0.5472
20,0.1645,0.9471,0.5139
21,0.1654,0.9471,0.5406
22,0.1643,0.9471,0.5409
23,0.1646,0.9471,0.5427
24,0.1645,0.9471,0.5442
25,0.1649,0.9471,0.5519
26,0.1649,0.9471,0.5501
27,0.1646,0.9471,0.5536
28,0.1643,0.9471,0.5488
29,0.1643,0.9471,0.5363
30,0.1647,0.9471,0.5287
31,0.1646,0.9471,0.4429
32,0.1648,0.9471,0.5430
33,0.1647,0.9471,0.5382
34,0.1646,0.9471,0.5412
35,0.1644,0.9471,0.5396
36,0.1650,0.9471,0.5526
37,0.1643,0.9471,0.5597
38,0.1644,0.9471,0.5505
39,0.1645,0.9471,0.5535
40,0.1645,0.9471,0.5527
41,0.1643,0.9471,0.5604
42,0.1648,0.9471,0.5518
43,0.1646,0.9471,0.5416
44,0.1644,0.9471,0.5436
45,0.1644,0.9471,0.5440
46,0.1642,0.9471,0.5424
47,0.1643,0.9471,0.5363
48,0.1643,0.9471,0.5435
49,0.1642,0.9471,0.5424
50,0.1645,0.9471,0.5521
51,0.1642,0.9471,0.5540
52,0.1641,0.9471,0.5457
53,0.1643,0.9471,0.5285
54,0.1641,0.9471,0.5419
55,0.1642,0.9471,0.4680
56,0.1648,0.9471,0.4733
57,0.1652,0.9471,0.5425
58,0.1641,0.9471,0.5334
59,0.1642,0.9471,0.5376
60,0.1641,0.9471,0.4792
61,0.1647,0.9471,0.5178
62,0.1645,0.9471,0.4567
63,0.1642,0.9471,0.5250
64,0.1642,0.9471,0.5443
65,0.1641,0.9471,0.5432
66,0.1642,0.9471,0.5438
67,0.1641,0.9471,0.5553
68,0.1641,0.9471,0.4276
69,0.1641,0.9471,0.5178
70,0.1642,0.9471,0.5839
71,0.1641,0.9471,0.4215
72,0.1642,0.9471,0.5503
73,0.1641,0.9471,0.4410
74,0.1642,0.9471,0.5639
75,0.1642,0.9471,0.5038
76,0.1641,0.9471,0.4963
77,0.1642,0.9471,0.5351
78,0.1641,0.9471,0.5000
79,0.1641,0.9471,0.5000
80,0.1641,0.9471,0.5000
81,0.1641,0.9471,0.5000
82,0.1641,0.9471,0.5000
83,0.1642,0.9471,0.5000
84,0.1642,0.9471,0.5000
85,0.1642,0.9471,0.5000
86,0.1642,0.9471,0.5000
87,0.1641,0.9471,0.5000
88,0.1642,0.9471,0.5000
89,0.1645,0.9471,0.5308
90,0.1652,0.9471,0.4576
91,0.1644,0.9471,0.5401
92,0.1642,0.9471,0.5426
93,0.1641,0.9471,0.4657
94,0.1641,0.9471,0.5285
95,0.1641,0.9471,0.5314
96,0.1641,0.9471,0.5324
97,0.1641,0.9471,0.5301
98,0.1641,0.9471,0.5054
99,0.1641,0.9471,0.5301
100,0.1641,0.9471,0.4690
