Epoch,Loss,TestAcc,TestAuc
1,0.1892,0.9782,0.3127
2,0.1300,0.9782,0.3120
3,0.1206,0.9782,0.3132
4,0.1234,0.9782,0.3127
5,0.1229,0.9782,0.3164
6,0.1138,0.9782,0.3135
7,0.1152,0.9782,0.3140
8,0.1152,0.9782,0.3174
9,0.1142,0.9782,0.3392
10,0.1137,0.9782,0.3131
11,0.1129,0.9782,0.3153
12,0.1150,0.9782,0.3135
13,0.1128,0.9782,0.2960
14,0.1138,0.9782,0.3128
15,0.1124,0.9782,0.3121
16,0.1151,0.9782,0.3110
17,0.1128,0.9782,0.3129
18,0.1117,0.9782,0.3120
19,0.1123,0.9782,0.3115
20,0.1121,0.9782,0.3050
21,0.1117,0.9782,0.6849
22,0.1102,0.9782,0.3117
23,0.1117,0.9782,0.6816
24,0.1109,0.9782,0.3106
25,0.1107,0.9782,0.3176
26,0.1111,0.9782,0.3103
27,0.1112,0.9782,0.6869
28,0.1119,0.9782,0.3065
29,0.1107,0.9782,0.3103
30,0.1120,0.9782,0.3109
31,0.1112,0.9782,0.3116
32,0.1112,0.9782,0.3102
33,0.1114,0.9782,0.3097
34,0.1115,0.9782,0.3108
35,0.1126,0.9782,0.3156
36,0.1117,0.9782,0.3127
37,0.1110,0.9782,0.6872
38,0.1118,0.9782,0.3116
39,0.1110,0.9782,0.6914
40,0.1111,0.9782,0.6888
41,0.1110,0.9782,0.3103
42,0.1114,0.9782,0.3106
43,0.1115,0.9782,0.3093
44,0.1112,0.9782,0.6883
45,0.1113,0.9782,0.3060
46,0.1117,0.9782,0.2972
47,0.1117,0.9782,0.3111
48,0.1114,0.9782,0.3099
49,0.1125,0.9782,0.3120
50,0.1111,0.9782,0.3139
51,0.1114,0.9782,0.3123
52,0.1112,0.9782,0.3123
53,0.1103,0.9782,0.3127
54,0.1118,0.9782,0.3107
55,0.1113,0.9782,0.3101
56,0.1112,0.9782,0.3114
57,0.1108,0.9782,0.3118
58,0.1111,0.9782,0.3124
59,0.1112,0.9782,0.3131
60,0.1107,0.9782,0.3159
61,0.1106,0.9782,0.6877
62,0.1114,0.9782,0.3097
63,0.1113,0.9782,0.3106
64,0.1106,0.9782,0.3102
65,0.1111,0.9782,0.3067
66,0.1107,0.9782,0.3128
67,0.1117,0.9782,0.3155
68,0.1116,0.9782,0.7026
69,0.1110,0.9782,0.3145
70,0.1109,0.9782,0.3121
71,0.1107,0.9782,0.3116
72,0.1112,0.9782,0.3120
73,0.1114,0.9782,0.3118
74,0.1108,0.9782,0.3337
75,0.1109,0.9782,0.3113
76,0.1109,0.9782,0.3121
77,0.1109,0.9782,0.3118
78,0.1108,0.9782,0.3108
79,0.1109,0.9782,0.3110
80,0.1110,0.9782,0.3112
81,0.1108,0.9782,0.3113
82,0.1109,0.9782,0.3110
83,0.1107,0.9782,0.3121
84,0.1107,0.9782,0.6844
85,0.1115,0.9782,0.6860
86,0.1131,0.9782,0.3104
87,0.1112,0.9782,0.3116
88,0.1110,0.9782,0.3108
89,0.1111,0.9782,0.3122
90,0.1120,0.9782,0.3121
91,0.1109,0.9782,0.6902
92,0.1110,0.9782,0.3130
93,0.1106,0.9782,0.3137
94,0.1108,0.9782,0.3121
95,0.1106,0.9782,0.3118
96,0.1107,0.9782,0.3112
97,0.1106,0.9782,0.3112
98,0.1107,0.9782,0.3117
99,0.1106,0.9782,0.3120
100,0.1106,0.9782,0.3119
