Epoch,Loss,TestAcc,TestAuc
1,0.1317,0.9833,0.6015
2,0.0985,0.9833,0.6197
3,0.0930,0.9833,0.6263
4,0.1012,0.9833,0.5974
5,0.0928,0.9833,0.5930
6,0.0902,0.9833,0.5955
7,0.0900,0.9833,0.5977
8,0.0871,0.9833,0.5894
9,0.0887,0.9833,0.5967
10,0.0874,0.9833,0.5946
11,0.0883,0.9833,0.5912
12,0.0867,0.9833,0.5956
13,0.0893,0.9833,0.5991
14,0.0869,0.9833,0.5976
15,0.0866,0.9833,0.6049
16,0.0857,0.9833,0.5961
17,0.0860,0.9833,0.5988
18,0.0864,0.9833,0.4104
19,0.0862,0.9833,0.5940
20,0.0863,0.9833,0.5948
21,0.0857,0.9833,0.5924
22,0.0852,0.9833,0.5936
23,0.0856,0.9833,0.5937
24,0.0860,0.9833,0.5928
25,0.0856,0.9833,0.5926
26,0.0853,0.9833,0.5925
27,0.0856,0.9833,0.5928
28,0.0859,0.9833,0.5912
29,0.0855,0.9833,0.5922
30,0.0856,0.9833,0.5915
31,0.0853,0.9833,0.5933
32,0.0853,0.9833,0.5954
33,0.0853,0.9833,0.5910
34,0.0857,0.9833,0.5930
35,0.0857,0.9833,0.5922
36,0.0858,0.9833,0.5959
37,0.0855,0.9833,0.5926
38,0.0850,0.9833,0.5935
39,0.0859,0.9833,0.5922
40,0.0854,0.9833,0.5930
41,0.0854,0.9833,0.5914
42,0.0855,0.9833,0.5953
43,0.0852,0.9833,0.5917
44,0.0856,0.9833,0.5910
45,0.0851,0.9833,0.5921
46,0.0860,0.9833,0.5907
47,0.0862,0.9833,0.5914
48,0.0857,0.9833,0.5924
49,0.0852,0.9833,0.5910
50,0.0854,0.9833,0.4145
51,0.0857,0.9833,0.5876
52,0.0859,0.9833,0.5915
53,0.0849,0.9833,0.5917
54,0.0859,0.9833,0.5910
55,0.0855,0.9833,0.5914
56,0.0852,0.9833,0.5916
57,0.0857,0.9833,0.5893
58,0.0853,0.9833,0.5889
59,0.0858,0.9833,0.5919
60,0.0853,0.9833,0.5919
61,0.0864,0.9833,0.5910
62,0.0853,0.9833,0.5909
63,0.0853,0.9833,0.5914
64,0.0852,0.9833,0.5925
65,0.0856,0.9833,0.5912
66,0.0854,0.9833,0.5912
67,0.0854,0.9833,0.5916
68,0.0853,0.9833,0.5930
69,0.0852,0.9833,0.5915
70,0.0854,0.9833,0.5918
71,0.0851,0.9833,0.5905
72,0.0853,0.9833,0.5915
73,0.0856,0.9833,0.5917
74,0.0854,0.9833,0.5914
75,0.0853,0.9833,0.5936
76,0.0854,0.9833,0.5911
77,0.0855,0.9833,0.5927
78,0.0854,0.9833,0.5888
79,0.0858,0.9833,0.5928
80,0.0851,0.9833,0.5929
81,0.0853,0.9833,0.5925
82,0.0852,0.9833,0.5911
83,0.0849,0.9833,0.4104
84,0.0854,0.9833,0.5917
85,0.0853,0.9833,0.5919
86,0.0851,0.9833,0.5934
87,0.0854,0.9833,0.5913
88,0.0849,0.9833,0.5916
89,0.0857,0.9833,0.5916
90,0.0855,0.9833,0.5907
91,0.0858,0.9833,0.4094
92,0.0857,0.9833,0.5915
93,0.0858,0.9833,0.5909
94,0.0855,0.9833,0.5867
95,0.0855,0.9833,0.5913
96,0.0850,0.9833,0.5910
97,0.0851,0.9833,0.5915
98,0.0852,0.9833,0.5911
99,0.0851,0.9833,0.5910
100,0.0850,0.9833,0.5909
