Epoch,Loss,TestAcc,TestAuc
1,0.0460,0.9986,0.3844
2,0.0297,0.9986,0.3834
3,0.0271,0.9986,0.3837
4,0.0276,0.9986,0.3830
5,0.0242,0.9986,0.3841
6,0.0226,0.9986,0.3865
7,0.0236,0.9986,0.3938
8,0.0243,0.9986,0.3886
9,0.0243,0.9986,0.3921
10,0.0225,0.9986,0.3910
11,0.0220,0.9986,0.3907
12,0.0229,0.9986,0.3921
13,0.0227,0.9986,0.3969
14,0.0242,0.9986,0.3962
15,0.0231,0.9986,0.3921
16,0.0222,0.9986,0.3924
17,0.0229,0.9986,0.3942
18,0.0235,0.9986,0.3966
19,0.0225,0.9986,0.3928
20,0.0232,0.9986,0.3980
21,0.0224,0.9986,0.3983
22,0.0225,0.9986,0.4011
23,0.0218,0.9986,0.4206
24,0.0222,0.9986,0.4178
25,0.0229,0.9986,0.4175
26,0.0224,0.9986,0.4053
27,0.0230,0.9986,0.3994
28,0.0225,0.9986,0.3928
29,0.0217,0.9986,0.3990
30,0.0207,0.9986,0.4011
31,0.0227,0.9986,0.4004
32,0.0232,0.9986,0.3955
33,0.0231,0.9986,0.3966
34,0.0235,0.9986,0.3980
35,0.0227,0.9986,0.3973
36,0.0222,0.9986,0.3983
37,0.0232,0.9986,0.3980
38,0.0219,0.9986,0.3983
39,0.0220,0.9986,0.3994
40,0.0223,0.9986,0.3987
41,0.0245,0.9986,0.3990
42,0.0240,0.9986,0.3997
43,0.0238,0.9986,0.4088
44,0.0231,0.9986,0.4001
45,0.0228,0.9986,0.4039
46,0.0226,0.9986,0.4088
47,0.0226,0.9986,0.4046
48,0.0226,0.9986,0.4164
49,0.0216,0.9986,0.4036
50,0.0221,0.9986,0.4088
51,0.0233,0.9986,0.4049
52,0.0223,0.9986,0.4008
53,0.0227,0.9986,0.4022
54,0.0220,0.9986,0.4178
55,0.0223,0.9986,0.4126
56,0.0230,0.9986,0.4091
57,0.0216,0.9986,0.3990
58,0.0239,0.9986,0.3994
59,0.0221,0.9986,0.3983
60,0.0224,0.9986,0.3976
61,0.0218,0.9986,0.3990
62,0.0227,0.9986,0.3973
63,0.0231,0.9986,0.3935
64,0.0234,0.9986,0.4032
65,0.0220,0.9986,0.3980
66,0.0218,0.9986,0.4109
67,0.0219,0.9986,0.3976
68,0.0226,0.9986,0.3935
69,0.0216,0.9986,0.3952
70,0.0223,0.9986,0.3962
71,0.0216,0.9986,0.3959
72,0.0228,0.9986,0.3966
73,0.0236,0.9986,0.3980
74,0.0220,0.9986,0.3952
75,0.0221,0.9986,0.4053
76,0.0232,0.9986,0.3955
77,0.0216,0.9986,0.3945
78,0.0221,0.9986,0.3952
79,0.0222,0.9986,0.3975
80,0.0236,0.9986,0.3962
81,0.0219,0.9986,0.4039
82,0.0225,0.9986,0.3969
83,0.0226,0.9986,0.4039
84,0.0209,0.9986,0.4143
85,0.0251,0.9986,0.4136
86,0.0228,0.9986,0.3994
87,0.0222,0.9986,0.4119
88,0.0255,0.9986,0.4105
89,0.0224,0.9986,0.3983
90,0.0220,0.9986,0.3983
91,0.0237,0.9986,0.3983
92,0.0216,0.9986,0.3994
93,0.0225,0.9986,0.3994
94,0.0221,0.9986,0.3983
95,0.0215,0.9986,0.3994
96,0.0232,0.9986,0.3983
97,0.0231,0.9986,0.4116
98,0.0214,0.9986,0.4112
99,0.0221,0.9986,0.4126
100,0.0226,0.9986,0.4126
