Epoch,Loss,TestAcc,TestAuc
1,0.3051,0.9312,0.4380
2,0.2379,0.9312,0.4226
3,0.2356,0.9312,0.5998
4,0.2316,0.9312,0.4322
5,0.2346,0.9312,0.4415
6,0.2302,0.9312,0.4308
7,0.2302,0.9312,0.4206
8,0.2280,0.9312,0.4202
9,0.2284,0.9312,0.4205
10,0.2286,0.9312,0.4357
11,0.2276,0.9312,0.5892
12,0.2272,0.9312,0.5477
13,0.2277,0.9312,0.4379
14,0.2259,0.9312,0.4405
15,0.2277,0.9312,0.4254
16,0.2269,0.9312,0.5366
17,0.2269,0.9312,0.5793
18,0.2262,0.9312,0.5765
19,0.2263,0.9312,0.4244
20,0.2265,0.9312,0.5701
21,0.2263,0.9312,0.4278
22,0.2262,0.9312,0.4398
23,0.2261,0.9312,0.5944
24,0.2261,0.9312,0.5189
25,0.2263,0.9312,0.5951
26,0.2260,0.9312,0.4197
27,0.2256,0.9312,0.4159
28,0.2318,0.9312,0.5776
29,0.2282,0.9312,0.4226
30,0.2265,0.9312,0.5264
31,0.2268,0.9312,0.5848
32,0.2261,0.9312,0.4221
33,0.2257,0.9312,0.5888
34,0.2258,0.9312,0.5863
35,0.2258,0.9312,0.5886
36,0.2249,0.9312,0.5919
37,0.2259,0.9312,0.5877
38,0.2258,0.9312,0.5915
39,0.2258,0.9312,0.5904
40,0.2254,0.9312,0.6036
41,0.2257,0.9312,0.5905
42,0.2257,0.9312,0.5752
43,0.2251,0.9312,0.5879
44,0.2257,0.9312,0.5882
45,0.2256,0.9312,0.5759
46,0.2260,0.9312,0.5901
47,0.2258,0.9312,0.5852
48,0.2256,0.9312,0.5829
49,0.2259,0.9312,0.5970
50,0.2257,0.9312,0.5832
51,0.2258,0.9312,0.4112
52,0.2262,0.9312,0.5937
53,0.2279,0.9312,0.5794
54,0.2258,0.9312,0.4157
55,0.2257,0.9312,0.5849
56,0.2261,0.9312,0.5789
57,0.2259,0.9312,0.4215
58,0.2257,0.9312,0.5923
59,0.2257,0.9312,0.5729
60,0.2257,0.9312,0.5784
61,0.2257,0.9312,0.5860
62,0.2257,0.9312,0.5877
63,0.2257,0.9312,0.5685
64,0.2258,0.9312,0.5854
65,0.2256,0.9312,0.5865
66,0.2256,0.9312,0.5855
67,0.2256,0.9312,0.5863
68,0.2256,0.9312,0.5861
69,0.2257,0.9312,0.4341
70,0.2315,0.9312,0.5774
71,0.2259,0.9312,0.4913
72,0.2257,0.9312,0.5931
73,0.2258,0.9312,0.5911
74,0.2256,0.9312,0.4237
75,0.2257,0.9312,0.4261
76,0.2256,0.9312,0.5849
77,0.2257,0.9312,0.5957
78,0.2257,0.9312,0.5907
79,0.2257,0.9312,0.5854
80,0.2257,0.9312,0.5860
81,0.2268,0.9312,0.5864
82,0.2295,0.9312,0.5964
83,0.2299,0.9312,0.4238
84,0.2258,0.9312,0.4307
85,0.2258,0.9312,0.4448
86,0.2256,0.9312,0.5984
87,0.2257,0.9312,0.5908
88,0.2256,0.9312,0.5830
89,0.2256,0.9312,0.5863
90,0.2257,0.9312,0.5953
91,0.2257,0.9312,0.5897
92,0.2257,0.9312,0.5898
93,0.2256,0.9312,0.4232
94,0.2257,0.9312,0.4270
95,0.2257,0.9312,0.5856
96,0.2256,0.9312,0.5883
97,0.2257,0.9312,0.5950
98,0.2258,0.9312,0.5849
99,0.2256,0.9312,0.5863
100,0.2257,0.9312,0.5866
