Epoch,Loss,TestAcc,TestAuc
1,0.2299,0.9761,0.5026
2,0.1530,0.9761,0.5020
3,0.1534,0.9761,0.5127
4,0.1521,0.9761,0.5046
5,0.1433,0.9761,0.5129
6,0.1431,0.9761,0.5125
7,0.1446,0.9761,0.5060
8,0.1405,0.9761,0.5301
9,0.1427,0.9761,0.5076
10,0.1407,0.9761,0.5032
11,0.1421,0.9761,0.5045
12,0.1382,0.9761,0.5066
13,0.1403,0.9761,0.5223
14,0.1387,0.9761,0.5033
15,0.1384,0.9761,0.5353
16,0.1391,0.9761,0.5319
17,0.1390,0.9761,0.5087
18,0.1391,0.9761,0.5060
19,0.1399,0.9761,0.5005
20,0.1396,0.9761,0.5025
21,0.1388,0.9761,0.5027
22,0.1381,0.9761,0.5395
23,0.1398,0.9761,0.5045
24,0.1384,0.9761,0.5035
25,0.1391,0.9761,0.5248
26,0.1389,0.9761,0.5710
27,0.1382,0.9761,0.5067
28,0.1385,0.9761,0.5030
29,0.1383,0.9761,0.5970
30,0.1380,0.9761,0.5118
31,0.1380,0.9761,0.5111
32,0.1381,0.9761,0.4959
33,0.1381,0.9761,0.5013
34,0.1379,0.9761,0.4967
35,0.1381,0.9761,0.5920
36,0.1381,0.9761,0.5039
37,0.1382,0.9761,0.5006
38,0.1380,0.9761,0.5005
39,0.1380,0.9761,0.5001
40,0.1380,0.9761,0.5870
41,0.1378,0.9761,0.4920
42,0.1386,0.9761,0.4972
43,0.1405,0.9761,0.5113
44,0.1384,0.9761,0.4979
45,0.1379,0.9761,0.4610
46,0.1379,0.9761,0.4958
47,0.1379,0.9761,0.5013
48,0.1379,0.9761,0.5020
49,0.1394,0.9761,0.5007
50,0.1385,0.9761,0.4941
51,0.1394,0.9761,0.5028
52,0.1382,0.9761,0.5459
53,0.1379,0.9761,0.4997
54,0.1381,0.9761,0.4850
55,0.1380,0.9761,0.4989
56,0.1379,0.9761,0.5187
57,0.1379,0.9761,0.5341
58,0.1380,0.9761,0.5105
59,0.1395,0.9761,0.4993
60,0.1426,0.9761,0.4745
61,0.1428,0.9761,0.5014
62,0.1386,0.9761,0.5120
63,0.1409,0.9761,0.5056
64,0.1379,0.9761,0.4972
65,0.1385,0.9761,0.5042
66,0.1378,0.9761,0.4981
67,0.1381,0.9761,0.4968
68,0.1381,0.9761,0.5543
69,0.1382,0.9761,0.5133
70,0.1383,0.9761,0.5102
71,0.1380,0.9761,0.5112
72,0.1389,0.9761,0.4975
73,0.1381,0.9761,0.4659
74,0.1383,0.9761,0.5112
75,0.1382,0.9761,0.5089
76,0.1378,0.9761,0.4976
77,0.1384,0.9761,0.4038
78,0.1382,0.9761,0.5237
79,0.1379,0.9761,0.5060
80,0.1379,0.9761,0.5003
81,0.1379,0.9761,0.5975
82,0.1381,0.9761,0.5002
83,0.1380,0.9761,0.5148
84,0.1379,0.9761,0.5034
85,0.1379,0.9761,0.5168
86,0.1379,0.9761,0.5028
87,0.1380,0.9761,0.5040
88,0.1379,0.9761,0.5013
89,0.1379,0.9761,0.5015
90,0.1380,0.9761,0.5021
91,0.1379,0.9761,0.5022
92,0.1375,0.9761,0.5084
93,0.1383,0.9761,0.4946
94,0.1380,0.9761,0.5185
95,0.1379,0.9761,0.5024
96,0.1378,0.9761,0.5061
97,0.1382,0.9761,0.5003
98,0.1379,0.9761,0.5041
99,0.1381,0.9761,0.5014
100,0.1385,0.9761,0.5067
