Epoch,Loss,TestAcc,TestAuc
1,0.1089,0.9951,0.6020
2,0.0710,0.9951,0.5989
3,0.0741,0.9951,0.6021
4,0.0643,0.9951,0.6027
5,0.0653,0.9951,0.6051
6,0.0657,0.9951,0.6001
7,0.0634,0.9951,0.6006
8,0.0628,0.9951,0.6014
9,0.0632,0.9951,0.6027
10,0.0627,0.9951,0.6082
11,0.0627,0.9951,0.6125
12,0.0625,0.9951,0.6078
13,0.0622,0.9951,0.6096
14,0.0622,0.9951,0.6093
15,0.0624,0.9951,0.6132
16,0.0621,0.9951,0.6156
17,0.0618,0.9951,0.6163
18,0.0621,0.9951,0.6158
19,0.0613,0.9951,0.6170
20,0.0610,0.9951,0.6181
21,0.0611,0.9951,0.6152
22,0.0616,0.9951,0.6184
23,0.0616,0.9951,0.6180
24,0.0612,0.9951,0.3842
25,0.0609,0.9951,0.6161
26,0.0609,0.9951,0.6159
27,0.0612,0.9951,0.6162
28,0.0620,0.9951,0.6174
29,0.0612,0.9951,0.6183
30,0.0621,0.9951,0.6163
31,0.0619,0.9951,0.6178
32,0.0613,0.9951,0.6173
33,0.0610,0.9951,0.6176
34,0.0609,0.9951,0.6173
35,0.0620,0.9951,0.6168
36,0.0613,0.9951,0.6171
37,0.0619,0.9951,0.6177
38,0.0611,0.9951,0.6192
39,0.0613,0.9951,0.6166
40,0.0623,0.9951,0.6177
41,0.0622,0.9951,0.6191
42,0.0617,0.9951,0.6176
43,0.0610,0.9951,0.6190
44,0.0623,0.9951,0.6179
45,0.0617,0.9951,0.6175
46,0.0615,0.9951,0.6163
47,0.0615,0.9951,0.6170
48,0.0610,0.9951,0.6195
49,0.0612,0.9951,0.6173
50,0.0608,0.9951,0.6194
51,0.0610,0.9951,0.6176
52,0.0619,0.9951,0.6173
53,0.0608,0.9951,0.6179
54,0.0612,0.9951,0.6164
55,0.0611,0.9951,0.6184
56,0.0615,0.9951,0.6192
57,0.0610,0.9951,0.6182
58,0.0612,0.9951,0.6197
59,0.0612,0.9951,0.6173
60,0.0613,0.9951,0.6185
61,0.0610,0.9951,0.3825
62,0.0612,0.9951,0.6180
63,0.0618,0.9951,0.6179
64,0.0611,0.9951,0.6212
65,0.0613,0.9951,0.6210
66,0.0604,0.9951,0.6165
67,0.0616,0.9951,0.6174
68,0.0614,0.9951,0.6184
69,0.0620,0.9951,0.6179
70,0.0612,0.9951,0.6185
71,0.0612,0.9951,0.6177
72,0.0612,0.9951,0.6176
73,0.0613,0.9951,0.6181
74,0.0612,0.9951,0.6186
75,0.0611,0.9951,0.6170
76,0.0617,0.9951,0.6113
77,0.0613,0.9951,0.6209
78,0.0613,0.9951,0.6175
79,0.0609,0.9951,0.6164
80,0.0610,0.9951,0.6167
81,0.0610,0.9951,0.6179
82,0.0612,0.9951,0.6180
83,0.0610,0.9951,0.6183
84,0.0607,0.9951,0.6183
85,0.0613,0.9951,0.6182
86,0.0612,0.9951,0.6202
87,0.0608,0.9951,0.6182
88,0.0611,0.9951,0.6181
89,0.0612,0.9951,0.6173
90,0.0611,0.9951,0.6178
91,0.0610,0.9951,0.6170
92,0.0612,0.9951,0.6181
93,0.0618,0.9951,0.6183
94,0.0608,0.9951,0.6185
95,0.0616,0.9951,0.6177
96,0.0607,0.9951,0.6182
97,0.0612,0.9951,0.6195
98,0.0608,0.9951,0.6178
99,0.0610,0.9951,0.6182
100,0.0617,0.9951,0.6153
