Epoch,Loss,TestAcc,TestAuc
1,0.2599,0.9618,0.4211
2,0.1820,0.9618,0.4231
3,0.1764,0.9618,0.4230
4,0.1688,0.9618,0.4265
5,0.1738,0.9618,0.4381
6,0.1675,0.9618,0.5161
7,0.1682,0.9618,0.4327
8,0.1666,0.9618,0.4377
9,0.1665,0.9618,0.4547
10,0.1663,0.9618,0.4320
11,0.1674,0.9618,0.4440
12,0.1647,0.9618,0.4361
13,0.1641,0.9618,0.4841
14,0.1652,0.9618,0.4309
15,0.1641,0.9618,0.5782
16,0.1667,0.9618,0.4385
17,0.1645,0.9618,0.4335
18,0.1646,0.9618,0.4534
19,0.1648,0.9618,0.5380
20,0.1641,0.9618,0.4729
21,0.1648,0.9618,0.4515
22,0.1643,0.9618,0.4400
23,0.1645,0.9618,0.4404
24,0.1642,0.9618,0.4355
25,0.1645,0.9618,0.4438
26,0.1641,0.9618,0.4376
27,0.1646,0.9618,0.5806
28,0.1644,0.9618,0.6088
29,0.1641,0.9618,0.6212
30,0.1636,0.9618,0.4675
31,0.1643,0.9618,0.6162
32,0.1642,0.9618,0.5174
33,0.1639,0.9618,0.4302
34,0.1643,0.9618,0.5984
35,0.1642,0.9618,0.5985
36,0.1644,0.9618,0.6014
37,0.1643,0.9618,0.6680
38,0.1642,0.9618,0.5956
39,0.1642,0.9618,0.6086
40,0.1641,0.9618,0.5914
41,0.1644,0.9618,0.5879
42,0.1663,0.9618,0.5867
43,0.1639,0.9618,0.4192
44,0.1642,0.9618,0.4139
45,0.1642,0.9618,0.4171
46,0.1698,0.9618,0.4876
47,0.1669,0.9618,0.4089
48,0.1646,0.9618,0.5678
49,0.1642,0.9618,0.5031
50,0.1649,0.9618,0.6220
51,0.1642,0.9618,0.6477
52,0.1640,0.9618,0.5866
53,0.1649,0.9618,0.5849
54,0.1643,0.9618,0.5938
55,0.1642,0.9618,0.4504
56,0.1641,0.9618,0.5973
57,0.1641,0.9618,0.5872
58,0.1642,0.9618,0.4115
59,0.1642,0.9618,0.4132
60,0.1642,0.9618,0.5934
61,0.1645,0.9618,0.4192
62,0.1642,0.9618,0.4104
63,0.1642,0.9618,0.4081
64,0.1646,0.9618,0.4166
65,0.1645,0.9618,0.4174
66,0.1645,0.9618,0.5732
67,0.1641,0.9618,0.5825
68,0.1643,0.9618,0.4194
69,0.1642,0.9618,0.4188
70,0.1643,0.9618,0.5834
71,0.1643,0.9618,0.4247
72,0.1641,0.9618,0.5860
73,0.1642,0.9618,0.4120
74,0.1641,0.9618,0.5757
75,0.1642,0.9618,0.5883
76,0.1641,0.9618,0.5870
77,0.1641,0.9618,0.5881
78,0.1641,0.9618,0.5883
79,0.1641,0.9618,0.5882
80,0.1641,0.9618,0.5881
81,0.1642,0.9618,0.5880
82,0.1642,0.9618,0.5876
83,0.1641,0.9618,0.5895
84,0.1642,0.9618,0.5884
85,0.1641,0.9618,0.5806
86,0.1642,0.9618,0.5873
87,0.1642,0.9618,0.4528
88,0.1643,0.9618,0.4608
89,0.1641,0.9618,0.5000
90,0.1641,0.9618,0.5229
91,0.1642,0.9618,0.5330
92,0.1642,0.9618,0.5007
93,0.1642,0.9618,0.5236
94,0.1642,0.9618,0.4568
95,0.1642,0.9618,0.4223
96,0.1641,0.9618,0.5000
97,0.1642,0.9618,0.5223
98,0.1642,0.9618,0.5287
99,0.1661,0.9618,0.4057
100,0.1663,0.9618,0.4154
