Epoch,Loss,TestAcc,TestAuc
1,0.3268,0.9105,0.4873
2,0.3039,0.9105,0.4955
3,0.2955,0.9105,0.4867
4,0.2915,0.9105,0.4815
5,0.2935,0.9105,0.4737
6,0.2916,0.9105,0.4863
7,0.2938,0.9105,0.5085
8,0.2919,0.9105,0.4968
9,0.2907,0.9105,0.5325
10,0.2918,0.9105,0.4958
11,0.2909,0.9105,0.4935
12,0.2908,0.9105,0.4923
13,0.2905,0.9105,0.5108
14,0.2902,0.9105,0.5170
15,0.2906,0.9105,0.4938
16,0.2911,0.9105,0.4889
17,0.2908,0.9105,0.4893
18,0.2904,0.9105,0.5123
19,0.2900,0.9105,0.5582
20,0.2904,0.9105,0.4876
21,0.2907,0.9105,0.4854
22,0.2902,0.9105,0.4862
23,0.2902,0.9105,0.4822
24,0.2902,0.9105,0.5183
25,0.2902,0.9105,0.5162
26,0.2901,0.9105,0.5194
27,0.2903,0.9105,0.5186
28,0.2900,0.9105,0.5145
29,0.2901,0.9105,0.4759
30,0.2899,0.9105,0.5188
31,0.2900,0.9105,0.4946
32,0.2902,0.9105,0.5276
33,0.2901,0.9105,0.4897
34,0.2901,0.9105,0.4920
35,0.2901,0.9105,0.5182
36,0.2901,0.9105,0.4873
37,0.2901,0.9105,0.5105
38,0.2901,0.9105,0.5200
39,0.2901,0.9105,0.4819
40,0.2900,0.9105,0.5234
41,0.2900,0.9105,0.5114
42,0.2901,0.9105,0.5143
43,0.2902,0.9105,0.4875
44,0.2900,0.9105,0.4734
45,0.2901,0.9105,0.5319
46,0.2901,0.9105,0.5000
47,0.2900,0.9105,0.5000
48,0.2901,0.9105,0.4938
49,0.2901,0.9105,0.4924
50,0.2900,0.9105,0.5020
51,0.2902,0.9105,0.4988
52,0.2901,0.9105,0.5000
53,0.2901,0.9105,0.5000
54,0.2901,0.9105,0.4961
55,0.2909,0.9105,0.5195
56,0.2910,0.9105,0.4913
57,0.2915,0.9105,0.4898
58,0.2903,0.9105,0.4282
59,0.2918,0.9105,0.4852
60,0.2913,0.9105,0.5046
61,0.2917,0.9105,0.5161
62,0.2900,0.9105,0.5176
63,0.2901,0.9105,0.5280
64,0.2901,0.9105,0.5765
65,0.2901,0.9105,0.5230
66,0.2901,0.9105,0.5128
67,0.2901,0.9105,0.5118
68,0.2901,0.9105,0.4828
69,0.2900,0.9105,0.4990
70,0.2900,0.9105,0.5043
71,0.2900,0.9105,0.5039
72,0.2900,0.9105,0.4961
73,0.2900,0.9105,0.4931
74,0.2901,0.9105,0.5013
75,0.2901,0.9105,0.5078
76,0.2901,0.9105,0.5032
77,0.2901,0.9105,0.4957
78,0.2901,0.9105,0.5021
79,0.2901,0.9105,0.5000
80,0.2901,0.9105,0.5000
81,0.2901,0.9105,0.5000
82,0.2900,0.9105,0.5000
83,0.2901,0.9105,0.5000
84,0.2901,0.9105,0.5000
85,0.2901,0.9105,0.5000
86,0.2901,0.9105,0.5000
87,0.2900,0.9105,0.5000
88,0.2901,0.9105,0.5000
89,0.2900,0.9105,0.5000
90,0.2902,0.9105,0.5000
91,0.2900,0.9105,0.5000
92,0.2899,0.9105,0.5000
93,0.2902,0.9105,0.5028
94,0.2900,0.9105,0.5000
95,0.2901,0.9105,0.4588
96,0.2949,0.9105,0.5146
97,0.2903,0.9105,0.5209
98,0.2901,0.9105,0.5256
99,0.2901,0.9105,0.4694
100,0.2907,0.9105,0.4822
