Epoch,Loss,TestAcc,TestAuc
1,0.2816,0.9122,0.5645
2,0.2720,0.9122,0.5621
3,0.1933,0.9122,0.5645
4,0.2154,0.9122,0.5639
5,0.1986,0.9122,0.5630
6,0.1751,0.9122,0.5634
7,0.2441,0.9122,0.5652
8,0.1873,0.9122,0.5621
9,0.1681,0.9122,0.5621
10,0.1818,0.9122,0.5636
11,0.1820,0.9122,0.5637
12,0.1797,0.9122,0.5631
13,0.1814,0.9122,0.5643
14,0.1779,0.9122,0.5652
15,0.1708,0.9122,0.5655
16,0.1740,0.9122,0.5642
17,0.1657,0.9122,0.5646
18,0.1795,0.9122,0.5630
19,0.1670,0.9122,0.5648
20,0.1698,0.9122,0.5622
21,0.1806,0.9122,0.5624
22,0.1717,0.9122,0.5618
23,0.1749,0.9122,0.5624
24,0.1747,0.9122,0.5530
25,0.1711,0.9122,0.5529
26,0.1787,0.9122,0.5645
27,0.1728,0.9122,0.5557
28,0.1713,0.9122,0.5590
29,0.1693,0.9122,0.5585
30,0.1695,0.9122,0.5628
31,0.1639,0.9122,0.5657
32,0.1669,0.9122,0.5648
33,0.1675,0.9122,0.5648
34,0.1669,0.9122,0.5652
35,0.1676,0.9122,0.5561
36,0.1683,0.9122,0.5524
37,0.1635,0.9122,0.5514
38,0.1704,0.9122,0.5526
39,0.1655,0.9122,0.5627
40,0.1748,0.9122,0.5459
41,0.1650,0.9122,0.5541
42,0.1685,0.9122,0.4963
43,0.1677,0.9122,0.4180
44,0.1643,0.9122,0.3904
45,0.1672,0.9122,0.5490
46,0.1708,0.9122,0.5365
47,0.1702,0.9122,0.5428
48,0.1691,0.9122,0.5532
49,0.1917,0.9122,0.4306
50,0.1673,0.9122,0.4248
51,0.1701,0.9122,0.5450
52,0.1792,0.9122,0.4272
53,0.1677,0.9122,0.4269
54,0.1686,0.9122,0.4239
55,0.1852,0.9122,0.4269
56,0.1710,0.9122,0.4222
57,0.1699,0.9122,0.4257
58,0.1680,0.9122,0.5247
59,0.1683,0.9122,0.5722
60,0.1629,0.9122,0.4871
61,0.1869,0.9122,0.5663
62,0.1763,0.9122,0.5714
63,0.1681,0.9122,0.5471
64,0.1684,0.9122,0.5579
65,0.1655,0.9122,0.5556
66,0.1675,0.9122,0.5302
67,0.1677,0.9122,0.5449
68,0.1697,0.9122,0.5564
69,0.1654,0.9122,0.5556
70,0.1640,0.9122,0.5481
71,0.1654,0.9122,0.5541
72,0.1675,0.9122,0.5529
73,0.1658,0.9122,0.5542
74,0.1679,0.9122,0.5383
75,0.1639,0.9122,0.5579
76,0.1667,0.9122,0.5487
77,0.1702,0.9122,0.5559
78,0.1649,0.9122,0.5480
79,0.1695,0.9122,0.5264
80,0.1681,0.9122,0.5523
81,0.1650,0.9122,0.5618
82,0.1659,0.9122,0.5624
83,0.1747,0.9122,0.5677
84,0.1671,0.9122,0.5671
85,0.1645,0.9122,0.5670
86,0.1659,0.9122,0.5645
87,0.1665,0.9122,0.5658
88,0.1667,0.9122,0.5657
89,0.1672,0.9122,0.5654
90,0.1652,0.9122,0.5642
91,0.1667,0.9122,0.5627
92,0.1654,0.9122,0.5645
93,0.1668,0.9122,0.5609
94,0.1679,0.9122,0.5625
95,0.1690,0.9122,0.5621
96,0.1658,0.9122,0.5609
97,0.1681,0.9122,0.5625
98,0.1647,0.9122,0.5630
99,0.1644,0.9122,0.5633
100,0.1653,0.9122,0.5639
