Epoch,Loss,TestAcc,TestAuc
1,0.4308,0.9220,0.5238
2,0.2495,0.9220,0.5261
3,0.2385,0.9220,0.5268
4,0.2290,0.9220,0.5274
5,0.2271,0.9220,0.5298
6,0.2236,0.9220,0.5294
7,0.2115,0.9220,0.5288
8,0.2240,0.9220,0.5384
9,0.2391,0.9220,0.5268
10,0.2056,0.9220,0.5298
11,0.2051,0.9220,0.5301
12,0.2095,0.9220,0.5314
13,0.2001,0.9220,0.5298
14,0.2114,0.9220,0.5291
15,0.2076,0.9220,0.5384
16,0.2230,0.9220,0.5278
17,0.2190,0.9220,0.4828
18,0.2130,0.9220,0.4663
19,0.2095,0.9220,0.4679
20,0.2149,0.9220,0.4696
21,0.2025,0.9220,0.4666
22,0.2133,0.9220,0.4557
23,0.2180,0.9220,0.4739
24,0.2049,0.9220,0.5162
25,0.2056,0.9220,0.5165
26,0.2025,0.9220,0.5188
27,0.2058,0.9220,0.5231
28,0.2057,0.9220,0.5185
29,0.1973,0.9220,0.5165
30,0.2065,0.9220,0.5185
31,0.2061,0.9220,0.5103
32,0.2875,0.9220,0.4795
33,0.2071,0.9220,0.4854
34,0.2131,0.9220,0.5179
35,0.2036,0.9220,0.5195
36,0.2019,0.9220,0.5218
37,0.3226,0.9220,0.4699
38,0.2043,0.9220,0.4815
39,0.2125,0.9220,0.4719
40,0.2022,0.9220,0.4795
41,0.2017,0.9220,0.4808
42,0.1995,0.9220,0.4798
43,0.2034,0.9220,0.4759
44,0.2094,0.9220,0.4729
45,0.2012,0.9220,0.4782
46,0.1993,0.9220,0.4840
47,0.1998,0.9220,0.4878
48,0.2027,0.9220,0.4878
49,0.2027,0.9220,0.4845
50,0.1998,0.9220,0.4845
51,0.1977,0.9220,0.4868
52,0.1982,0.9220,0.4864
53,0.2044,0.9220,0.4914
54,0.2022,0.9220,0.4906
55,0.2033,0.9220,0.4927
56,0.2024,0.9220,0.4944
57,0.1970,0.9220,0.5142
58,0.2015,0.9220,0.4816
59,0.2036,0.9220,0.5132
60,0.1997,0.9220,0.5184
61,0.1966,0.9220,0.5208
62,0.2016,0.9220,0.5303
63,0.2040,0.9220,0.5192
64,0.1979,0.9220,0.5142
65,0.2018,0.9220,0.5000
66,0.1991,0.9220,0.4955
67,0.2014,0.9220,0.4878
68,0.1992,0.9220,0.4888
69,0.1949,0.9220,0.4977
70,0.2010,0.9220,0.4947
71,0.1999,0.9220,0.4888
72,0.1987,0.9220,0.4944
73,0.2003,0.9220,0.4954
74,0.1994,0.9220,0.4957
75,0.2014,0.9220,0.4907
76,0.2033,0.9220,0.5069
77,0.2022,0.9220,0.5522
78,0.2031,0.9220,0.5261
79,0.2015,0.9220,0.5274
80,0.1992,0.9220,0.5278
81,0.2083,0.9220,0.5265
82,0.2018,0.9220,0.5265
83,0.1990,0.9220,0.5294
84,0.1988,0.9220,0.5298
85,0.2050,0.9220,0.5198
86,0.2023,0.9220,0.5099
87,0.2019,0.9220,0.5284
88,0.2019,0.9220,0.4927
89,0.2031,0.9220,0.5255
90,0.2029,0.9220,0.5245
91,0.2007,0.9220,0.5260
92,0.1999,0.9220,0.5192
93,0.1977,0.9220,0.4927
94,0.2015,0.9220,0.5013
95,0.2301,0.9220,0.5278
96,0.1996,0.9220,0.5284
97,0.2006,0.9220,0.5278
98,0.2033,0.9220,0.5281
99,0.2108,0.9220,0.5273
100,0.2001,0.9220,0.5281
