Epoch,Loss,TestAcc,TestAuc
1,0.7802,0.1639,0.4941
2,0.7052,0.8361,0.6627
3,0.5921,0.8361,0.7059
4,0.5522,0.8361,0.6647
5,0.5230,0.8361,0.5510
6,0.5368,0.8361,0.5510
7,0.5130,0.8361,0.5451
8,0.5240,0.8361,0.5471
9,0.5076,0.8361,0.5510
10,0.5134,0.8361,0.5490
11,0.5130,0.8361,0.5431
12,0.5455,0.8361,0.5098
13,0.5158,0.8361,0.5098
14,0.5060,0.8361,0.5098
15,0.5119,0.8361,0.5118
16,0.5075,0.8361,0.5118
17,0.5028,0.8361,0.5118
18,0.5007,0.8361,0.5098
19,0.5134,0.8361,0.4412
20,0.5028,0.8361,0.5098
21,0.5029,0.8361,0.5039
22,0.5075,0.8361,0.5157
23,0.5016,0.8361,0.4392
24,0.5165,0.8361,0.3392
25,0.5098,0.8361,0.3157
26,0.5133,0.8361,0.3706
27,0.5093,0.8361,0.4392
28,0.5092,0.8361,0.4373
29,0.5010,0.8361,0.3863
30,0.5061,0.8361,0.3206
31,0.5162,0.8361,0.3902
32,0.5121,0.8361,0.3275
33,0.5098,0.8361,0.3980
34,0.5050,0.8361,0.3147
35,0.5024,0.8361,0.3922
36,0.4997,0.8361,0.3588
37,0.5152,0.8361,0.3451
38,0.5102,0.8361,0.4000
39,0.5018,0.8361,0.3745
40,0.5071,0.8361,0.4176
41,0.5158,0.8361,0.4078
42,0.4993,0.8361,0.3000
43,0.5014,0.8361,0.3922
44,0.5051,0.8361,0.4490
45,0.5109,0.8361,0.4412
46,0.5092,0.8361,0.4412
47,0.5146,0.8361,0.3157
48,0.4991,0.8361,0.4039
49,0.5068,0.8361,0.3137
50,0.5041,0.8361,0.3294
51,0.5042,0.8361,0.4078
52,0.5091,0.8361,0.4647
53,0.5126,0.8361,0.4882
54,0.5045,0.8361,0.5000
55,0.5086,0.8361,0.2843
56,0.5028,0.8361,0.3451
57,0.5090,0.8361,0.3451
58,0.5068,0.8361,0.5157
59,0.5066,0.8361,0.5353
60,0.5016,0.8361,0.5353
61,0.5027,0.8361,0.5235
62,0.5060,0.8361,0.4314
63,0.5132,0.8361,0.4118
64,0.5043,0.8361,0.4314
65,0.5021,0.8361,0.4314
66,0.5062,0.8361,0.4725
67,0.5084,0.8361,0.2667
68,0.5084,0.8361,0.4235
69,0.5038,0.8361,0.4294
70,0.5062,0.8361,0.4333
71,0.5073,0.8361,0.5255
72,0.5080,0.8361,0.5137
73,0.4989,0.8361,0.4922
74,0.5024,0.8361,0.4961
75,0.5085,0.8361,0.5196
76,0.5062,0.8361,0.5627
77,0.5120,0.8361,0.5490
78,0.5034,0.8361,0.5824
79,0.5049,0.8361,0.6529
80,0.5072,0.8361,0.5431
81,0.5026,0.8361,0.6373
82,0.5070,0.8361,0.4843
83,0.5038,0.8361,0.5657
84,0.5026,0.8361,0.6216
85,0.5073,0.8361,0.6196
86,0.5040,0.8361,0.5569
87,0.5090,0.8361,0.5529
88,0.5026,0.8361,0.5549
89,0.5021,0.8361,0.5529
90,0.5079,0.8361,0.6216
91,0.5026,0.8361,0.4549
92,0.5105,0.8361,0.4451
93,0.5058,0.8361,0.4490
94,0.5092,0.8361,0.3333
95,0.5079,0.8361,0.5333
96,0.5013,0.8361,0.4569
97,0.4997,0.8361,0.4510
98,0.5087,0.8361,0.4569
99,0.5035,0.8361,0.5510
100,0.5032,0.8361,0.4902
