Epoch,Loss,TestAcc,TestAuc
1,0.6721,0.8525,0.4744
2,0.6197,0.8525,0.4786
3,0.5602,0.8525,0.4893
4,0.4435,0.8525,0.4915
5,0.4223,0.8525,0.4936
6,0.4518,0.8525,0.5150
7,0.4357,0.8525,0.5171
8,0.4402,0.8525,0.5214
9,0.4407,0.8525,0.5278
10,0.4402,0.8525,0.5321
11,0.4536,0.8525,0.5321
12,0.4345,0.8525,0.5299
13,0.4101,0.8525,0.5363
14,0.4111,0.8525,0.5363
15,0.4111,0.8525,0.5342
16,0.4359,0.8525,0.5385
17,0.4292,0.8525,0.5235
18,0.4263,0.8525,0.5321
19,0.4273,0.8525,0.5406
20,0.4318,0.8525,0.5107
21,0.4257,0.8525,0.5064
22,0.4203,0.8525,0.5064
23,0.4274,0.8525,0.5107
24,0.4290,0.8525,0.4615
25,0.4192,0.8525,0.5064
26,0.4089,0.8525,0.5043
27,0.4318,0.8525,0.3376
28,0.4290,0.8525,0.3355
29,0.4142,0.8525,0.5150
30,0.4189,0.8525,0.5000
31,0.4184,0.8525,0.3226
32,0.4280,0.8525,0.3355
33,0.4157,0.8525,0.4017
34,0.4211,0.8525,0.4615
35,0.4209,0.8525,0.5299
36,0.4357,0.8525,0.4487
37,0.4156,0.8525,0.5534
38,0.4092,0.8525,0.5641
39,0.4235,0.8525,0.5983
40,0.4110,0.8525,0.4744
41,0.4329,0.8525,0.4872
42,0.4225,0.8525,0.5513
43,0.4188,0.8525,0.5321
44,0.4292,0.8525,0.5321
45,0.4248,0.8525,0.6966
46,0.4129,0.8525,0.6474
47,0.4116,0.8525,0.6581
48,0.4175,0.8525,0.7137
49,0.4213,0.8525,0.7222
50,0.4186,0.8525,0.5107
51,0.4125,0.8525,0.5342
52,0.4201,0.8525,0.6282
53,0.4121,0.8525,0.5962
54,0.4244,0.8525,0.6175
55,0.4152,0.8525,0.4744
56,0.4181,0.8525,0.6154
57,0.4124,0.8525,0.5962
58,0.4163,0.8525,0.6004
59,0.4234,0.8525,0.6325
60,0.4159,0.8525,0.6111
61,0.4237,0.8525,0.5897
62,0.4175,0.8525,0.6068
63,0.4128,0.8525,0.6538
64,0.4199,0.8525,0.6154
65,0.4089,0.8525,0.6282
66,0.4204,0.8525,0.5321
67,0.4203,0.8525,0.6261
68,0.4185,0.8525,0.6581
69,0.4157,0.8525,0.6560
70,0.4143,0.8525,0.6197
71,0.4192,0.8525,0.5962
72,0.4197,0.8525,0.6250
73,0.4146,0.8525,0.4594
74,0.4140,0.8525,0.4594
75,0.4195,0.8525,0.5128
76,0.4143,0.8525,0.4530
77,0.4175,0.8525,0.4487
78,0.4156,0.8525,0.4466
79,0.4202,0.8525,0.4487
80,0.4189,0.8525,0.4444
81,0.4072,0.8525,0.5491
82,0.4186,0.8525,0.4466
83,0.4161,0.8525,0.4551
84,0.4130,0.8525,0.4423
85,0.4137,0.8525,0.4444
86,0.4160,0.8525,0.4359
87,0.4225,0.8525,0.4359
88,0.4115,0.8525,0.4380
89,0.4205,0.8525,0.4466
90,0.4163,0.8525,0.4316
91,0.4176,0.8525,0.4274
92,0.4160,0.8525,0.4103
93,0.4117,0.8525,0.3932
94,0.4188,0.8525,0.4231
95,0.4119,0.8525,0.3419
96,0.4158,0.8525,0.3269
97,0.4219,0.8525,0.4380
98,0.4157,0.8525,0.3504
99,0.4151,0.8525,0.3568
100,0.4136,0.8525,0.4829
