Epoch,Loss,TestAcc,TestAuc
1,0.1017,0.9956,0.5054
2,0.0990,0.9956,0.5059
3,0.0700,0.9956,0.5064
4,0.0650,0.9956,0.5054
5,0.0580,0.9956,0.5069
6,0.0564,0.9956,0.5059
7,0.0548,0.9956,0.5064
8,0.0566,0.9956,0.5054
9,0.0523,0.9956,0.5069
10,0.0479,0.9956,0.8353
11,0.0516,0.9956,0.5054
12,0.0497,0.9956,0.5083
13,0.0506,0.9956,0.8127
14,0.0485,0.9956,0.5054
15,0.0486,0.9956,0.5059
16,0.0474,0.9956,0.5054
17,0.0478,0.9956,0.5054
18,0.0478,0.9956,0.5054
19,0.0479,0.9956,0.5054
20,0.0496,0.9956,0.5054
21,0.0494,0.9956,0.5054
22,0.0477,0.9956,0.5054
23,0.0500,0.9956,0.5059
24,0.0499,0.9956,0.5059
25,0.0485,0.9956,0.5059
26,0.0477,0.9956,0.5059
27,0.0485,0.9956,0.5059
28,0.0476,0.9956,0.5059
29,0.0490,0.9956,0.5059
30,0.0482,0.9956,0.5059
31,0.0477,0.9956,0.5059
32,0.0479,0.9956,0.5059
33,0.0478,0.9956,0.5049
34,0.0474,0.9956,0.5059
35,0.0479,0.9956,0.5078
36,0.0472,0.9956,0.5069
37,0.0471,0.9956,0.5069
38,0.0473,0.9956,0.5064
39,0.0505,0.9956,0.5078
40,0.0474,0.9956,0.5078
41,0.0475,0.9956,0.5088
42,0.0471,0.9956,0.5088
43,0.0483,0.9956,0.5088
44,0.0486,0.9956,0.5074
45,0.0479,0.9956,0.5069
46,0.0477,0.9956,0.5074
47,0.0481,0.9956,0.5059
48,0.0485,0.9956,0.5059
49,0.0476,0.9956,0.5088
50,0.0482,0.9956,0.5078
51,0.0478,0.9956,0.5069
52,0.0469,0.9956,0.5069
53,0.0501,0.9956,0.5069
54,0.0482,0.9956,0.5069
55,0.0487,0.9956,0.5083
56,0.0465,0.9956,0.5059
57,0.0481,0.9956,0.5059
58,0.0481,0.9956,0.5059
59,0.0471,0.9956,0.5059
60,0.0481,0.9956,0.5059
61,0.0470,0.9956,0.5059
62,0.0477,0.9956,0.5069
63,0.0479,0.9956,0.5064
64,0.0474,0.9956,0.5069
65,0.0477,0.9956,0.5074
66,0.0474,0.9956,0.5074
67,0.0472,0.9956,0.5074
68,0.0478,0.9956,0.5069
69,0.0479,0.9956,0.5069
70,0.0476,0.9956,0.5074
71,0.0480,0.9956,0.5059
72,0.0484,0.9956,0.5069
73,0.0481,0.9956,0.5069
74,0.0474,0.9956,0.5054
75,0.0512,0.9956,0.5069
76,0.0473,0.9956,0.5069
77,0.0479,0.9956,0.5103
78,0.0477,0.9956,0.5059
79,0.0477,0.9956,0.5059
80,0.0488,0.9956,0.5069
81,0.0478,0.9956,0.5059
82,0.0475,0.9956,0.5059
83,0.0472,0.9956,0.5064
84,0.0464,0.9956,0.5064
85,0.0493,0.9956,0.5078
86,0.0472,0.9956,0.5069
87,0.0478,0.9956,0.5074
88,0.0468,0.9956,0.5074
89,0.0477,0.9956,0.5078
90,0.0479,0.9956,0.5088
91,0.0474,0.9956,0.5078
92,0.0479,0.9956,0.5059
93,0.0469,0.9956,0.5064
94,0.0478,0.9956,0.5059
95,0.0480,0.9956,0.5059
96,0.0498,0.9956,0.5064
97,0.0489,0.9956,0.5059
98,0.0477,0.9956,0.5074
99,0.0475,0.9956,0.5069
100,0.0477,0.9956,0.5088
