Epoch,Loss,TestAcc,TestAuc
1,0.6451,0.7465,0.4963
2,0.5715,0.7465,0.7169
3,0.5560,0.7465,0.5059
4,0.5577,0.7465,0.5207
5,0.5559,0.7465,0.7133
6,0.5521,0.7465,0.4905
7,0.5611,0.7465,0.4503
8,0.5545,0.7465,0.3825
9,0.5560,0.7465,0.4612
10,0.5611,0.7465,0.5321
11,0.5493,0.7465,0.5230
12,0.5538,0.7465,0.5241
13,0.5473,0.7465,0.5250
14,0.5542,0.7465,0.6025
15,0.5512,0.7465,0.5742
16,0.5512,0.7465,0.6214
17,0.5540,0.7465,0.5228
18,0.5509,0.7465,0.5621
19,0.5564,0.7465,0.3725
20,0.5521,0.7465,0.4991
21,0.5500,0.7465,0.5005
22,0.5497,0.7465,0.5055
23,0.5520,0.7465,0.4483
24,0.5503,0.7465,0.5209
25,0.5524,0.7465,0.4998
26,0.5540,0.7465,0.5162
27,0.5510,0.7465,0.5103
28,0.5491,0.7465,0.5148
29,0.5497,0.7465,0.5171
30,0.5497,0.7465,0.5216
31,0.5535,0.7465,0.5627
32,0.5485,0.7465,0.6038
33,0.5526,0.7465,0.5203
34,0.5532,0.7465,0.5068
35,0.5469,0.7465,0.5947
36,0.5519,0.7465,0.5376
37,0.5525,0.7465,0.6253
38,0.5491,0.7465,0.5603
39,0.5507,0.7465,0.5074
40,0.5501,0.7465,0.5944
41,0.5489,0.7465,0.5004
42,0.5495,0.7465,0.5074
43,0.5495,0.7465,0.5146
44,0.5490,0.7465,0.5310
45,0.5507,0.7465,0.5748
46,0.5498,0.7465,0.4991
47,0.5503,0.7465,0.5107
48,0.5496,0.7465,0.5071
49,0.5577,0.7465,0.4706
50,0.5521,0.7465,0.4900
51,0.5500,0.7465,0.5042
52,0.5496,0.7465,0.4959
53,0.5517,0.7465,0.5097
54,0.5501,0.7465,0.5112
55,0.5511,0.7465,0.6345
56,0.5489,0.7465,0.4985
57,0.5488,0.7465,0.4999
58,0.5486,0.7465,0.5674
59,0.5494,0.7465,0.5834
60,0.5531,0.7465,0.5208
61,0.5506,0.7465,0.4874
62,0.5493,0.7465,0.5446
63,0.5500,0.7465,0.5101
64,0.5497,0.7465,0.5253
65,0.5494,0.7465,0.5429
66,0.5495,0.7465,0.5018
67,0.5506,0.7465,0.5019
68,0.5492,0.7465,0.5250
69,0.5488,0.7465,0.5085
70,0.5498,0.7465,0.5078
71,0.5485,0.7465,0.5100
72,0.5506,0.7465,0.5111
73,0.5490,0.7465,0.5074
74,0.5493,0.7465,0.4874
75,0.5492,0.7465,0.4991
76,0.5493,0.7465,0.5080
77,0.5484,0.7465,0.5124
78,0.5496,0.7465,0.5112
79,0.5480,0.7465,0.5118
80,0.5492,0.7465,0.5118
81,0.5493,0.7465,0.5093
82,0.5490,0.7465,0.4824
83,0.5492,0.7465,0.5112
84,0.5490,0.7465,0.5123
85,0.5510,0.7465,0.4965
86,0.5493,0.7465,0.5144
87,0.5494,0.7465,0.4910
88,0.5492,0.7465,0.5744
89,0.5494,0.7465,0.5543
90,0.5491,0.7465,0.5238
91,0.5492,0.7465,0.5077
92,0.5490,0.7465,0.5087
93,0.5488,0.7465,0.5081
94,0.5496,0.7465,0.5095
95,0.5490,0.7465,0.5083
96,0.5491,0.7465,0.5102
97,0.5488,0.7465,0.5105
98,0.5494,0.7465,0.5111
99,0.5489,0.7465,0.5130
100,0.5487,0.7465,0.5119
