Epoch,Loss,TestAcc,TestAuc
1,0.5455,0.8299,0.4721
2,0.4346,0.8299,0.4742
3,0.4479,0.8299,0.4740
4,0.4342,0.8299,0.4779
5,0.4208,0.8299,0.4775
6,0.4169,0.8299,0.4816
7,0.4206,0.8299,0.4740
8,0.4164,0.8299,0.3688
9,0.4169,0.8299,0.4561
10,0.4175,0.8299,0.4823
11,0.4183,0.8299,0.4840
12,0.4220,0.8299,0.4791
13,0.4122,0.8299,0.4799
14,0.4179,0.8299,0.4737
15,0.4169,0.8299,0.4874
16,0.4174,0.8299,0.7240
17,0.4150,0.8299,0.5232
18,0.4164,0.8299,0.4868
19,0.4123,0.8299,0.5148
20,0.4139,0.8299,0.4886
21,0.4161,0.8299,0.4832
22,0.4116,0.8299,0.4866
23,0.4141,0.8299,0.5072
24,0.4143,0.8299,0.5037
25,0.4118,0.8299,0.4670
26,0.4126,0.8299,0.4895
27,0.4163,0.8299,0.5052
28,0.4127,0.8299,0.4804
29,0.4130,0.8299,0.4552
30,0.4133,0.8299,0.5135
31,0.4172,0.8299,0.5033
32,0.4078,0.8299,0.5073
33,0.4117,0.8299,0.3352
34,0.4151,0.8299,0.4694
35,0.4138,0.8299,0.4834
36,0.4113,0.8299,0.5750
37,0.4116,0.8299,0.5138
38,0.4120,0.8299,0.4751
39,0.4120,0.8299,0.4746
40,0.4127,0.8299,0.5147
41,0.4114,0.8299,0.4290
42,0.4125,0.8299,0.4609
43,0.4121,0.8299,0.4978
44,0.4101,0.8299,0.4778
45,0.4132,0.8299,0.4792
46,0.4129,0.8299,0.4882
47,0.4122,0.8299,0.4888
48,0.4104,0.8299,0.5166
49,0.4122,0.8299,0.5174
50,0.4136,0.8299,0.4879
51,0.4138,0.8299,0.4917
52,0.4139,0.8299,0.5161
53,0.4115,0.8299,0.5095
54,0.4133,0.8299,0.4419
55,0.4129,0.8299,0.5148
56,0.4107,0.8299,0.4965
57,0.4101,0.8299,0.5165
58,0.4119,0.8299,0.5018
59,0.4121,0.8299,0.4724
60,0.4129,0.8299,0.5108
61,0.4126,0.8299,0.4213
62,0.4136,0.8299,0.5223
63,0.4132,0.8299,0.5564
64,0.4120,0.8299,0.5283
65,0.4113,0.8299,0.5251
66,0.4144,0.8299,0.5245
67,0.4121,0.8299,0.5243
68,0.4114,0.8299,0.5763
69,0.4120,0.8299,0.4757
70,0.4119,0.8299,0.5183
71,0.4164,0.8299,0.4835
72,0.4157,0.8299,0.4787
73,0.4122,0.8299,0.4834
74,0.4115,0.8299,0.4818
75,0.4108,0.8299,0.4934
76,0.4121,0.8299,0.5009
77,0.4177,0.8299,0.4370
78,0.4160,0.8299,0.4840
79,0.4122,0.8299,0.4646
80,0.4126,0.8299,0.3726
81,0.4132,0.8299,0.3078
82,0.4119,0.8299,0.3644
83,0.4113,0.8299,0.4210
84,0.4124,0.8299,0.4138
85,0.4113,0.8299,0.3910
86,0.4114,0.8299,0.3896
87,0.4109,0.8299,0.4537
88,0.4120,0.8299,0.4371
89,0.4116,0.8299,0.4307
90,0.4115,0.8299,0.4539
91,0.4116,0.8299,0.5410
92,0.4116,0.8299,0.5914
93,0.4112,0.8299,0.5313
94,0.4109,0.8299,0.5243
95,0.4113,0.8299,0.5257
96,0.4109,0.8299,0.5266
97,0.4119,0.8299,0.5178
98,0.4116,0.8299,0.4900
99,0.4111,0.8299,0.4249
100,0.4113,0.8299,0.4425
