Epoch,Loss,TestAcc,TestAuc
1,0.7067,0.7000,0.2262
2,0.6839,0.7000,0.1905
3,0.7054,0.7000,0.2262
4,0.6420,0.7000,0.2262
5,0.6367,0.7000,0.2500
6,0.6319,0.7000,0.2500
7,0.6545,0.7000,0.2500
8,0.6583,0.7000,0.2024
9,0.6502,0.7000,0.1905
10,0.6291,0.7000,0.1786
11,0.6679,0.7000,0.1667
12,0.6416,0.7000,0.1786
13,0.6512,0.7000,0.1786
14,0.6480,0.7000,0.1905
15,0.6455,0.7000,0.2143
16,0.6511,0.7000,0.2500
17,0.6672,0.7000,0.2262
18,0.6402,0.7000,0.2143
19,0.6421,0.7000,0.2143
20,0.6337,0.7000,0.2143
21,0.6332,0.7000,0.2143
22,0.6330,0.7000,0.1905
23,0.6280,0.7000,0.2381
24,0.6430,0.7000,0.4286
25,0.6238,0.7000,0.6786
26,0.6283,0.7000,0.7976
27,0.6302,0.7000,0.7976
28,0.6293,0.7000,0.7976
29,0.6467,0.7000,0.7857
30,0.6393,0.7000,0.7857
31,0.6573,0.7000,0.7976
32,0.6284,0.7000,0.8095
33,0.6293,0.7000,0.8095
34,0.6434,0.7000,0.8095
35,0.6350,0.7000,0.8095
36,0.6381,0.7000,0.8095
37,0.6369,0.7000,0.8095
38,0.6397,0.7000,0.8095
39,0.6316,0.7000,0.8095
40,0.6443,0.7000,0.8095
41,0.6243,0.7000,0.7976
42,0.6215,0.7000,0.7976
43,0.6321,0.7000,0.7976
44,0.6414,0.7000,0.8095
45,0.6143,0.7000,0.8095
46,0.6280,0.7000,0.8214
47,0.6266,0.7000,0.8214
48,0.6243,0.7000,0.8095
49,0.6288,0.7000,0.7976
50,0.6157,0.7000,0.8333
51,0.6198,0.7000,0.8452
52,0.6411,0.7000,0.8214
53,0.6473,0.7000,0.8333
54,0.6572,0.7000,0.8095
55,0.6265,0.7000,0.8571
56,0.6487,0.7000,0.8571
57,0.6264,0.7000,0.8571
58,0.6181,0.7000,0.8571
59,0.6347,0.7000,0.8214
60,0.6337,0.7000,0.8095
61,0.6310,0.7000,0.8214
62,0.6419,0.7000,0.8214
63,0.6439,0.7000,0.8452
64,0.6329,0.7000,0.5119
65,0.6255,0.7000,0.3095
66,0.6409,0.7000,0.2976
67,0.6240,0.7000,0.3929
68,0.6233,0.7000,0.7381
69,0.6167,0.7000,0.7381
70,0.6253,0.7000,0.8571
71,0.6323,0.7000,0.8929
72,0.6522,0.7000,0.8690
73,0.6431,0.7000,0.7381
74,0.6366,0.7000,0.5000
75,0.6186,0.7000,0.2738
76,0.6455,0.7000,0.2143
77,0.6323,0.7000,0.2619
78,0.6463,0.7000,0.3095
79,0.6370,0.7000,0.6429
80,0.6122,0.7000,0.8214
81,0.6267,0.7000,0.8214
82,0.6354,0.7000,0.8214
83,0.6449,0.7000,0.8214
84,0.6436,0.7000,0.8095
85,0.6406,0.7000,0.8214
86,0.6213,0.7000,0.8095
87,0.6325,0.7000,0.5000
88,0.6330,0.7000,0.3571
89,0.6301,0.7000,0.2976
90,0.6119,0.7000,0.3929
91,0.6336,0.7000,0.4881
92,0.6197,0.7000,0.4881
93,0.6347,0.7000,0.4643
94,0.6282,0.7000,0.6071
95,0.6285,0.7000,0.7976
96,0.6030,0.7000,0.8095
97,0.6427,0.7000,0.8095
98,0.6395,0.7000,0.7857
99,0.6123,0.7000,0.7976
100,0.6423,0.7000,0.7857
