Epoch,Loss,TestAcc,TestAuc
1,0.7848,0.2273,0.6000
2,0.7714,0.2273,0.4941
3,0.6514,0.7727,0.3647
4,0.6656,0.7727,0.3647
5,0.8475,0.7727,0.3647
6,0.6803,0.7727,0.3529
7,0.6408,0.7727,0.6235
8,0.6624,0.7727,0.6118
9,0.6628,0.7727,0.6588
10,0.6958,0.7727,0.3765
11,0.6733,0.7727,0.3647
12,0.6437,0.7727,0.3647
13,0.6417,0.7727,0.3647
14,0.6416,0.7727,0.3647
15,0.6177,0.7727,0.3529
16,0.6310,0.7727,0.3529
17,0.6396,0.7727,0.3529
18,0.6255,0.7727,0.3647
19,0.6385,0.7727,0.3647
20,0.5968,0.7727,0.3647
21,0.6574,0.7727,0.3412
22,0.6657,0.7727,0.3529
23,0.6348,0.7727,0.3529
24,0.6597,0.7727,0.3529
25,0.6650,0.7727,0.3529
26,0.6541,0.7727,0.3529
27,0.6112,0.7727,0.3529
28,0.6166,0.7727,0.3529
29,0.5853,0.7727,0.4000
30,0.6143,0.7727,0.5882
31,0.6223,0.7727,0.5765
32,0.6295,0.7727,0.5294
33,0.6270,0.7727,0.3529
34,0.6169,0.7727,0.3647
35,0.6308,0.7727,0.3647
36,0.6042,0.7727,0.3765
37,0.6278,0.7727,0.3647
38,0.6279,0.7727,0.3647
39,0.6126,0.7727,0.3647
40,0.6248,0.7727,0.3529
41,0.6244,0.7727,0.3647
42,0.6297,0.7727,0.3529
43,0.6322,0.7727,0.3765
44,0.6119,0.7727,0.3647
45,0.6110,0.7727,0.3647
46,0.6432,0.7727,0.3647
47,0.6260,0.7727,0.3647
48,0.6367,0.7727,0.3647
49,0.6019,0.7727,0.3647
50,0.6337,0.7727,0.3647
51,0.6441,0.7727,0.3647
52,0.6150,0.7727,0.3529
53,0.6284,0.7727,0.3529
54,0.6194,0.7727,0.3529
55,0.6225,0.7727,0.3412
56,0.6241,0.7727,0.3412
57,0.6372,0.7727,0.4471
58,0.6176,0.7727,0.6353
59,0.6291,0.7727,0.6353
60,0.6240,0.7727,0.6353
61,0.6404,0.7727,0.6235
62,0.6216,0.7727,0.3765
63,0.6400,0.7727,0.3294
64,0.6170,0.7727,0.3529
65,0.6242,0.7727,0.6118
66,0.6281,0.7727,0.7294
67,0.6118,0.7727,0.6353
68,0.6137,0.7727,0.7294
69,0.6319,0.7727,0.7176
70,0.6208,0.7727,0.3882
71,0.6265,0.7727,0.3412
72,0.6259,0.7727,0.3294
73,0.6335,0.7727,0.3647
74,0.6264,0.7727,0.3294
75,0.6391,0.7727,0.3294
76,0.6168,0.7727,0.6706
77,0.6376,0.7727,0.7176
78,0.6381,0.7727,0.6235
79,0.6297,0.7727,0.6235
80,0.5996,0.7727,0.6235
81,0.6346,0.7727,0.6471
82,0.6331,0.7727,0.6471
83,0.6413,0.7727,0.6471
84,0.6265,0.7727,0.6353
85,0.6102,0.7727,0.6235
86,0.6114,0.7727,0.6235
87,0.6327,0.7727,0.6353
88,0.6058,0.7727,0.6235
89,0.6140,0.7727,0.6353
90,0.6330,0.7727,0.6471
91,0.6327,0.7727,0.6471
92,0.6302,0.7727,0.6471
93,0.6109,0.7727,0.4588
94,0.6100,0.7727,0.3529
95,0.6156,0.7727,0.3647
96,0.6357,0.7727,0.5059
97,0.6121,0.7727,0.5882
98,0.6386,0.7727,0.6118
99,0.6309,0.7727,0.6118
100,0.6290,0.7727,0.6118
