Epoch,Loss,TestAcc,TestAuc
1,1.8324,0.5455,0.6417
2,0.9256,0.5455,0.3500
3,0.8440,0.5455,0.3333
4,0.8833,0.5455,0.3417
5,0.8094,0.5455,0.3167
6,0.7680,0.5455,0.3333
7,0.7606,0.5455,0.5250
8,0.7062,0.5455,0.6000
9,0.7604,0.5455,0.5833
10,0.7218,0.5455,0.5417
11,0.7303,0.5455,0.3167
12,0.8134,0.5455,0.3083
13,0.7901,0.5455,0.3167
14,0.7452,0.5455,0.3000
15,0.7218,0.5455,0.3083
16,0.7198,0.5455,0.5333
17,0.7060,0.5455,0.5833
18,0.7220,0.5455,0.6250
19,0.7321,0.5455,0.6167
20,0.6998,0.5455,0.6250
21,0.6688,0.5455,0.6250
22,0.6718,0.5455,0.5917
23,0.6507,0.5455,0.5917
24,0.7117,0.5455,0.5750
25,0.7845,0.5455,0.6250
26,0.6751,0.5455,0.6167
27,0.6913,0.5455,0.6167
28,0.6900,0.5455,0.6250
29,0.6891,0.5455,0.6250
30,0.6864,0.5455,0.6167
31,0.6686,0.5455,0.6083
32,0.7289,0.5455,0.5750
33,0.6518,0.5455,0.5333
34,0.6780,0.5455,0.5250
35,0.6831,0.5455,0.5750
36,0.6798,0.5455,0.5833
37,0.7055,0.5455,0.6167
38,0.6937,0.5455,0.6167
39,0.6737,0.5455,0.6167
40,0.6970,0.5455,0.6167
41,0.7050,0.5455,0.6333
42,0.7106,0.5455,0.5583
43,0.6927,0.5455,0.5167
44,0.6776,0.5455,0.5500
45,0.6896,0.5455,0.5500
46,0.6856,0.5455,0.5333
47,0.7071,0.5455,0.6000
48,0.6897,0.5455,0.6167
49,0.7262,0.5455,0.5917
50,0.7323,0.5455,0.6333
51,0.6888,0.5455,0.6250
52,0.6730,0.5455,0.5583
53,0.6894,0.5455,0.5250
54,0.6826,0.5455,0.5333
55,0.6922,0.5455,0.5750
56,0.7045,0.5455,0.6000
57,0.6907,0.5455,0.6000
58,0.6862,0.5455,0.6083
59,0.7137,0.5455,0.6083
60,0.6828,0.5455,0.5917
61,0.6859,0.5455,0.6250
62,0.6917,0.5455,0.6250
63,0.6886,0.5455,0.6167
64,0.6707,0.5455,0.6000
65,0.7146,0.5455,0.6250
66,0.6923,0.5455,0.6250
67,0.6790,0.5455,0.6250
68,0.6817,0.5455,0.6000
69,0.6844,0.5455,0.6583
70,0.6666,0.5455,0.5333
71,0.6763,0.5455,0.5417
72,0.7396,0.5455,0.5000
73,0.6839,0.5455,0.4083
74,0.6991,0.5455,0.4250
75,0.6936,0.5455,0.4250
76,0.6868,0.5455,0.5250
77,0.6928,0.5455,0.6333
78,0.6939,0.5455,0.6250
79,0.6733,0.5455,0.6250
80,0.6744,0.5455,0.6250
81,0.6852,0.5455,0.6250
82,0.6604,0.5455,0.6250
83,0.6751,0.5455,0.5917
84,0.6958,0.5455,0.6333
85,0.6937,0.5455,0.5333
86,0.6906,0.5455,0.4917
87,0.6758,0.5455,0.4833
88,0.6829,0.5455,0.5083
89,0.6915,0.5455,0.5333
90,0.6948,0.5455,0.7000
91,0.6864,0.5455,0.6333
92,0.6763,0.5455,0.6250
93,0.6842,0.5455,0.6583
94,0.6773,0.5455,0.6333
95,0.6854,0.5455,0.5500
96,0.6987,0.5455,0.5250
97,0.6609,0.5455,0.5167
98,0.7022,0.5455,0.5167
99,0.7036,0.5455,0.5000
100,0.6769,0.5455,0.4833
