Epoch,Loss,TestAcc,TestAuc
1,0.9161,0.6250,0.2500
2,0.5857,0.6250,0.7333
3,0.7423,0.6250,0.7833
4,0.5832,0.6250,0.7833
5,0.6624,0.6250,0.7833
6,0.6571,0.6250,0.7833
7,0.6216,0.6250,0.7500
8,0.6528,0.6250,0.7333
9,0.4762,0.6250,0.7333
10,0.5824,0.6250,0.7333
11,0.5783,0.6250,0.7333
12,0.5380,0.6250,0.7333
13,0.7093,0.6250,0.7667
14,0.5314,0.6250,0.7833
15,0.6479,0.6250,0.7833
16,0.6223,0.6250,0.7833
17,0.5770,0.6250,0.7833
18,0.5500,0.6250,0.7833
19,0.5687,0.6250,0.7833
20,0.5279,0.6250,0.7833
21,0.5500,0.6250,0.7833
22,0.5174,0.6250,0.7833
23,0.5459,0.6250,0.7833
24,0.5903,0.6250,0.7833
25,0.5638,0.6250,0.7833
26,0.6202,0.6250,0.7833
27,0.6672,0.6250,0.7833
28,0.5475,0.6250,0.7833
29,0.5859,0.6250,0.7833
30,0.5722,0.6250,0.7833
31,0.5845,0.6250,0.7833
32,0.5506,0.6250,0.7833
33,0.5161,0.6250,0.7833
34,0.5601,0.6250,0.7833
35,0.5802,0.6250,0.7833
36,0.5718,0.6250,0.7833
37,0.5754,0.6250,0.7833
38,0.5840,0.6250,0.7833
39,0.5336,0.6250,0.7833
40,0.5508,0.6250,0.7833
41,0.5840,0.6250,0.7833
42,0.5783,0.6250,0.7833
43,0.5535,0.6250,0.7833
44,0.6059,0.6250,0.7833
45,0.5454,0.6250,0.8000
46,0.5632,0.6250,0.8000
47,0.5266,0.6250,0.8000
48,0.5421,0.6250,0.8000
49,0.8860,0.6250,0.7833
50,0.5656,0.6250,0.7667
51,0.5595,0.6250,0.7500
52,0.5645,0.6250,0.7500
53,0.5201,0.6250,0.7500
54,0.5538,0.6250,0.7333
55,0.5768,0.6250,0.7333
56,0.5945,0.6250,0.7333
57,0.5453,0.6250,0.7167
58,0.5356,0.6250,0.6833
59,0.5114,0.6250,0.6833
60,0.6195,0.6250,0.6667
61,0.5516,0.6250,0.6333
62,0.5457,0.6250,0.6333
63,0.5816,0.6250,0.6500
64,0.6152,0.6250,0.7000
65,0.6102,0.6250,0.7333
66,0.5887,0.6250,0.7333
67,0.5834,0.6250,0.7333
68,0.6038,0.6250,0.7333
69,0.5127,0.6250,0.7333
70,0.5676,0.6250,0.7333
71,0.5317,0.6250,0.7500
72,0.5425,0.6250,0.7667
73,0.5613,0.6250,0.8000
74,0.5236,0.6250,0.8000
75,0.5423,0.6250,0.8000
76,0.5534,0.6250,0.8000
77,0.5286,0.6250,0.8000
78,0.5837,0.6250,0.8000
79,0.5377,0.6250,0.7833
80,0.5858,0.6250,0.7833
81,0.5336,0.6250,0.7833
82,0.5658,0.6250,0.7833
83,0.5660,0.6250,0.7833
84,0.5681,0.6250,0.7833
85,0.5672,0.6250,0.7833
86,0.5911,0.6250,0.7833
87,0.5388,0.6250,0.7833
88,0.5645,0.6250,0.7833
89,0.5472,0.6250,0.7833
90,0.5677,0.6250,0.7833
91,0.5427,0.6250,0.7833
92,0.5477,0.6250,0.7833
93,0.5744,0.6250,0.7833
94,0.5743,0.6250,0.7833
95,0.5457,0.6250,0.7833
96,0.5659,0.6250,0.7833
97,0.5556,0.6250,0.7833
98,0.5690,0.6250,0.7833
99,0.5656,0.6250,0.7833
100,0.5966,0.6250,0.7833
